user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
14,1,1,1,1,6,8,2,40,0,1351,-0.7813206676414727,1,gan
13,0,1,0,0,19,32,0,13,0,9,1.2632820582810267,1,gan
9,1,1,0,0,3,42,14,41,0,3,1.2634468792348859,1,gan
15,1,1,1,0,0,25,1,12,0,9,1.2633027141370015,1,gan
13,0,1,0,0,9,3,0,21,0,1,1.2729394162635377,1,gan
14,0,1,0,1,20,17,14,42,0,42,1.2631861611627393,1,gan
12,1,1,0,1,1,40,0,25,0,42,-0.7813257783687242,1,gan
40,1,1,1,0,21,7,0,32,0,1351,1.2744702920223143,1,gan
29,1,1,0,0,20,36,2,31,0,285,1.2862006177638696,1,gan
0,1,1,0,1,13,2,0,18,0,6,1.2729394162635377,1,gan
27,1,1,1,0,10,44,0,37,0,285,1.2862043088446622,1,gan
15,0,1,0,1,21,8,14,41,0,14,-0.7813177573662323,1,gan
28,0,1,0,1,0,40,0,43,0,87,1.2631861611627393,1,gan
15,1,1,0,1,0,38,0,37,0,21,-0.7813208805884415,1,gan
28,1,1,0,0,15,5,0,17,0,0,-0.8386718292107253,1,gan
20,0,1,1,1,17,37,0,37,0,1,-0.7813255654217554,1,gan
0,1,1,1,0,15,23,14,45,0,285,1.2631861611627393,1,gan
44,0,1,1,1,3,44,1,45,0,1,-0.7813257783687242,1,gan
11,1,1,0,0,22,38,0,35,0,14,-0.7813255654217554,1,gan
9,1,1,0,0,15,11,14,32,0,16,1.2791540606012943,1,gan
2,1,1,0,0,5,20,0,7,0,21,1.2633022882430638,1,gan
15,1,1,0,1,3,15,0,22,0,8,-0.781323648899036,1,gan
18,1,1,0,0,15,37,2,40,0,3,-0.7813255654217554,1,gan
13,0,1,0,0,19,9,1,7,0,30,-0.7813186091541076,1,gan
15,0,1,1,0,12,14,0,7,0,0,-0.7813266301565994,1,gan
7,1,1,0,0,23,36,0,18,0,14,-0.7813239328283278,1,gan
16,1,1,0,1,18,18,1,43,0,4,1.2634468792348859,1,gan
2,1,1,0,0,0,33,0,15,0,21,-0.7813197448712745,1,gan
13,1,1,0,0,18,6,2,8,0,30,-0.8386706934935583,1,gan
5,1,1,0,0,19,25,0,31,0,8,1.272935796165068,1,gan
24,1,1,1,0,6,21,14,18,0,4,-0.781322655146515,1,gan
16,1,1,1,1,12,25,1,36,0,1351,-0.7813183962071387,1,gan
14,1,1,0,1,7,12,14,41,0,6,1.2633022882430638,1,gan
16,0,1,0,0,5,44,0,12,0,4,-0.7813266301565994,1,gan
24,1,1,0,1,7,11,1,31,0,1351,-0.7813201707652122,1,gan
35,0,1,0,1,7,18,0,41,0,21,1.2632820582810267,1,gan
3,1,1,0,0,14,44,0,42,0,8,-0.781324855598526,1,gan
15,0,1,0,1,1,19,0,43,0,3,-0.7813231520227755,1,gan
8,1,1,1,0,7,35,14,31,0,1351,1.286202392321943,1,gan
30,1,1,1,0,5,35,2,12,0,13,-0.781323648899036,1,gan
14,1,1,0,1,5,38,0,43,0,21,1.2744785259717748,1,gan
8,1,1,1,1,10,10,0,13,0,3,-0.7813188221010764,1,gan
7,1,1,1,1,12,36,1,20,0,30,-0.7813177573662323,1,gan
13,1,1,0,1,2,3,2,8,0,3,-0.781320454694504,1,gan
44,1,1,1,0,3,38,0,19,0,1803,-0.7813231520227755,1,gan
18,0,1,0,1,21,31,0,31,0,1803,1.272935796165068,1,gan
27,1,1,0,1,21,25,2,44,0,6,-0.7813186091541076,1,gan
2,1,1,1,1,14,34,1,17,0,14,-0.7813183962071387,1,gan
5,1,1,0,0,20,34,14,23,0,42,1.2880026459962644,1,gan
18,0,1,1,0,13,4,1,7,0,1351,-0.7813177573662323,1,gan
44,0,1,0,0,11,2,14,8,0,9,-0.78131697656068,1,gan
8,0,1,0,0,4,9,1,18,0,4,-0.8386718292107253,1,gan
2,0,1,0,0,12,4,0,13,0,4,1.2744785259717748,1,gan
27,1,1,0,0,9,11,2,32,0,3,1.2631861611627393,1,gan
45,1,1,0,0,22,10,0,13,0,1,-0.781324855598526,1,gan
43,1,1,1,0,1,14,2,12,0,14,1.2632820582810267,1,gan
12,0,1,1,1,1,7,2,10,0,3,-0.7813175444192635,1,gan
2,1,1,0,0,17,6,14,13,0,285,-0.7813266301565994,1,gan
12,0,1,1,0,23,4,0,12,0,1351,-0.7813188221010764,1,gan
42,1,1,0,1,11,23,0,15,0,3,-0.7813262042626617,1,gan
15,0,1,0,1,1,35,1,11,0,42,1.2744702920223143,1,gan
3,1,1,1,1,10,22,14,11,0,13,1.2633027141370015,1,gan
20,1,1,0,0,14,17,1,33,0,24,-0.7813255654217554,1,gan
7,0,1,0,0,0,14,2,33,0,10,1.2862006887461925,1,gan
44,1,1,1,1,3,31,14,36,0,0,1.272935796165068,1,gan
7,1,1,0,0,19,9,14,22,0,1351,1.2634468792348859,1,gan
30,0,1,1,0,12,40,0,25,0,30,-0.7813183962071387,1,gan
30,1,1,1,1,0,14,0,42,0,3,1.2862006887461925,1,gan
30,1,1,0,0,0,18,14,22,0,87,-0.7813188221010764,1,gan
44,1,1,1,0,17,17,0,42,0,1351,-0.7813228680934837,1,gan
4,1,1,0,0,7,19,0,40,0,42,1.2744709308632207,1,gan
2,0,1,0,0,13,9,1,43,0,8,1.2729394162635377,1,gan
40,1,1,1,1,7,13,1,38,0,1,-0.7813183962071387,1,gan
15,1,1,0,0,0,21,1,21,0,14,-0.7813175444192635,1,gan
37,0,1,0,0,1,21,0,13,0,21,-0.7813222292525773,1,gan
9,1,1,1,1,7,43,0,31,0,4,1.2862006887461925,1,gan
17,1,1,1,0,21,45,14,31,0,13,-0.7813197448712745,1,gan
45,0,1,0,0,2,9,1,31,0,87,-0.781322655146515,1,gan
7,1,1,0,1,9,41,2,35,0,1803,-0.7813197448712745,1,gan
23,1,1,0,1,13,45,14,36,0,8,-0.7813183962071387,1,gan
3,0,1,0,0,19,35,0,23,0,1803,-0.7813197448712745,1,gan
20,1,1,1,0,0,19,2,7,0,1351,1.2744702920223143,1,gan
23,0,1,0,1,23,42,14,45,0,3,-0.7813255654217554,1,gan
11,1,1,0,0,22,19,0,21,0,8,-0.7813177573662323,1,gan
17,1,1,0,1,15,22,0,18,0,8,-0.781324855598526,1,gan
44,1,1,1,1,23,33,1,10,0,16,1.2880026459962644,1,gan
44,1,1,0,0,15,41,1,35,0,1,-0.7813177573662323,1,gan
15,1,1,1,1,4,37,2,31,0,6,1.2633027141370015,1,gan
42,1,1,0,1,1,5,2,44,0,0,-0.7813197448712745,1,gan
14,1,1,1,0,7,7,2,17,0,9,1.2744771063253162,1,gan
18,1,1,0,0,3,43,1,45,0,87,-0.7813199578182434,1,gan
8,1,1,0,0,7,25,2,33,0,30,-0.7813257783687242,1,gan
11,1,1,1,0,19,32,2,31,0,1803,-0.781322655146515,1,gan
14,1,1,0,1,14,32,2,9,0,1803,-0.7813186091541076,1,gan
9,1,1,0,0,3,4,14,37,0,21,-0.7813195319243057,1,gan
20,0,1,0,1,11,13,2,42,0,30,-0.7813231520227755,1,gan
14,1,1,1,1,22,41,2,17,0,14,-0.7813222292525773,1,gan
45,1,1,0,1,4,7,14,23,0,0,1.2880026459962644,1,gan
28,1,1,0,0,25,14,14,44,0,87,1.2744702920223143,1,gan
37,0,1,1,1,22,3,0,12,0,21,1.272935796165068,1,gan
13,1,1,1,0,21,35,0,40,0,10,-0.781323648899036,1,gan
14,1,1,0,0,10,40,1,31,0,10,-0.7813208805884415,1,gan
7,1,1,1,1,12,43,1,43,0,6,-0.7813197448712745,1,gan
29,1,1,0,1,20,21,1,18,0,6,-0.8386718292107253,1,gan
20,1,1,0,1,1,5,14,15,0,8,-0.7813255654217554,1,gan
23,0,1,0,0,9,18,0,7,0,21,1.2633027141370015,1,gan
43,1,1,0,0,22,4,0,31,0,6,-0.7813175444192635,1,gan
0,1,1,1,0,22,44,1,7,0,14,-0.7813262042626617,1,gan
23,0,1,0,1,4,31,14,32,0,42,1.2862006887461925,1,gan
44,0,1,0,1,18,25,14,22,0,30,1.2880026459962644,1,gan
37,1,1,1,0,23,21,2,43,0,3,-0.7813222292525773,1,gan
24,1,1,0,0,7,3,14,21,0,285,-0.781323648899036,1,gan
8,0,1,0,0,12,21,0,17,0,1351,-0.7813234359520672,1,gan
37,1,1,0,1,0,35,0,43,0,0,-0.781323648899036,1,gan
7,1,1,1,0,9,6,14,8,0,1803,1.2744771063253162,1,gan
3,0,1,0,1,12,2,0,13,0,10,-0.8386718292107253,1,gan
5,1,1,0,1,25,6,0,37,0,1351,1.2880026459962644,1,gan
14,1,1,1,1,25,13,0,41,0,1,-0.7813262042626617,1,gan
44,1,1,0,1,23,22,0,35,0,13,1.2880026459962644,1,gan
8,1,1,1,0,20,5,0,36,0,4,-0.781324855598526,1,gan
42,0,1,1,0,12,31,2,7,0,3,-0.781322655146515,1,gan
45,1,1,1,0,25,17,0,31,0,14,1.2634468792348859,1,gan
23,0,1,1,0,4,20,14,13,0,3,-0.7813177573662323,1,gan
16,1,1,1,1,1,11,14,20,0,3,-0.7813201707652122,1,gan
5,0,1,0,1,19,42,0,32,0,14,1.2791540606012943,1,gan
28,1,1,0,0,2,12,0,45,0,42,1.2744709308632207,1,gan
16,0,1,0,0,0,45,1,12,0,24,-0.7813231520227755,1,gan
4,0,1,0,0,13,5,1,23,0,21,1.2634468792348859,1,gan
37,1,1,0,0,13,19,0,22,0,1803,-0.7813175444192635,1,gan
16,1,1,1,1,4,22,14,34,0,87,-0.7813234359520672,1,gan
18,0,1,0,0,12,2,2,15,0,9,1.2631861611627393,1,gan
3,0,1,1,0,5,23,2,21,0,285,-0.7813188221010764,1,gan
4,1,1,1,0,19,9,2,35,0,21,1.2880026459962644,1,gan
8,0,1,0,0,4,43,1,21,0,87,1.2633022882430638,1,gan
23,1,1,1,1,0,2,2,38,0,21,-0.7813239328283278,1,gan
42,1,1,1,1,21,45,14,7,0,285,1.2791540606012943,1,gan
7,1,1,0,0,11,19,2,18,0,30,1.2862006177638696,1,gan
17,0,1,0,0,3,3,14,18,0,13,-0.7813199578182434,1,gan
45,0,1,1,1,13,13,0,21,0,10,1.2744785259717748,1,gan
45,1,1,0,1,15,10,0,9,0,21,-0.7813201707652122,1,gan
28,1,1,1,1,9,4,0,19,0,13,-0.7813257783687242,1,gan
37,0,1,1,0,14,13,0,8,0,13,-0.7813186091541076,1,gan
23,0,1,1,1,1,18,1,38,0,3,-0.7813239328283278,1,gan
0,0,1,1,0,17,9,0,18,0,3,1.2632820582810267,1,gan
5,1,1,1,0,20,40,14,45,0,3,1.2633027141370015,1,gan
18,1,1,0,0,15,42,2,12,0,1,-0.7813208805884415,1,gan
35,0,1,1,0,18,4,0,7,0,1351,1.2632820582810267,1,gan
35,1,1,0,1,7,8,0,12,0,6,-0.781319318977337,1,gan
30,0,1,0,0,10,5,0,25,0,285,1.286202392321943,1,gan
8,1,1,0,1,7,10,0,18,0,3,-0.7813231520227755,1,gan
45,1,1,0,0,7,9,0,25,0,1803,-0.7813175444192635,1,gan
35,0,1,0,1,1,15,0,40,0,1351,1.2862043088446622,1,gan
11,0,1,1,0,4,20,0,45,0,1351,1.2880026459962644,1,gan
5,1,1,1,1,2,37,14,32,0,87,1.2791540606012943,1,gan
37,0,1,1,0,19,9,0,21,0,3,-0.781320454694504,1,gan
43,0,1,0,0,4,37,0,11,0,8,-0.7813222292525773,1,gan
28,0,1,0,1,4,14,14,22,0,0,-0.7813243587222655,1,gan
3,1,1,0,1,3,7,0,41,0,8,-0.7813175444192635,1,gan
17,1,1,1,1,21,42,1,38,0,21,-0.7813188221010764,1,gan
15,1,1,0,1,23,18,1,7,0,87,-0.7813266301565994,1,gan
2,1,1,0,0,25,10,1,15,0,21,-0.7813197448712745,1,gan
45,1,1,0,1,25,5,0,42,0,10,1.2634468792348859,1,gan
27,1,1,0,0,4,25,0,11,0,1,-0.7813234359520672,1,gan
3,1,1,0,0,21,12,1,19,0,1803,-0.781320454694504,1,gan
28,1,1,0,0,17,17,1,20,0,14,-0.78131697656068,1,gan
9,1,1,1,1,18,23,0,20,0,9,-0.7813201707652122,1,gan
37,1,1,0,1,22,4,0,9,0,1803,-0.8386706934935583,1,gan
16,0,1,0,0,21,44,0,22,0,30,-0.7813228680934837,1,gan
2,1,1,0,0,21,19,0,43,0,8,-0.7813201707652122,1,gan
23,1,1,0,0,1,21,0,7,0,4,1.2632820582810267,1,gan
13,1,1,0,0,2,17,2,9,0,14,-0.7813206676414727,1,gan
23,1,1,0,1,2,7,2,45,0,285,-0.7813183962071387,1,gan
29,1,1,1,0,22,3,1,42,0,3,1.2880026459962644,1,gan
44,1,1,0,0,6,3,2,34,0,0,-0.7813201707652122,1,gan
13,1,1,1,0,25,38,1,17,0,87,-0.7813177573662323,1,gan
18,1,1,0,0,13,7,14,45,0,1351,1.2633022882430638,1,gan
23,1,1,1,0,14,43,14,41,0,42,-0.7813255654217554,1,gan
35,1,1,0,1,23,38,0,17,0,0,1.2862006887461925,1,gan
44,1,1,1,0,6,23,0,11,0,8,-0.7813186091541076,1,gan
13,1,1,0,0,2,37,0,37,0,8,-0.7813234359520672,1,gan
3,1,1,0,0,11,32,1,12,0,8,1.2862043088446622,1,gan
27,1,1,0,0,21,14,14,7,0,24,-0.7813195319243057,1,gan
43,0,1,1,0,19,23,2,11,0,42,-0.7813197448712745,1,gan
5,1,1,1,1,5,10,14,25,0,9,-0.781319318977337,1,gan
2,1,1,1,1,9,38,1,23,0,87,-0.7813239328283278,1,gan
11,1,1,1,1,23,9,14,25,0,1351,-0.7813243587222655,1,gan
14,1,1,0,1,13,19,1,19,0,285,1.2744702920223143,1,gan
13,0,1,0,0,20,38,0,43,0,1803,-0.7813243587222655,1,gan
43,0,1,1,1,7,2,0,23,0,0,1.2862006177638696,1,gan
20,1,1,1,0,21,9,2,37,0,0,1.286202392321943,1,gan
7,0,1,1,1,21,40,0,45,0,8,-0.781323648899036,1,gan
14,1,1,1,1,13,4,1,15,0,14,1.2633022882430638,1,gan
23,0,1,0,1,9,15,14,33,0,1351,1.286202392321943,1,gan
20,0,1,1,0,5,40,0,33,0,42,1.2880026459962644,1,gan
9,1,1,0,1,13,17,2,12,0,6,-0.7813257783687242,1,gan
16,1,1,0,0,6,4,1,22,0,30,-0.7813255654217554,1,gan
4,1,1,1,0,17,19,14,37,0,4,-0.7813222292525773,1,gan
37,1,1,0,0,13,4,14,11,0,1351,-0.7813175444192635,1,gan
20,0,1,1,1,19,9,1,31,0,1803,-0.7813188221010764,1,gan
42,1,1,1,0,13,3,1,41,0,1351,-0.7813206676414727,1,gan
2,0,1,0,0,20,37,1,45,0,285,1.2634468792348859,1,gan
28,1,1,0,1,19,23,0,10,0,42,-0.781320454694504,1,gan
44,1,1,0,1,2,25,1,38,0,1,-0.781320454694504,1,gan
7,0,1,1,1,7,31,14,31,0,4,-0.7813188221010764,1,gan
