user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
36,1,1,0,0,1,7,2,9,0,399,0.5136308933028754,1,borderline smote
18,1,1,0,0,4,12,1,7,0,15,0.5129847413930578,1,borderline smote
25,1,1,0,0,9,9,0,9,0,3,-1.885642557753574,1,borderline smote
18,1,1,0,0,3,10,2,7,0,14,0.5115157317097002,1,borderline smote
37,0,1,1,1,0,5,0,7,0,0,0.5255868122267682,1,borderline smote
32,1,1,0,0,4,6,0,7,0,1,-0.5485042885259954,1,borderline smote
32,1,1,0,0,4,6,0,7,0,1,-0.6100391402045116,1,borderline smote
37,0,1,0,1,0,5,0,10,0,2,0.5362978690884871,1,borderline smote
9,1,1,0,0,0,3,0,12,0,40,0.29388894535396404,1,borderline smote
30,0,1,1,1,0,7,1,10,0,5,0.5142099137609762,1,borderline smote
36,1,1,0,0,1,5,1,17,0,257,0.526130426065812,1,borderline smote
13,1,1,0,0,0,4,1,8,0,25,0.5161678295500426,1,borderline smote
32,1,1,0,0,0,6,1,8,0,903,0.5152649731049194,1,borderline smote
38,1,1,0,1,0,3,0,8,0,2,0.5252901395925407,1,borderline smote
14,1,1,0,0,0,4,1,8,0,23,0.5149394283729681,1,borderline smote
8,1,1,0,0,1,4,0,12,0,9,0.5231828588692635,1,borderline smote
25,0,1,0,1,0,7,0,10,0,29,0.5245043044154071,1,borderline smote
37,0,1,1,1,0,5,0,7,0,0,0.526167611274879,1,borderline smote
35,1,1,0,0,2,5,0,7,0,1,-0.33938220702689526,1,borderline smote
37,0,1,1,1,0,8,0,13,0,23,0.5382980854419959,1,borderline smote
35,0,1,1,1,0,7,0,10,0,1,0.5339569351728727,1,borderline smote
26,1,1,0,0,8,9,0,8,0,4,-1.6424505201793802,1,borderline smote
37,0,1,1,1,0,6,0,10,0,15,0.5382966347324252,1,borderline smote
30,0,1,0,1,0,8,0,12,0,21,-1.9299624969910887,1,borderline smote
35,0,1,0,1,0,7,0,12,0,24,0.5367200827487159,1,borderline smote
20,1,1,0,0,3,10,1,8,0,19,0.5153645213135487,1,borderline smote
18,1,1,0,1,0,5,1,7,0,16,0.4988413125065927,1,borderline smote
19,1,1,0,1,0,5,1,7,0,16,0.1150529539654992,1,borderline smote
19,1,1,0,0,8,12,0,9,0,7,-0.8038388151119253,1,borderline smote
26,1,1,0,1,0,7,0,11,0,16,-1.19364487584529,1,borderline smote
34,1,1,0,0,5,8,6,8,0,1508,0.5215133075796786,1,borderline smote
28,1,1,0,0,10,12,11,8,0,1405,0.5364479113187981,1,borderline smote
10,1,1,0,0,1,4,0,11,0,11,0.5207362025666229,1,borderline smote
12,1,1,0,0,0,4,0,12,0,37,-0.06322163853610896,1,borderline smote
32,1,1,0,0,9,11,10,8,0,1655,0.5309777342732982,1,borderline smote
1,1,1,0,0,8,9,0,11,0,4,-1.27463929609576,1,borderline smote
37,0,1,1,1,0,5,0,8,0,0,0.5281930887003796,1,borderline smote
29,1,1,0,0,1,8,1,10,0,5,0.15002507771244367,1,borderline smote
37,0,1,1,1,0,5,0,8,0,6,0.5329711879027555,1,borderline smote
33,0,1,1,1,0,7,1,10,0,7,0.5230394741144252,1,borderline smote
8,1,1,0,0,1,3,0,11,0,39,0.523332727899424,1,borderline smote
32,0,1,0,1,0,7,0,11,0,26,0.532580165160538,1,borderline smote
25,1,1,0,1,0,7,0,10,0,26,-0.13379202251425137,1,borderline smote
5,1,1,0,0,5,6,0,13,0,7,-0.06351614406557671,1,borderline smote
36,1,1,0,0,0,5,0,17,0,133,0.5249793161427921,1,borderline smote
11,1,1,0,0,0,3,0,10,0,31,0.5193429233967797,1,borderline smote
25,0,1,0,1,0,7,0,10,0,29,0.5244271777453812,1,borderline smote
30,1,1,0,0,7,7,0,7,0,3,-1.8856430660785843,1,borderline smote
35,0,1,0,1,0,9,0,14,0,14,0.027139381948525942,1,borderline smote
12,1,1,0,0,3,8,1,9,0,11,0.5180477981581116,1,borderline smote
19,1,1,0,0,9,12,0,9,0,7,-0.8713699045402781,1,borderline smote
34,0,1,0,0,3,6,0,7,0,6,-0.6918103714245951,1,borderline smote
37,0,1,1,1,0,5,0,7,0,0,0.5257806654500821,1,borderline smote
26,1,1,0,0,1,9,2,9,0,8,0.5114975549551795,1,borderline smote
10,1,1,0,0,2,5,0,10,0,34,0.5209147366159185,1,borderline smote
7,1,1,0,0,0,3,0,11,0,41,0.5242216670673273,1,borderline smote
