user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
34,1,1,0,0,5,9,6,9,0,835,0.5219458801803298,1,borderline smote
18,1,1,0,0,4,12,1,7,0,15,0.5128748613014258,1,borderline smote
24,1,1,0,0,10,10,0,10,0,3,-1.8856423972697638,1,borderline smote
18,1,1,0,0,0,5,2,7,0,15,0.5113505550286032,1,borderline smote
37,0,1,1,1,0,5,0,7,0,0,0.5272038240727875,1,borderline smote
34,1,1,0,0,2,5,0,7,0,0,-0.053377867887586916,1,borderline smote
32,1,1,0,0,3,6,0,7,0,1,-0.5338699990522107,1,borderline smote
39,0,1,0,1,0,3,0,10,0,6,0.5319266578623797,1,borderline smote
18,1,1,0,0,0,5,0,12,0,31,-0.6987943938663879,1,borderline smote
33,0,1,1,1,0,7,1,10,0,3,0.524263003290797,1,borderline smote
32,1,1,0,0,8,10,8,12,0,1069,0.5336289068980524,1,borderline smote
7,1,1,0,0,0,3,0,11,0,41,0.5242070729712998,1,borderline smote
35,1,1,0,0,0,6,1,8,0,1208,0.5126479905851273,1,borderline smote
37,1,1,0,1,0,4,0,7,0,0,0.5229734559332808,1,borderline smote
14,1,1,0,0,0,4,1,8,0,25,0.5161240542331327,1,borderline smote
14,1,1,0,0,0,4,1,8,0,13,0.5154729609524058,1,borderline smote
30,0,1,0,1,0,7,0,11,0,27,0.5303899672264144,1,borderline smote
37,0,1,1,1,0,5,0,7,0,0,0.5241818170778338,1,borderline smote
33,1,1,0,0,5,6,0,7,0,2,-1.2852509415251179,1,borderline smote
37,0,1,1,1,0,8,0,13,0,19,0.5382988184784528,1,borderline smote
31,0,1,1,1,0,7,1,10,0,4,0.5180129365251187,1,borderline smote
20,1,1,0,0,5,12,1,7,0,11,-0.03686958051470435,1,borderline smote
37,0,1,1,1,0,7,0,12,0,22,0.5382977362335072,1,borderline smote
32,0,1,0,1,0,8,0,12,0,21,-1.2310532758995714,1,borderline smote
34,0,1,0,1,0,7,0,12,0,24,0.5357910147661752,1,borderline smote
18,1,1,0,0,4,12,1,7,0,15,0.5124020504270917,1,borderline smote
27,1,1,0,1,0,8,0,11,0,16,-1.4800454117115325,1,borderline smote
25,1,1,0,1,0,7,0,10,0,16,-1.049511050211188,1,borderline smote
20,1,1,0,0,11,12,0,11,0,4,-1.5774994025612,1,borderline smote
27,1,1,0,1,0,8,0,11,0,16,-1.4690839638865336,1,borderline smote
31,1,1,0,0,11,12,11,8,0,1718,0.5350013031783406,1,borderline smote
24,1,1,0,0,1,7,2,9,0,220,0.5246459736524127,1,borderline smote
12,1,1,0,0,1,4,0,10,0,12,0.5184495518872877,1,borderline smote
25,1,1,0,0,0,7,0,12,0,25,-1.4758228450059936,1,borderline smote
36,1,1,0,0,2,6,3,8,0,1397,0.5144379161534209,1,borderline smote
4,1,1,0,0,4,6,0,12,0,7,-0.24190353479877968,1,borderline smote
37,0,1,1,1,0,6,0,9,0,0,0.5365844191123749,1,borderline smote
27,1,1,0,0,6,8,0,9,0,3,-1.3392608781969075,1,borderline smote
37,0,1,1,1,0,5,0,7,0,4,0.5293864912075357,1,borderline smote
31,0,1,1,1,0,7,1,10,0,6,0.5163360694054884,1,borderline smote
16,1,1,0,0,4,11,1,7,0,17,0.5134195364470887,1,borderline smote
36,0,1,0,1,0,7,0,12,0,24,0.5381897954751611,1,borderline smote
27,1,1,0,1,0,8,0,11,0,22,-0.7416682630809416,1,borderline smote
4,1,1,0,0,7,8,0,13,0,6,-0.48149375093827373,1,borderline smote
31,1,1,0,0,10,12,10,10,0,1421,0.5368864915241658,1,borderline smote
8,1,1,0,0,0,3,0,11,0,38,0.522957610414669,1,borderline smote
32,0,1,0,1,0,7,0,11,0,26,0.5330482095582523,1,borderline smote
31,1,1,0,0,7,7,0,7,0,3,-1.8856432217495929,1,borderline smote
32,0,1,0,1,0,8,0,12,0,18,-1.1477191672947358,1,borderline smote
12,1,1,0,0,3,8,1,9,0,11,0.5178390228656173,1,borderline smote
20,1,1,0,0,9,12,0,10,0,6,-1.173700737296559,1,borderline smote
33,0,1,0,0,4,6,0,7,0,5,-1.00422725142994,1,borderline smote
37,0,1,1,1,0,6,0,9,0,0,0.5378570662704264,1,borderline smote
29,1,1,0,0,0,8,2,10,0,6,0.5114569916713368,1,borderline smote
9,1,1,0,0,2,5,0,10,0,34,0.5212893952454406,1,borderline smote
12,1,1,0,0,0,3,0,9,0,29,0.5179650760566114,1,borderline smote
10,1,1,0,0,1,4,0,11,0,11,0.5205634501116481,1,borderline smote
23,1,1,0,0,10,10,10,9,0,1301,0.5358894545305335,1,borderline smote
7,1,1,0,0,1,3,0,11,0,40,0.5240666360781931,1,borderline smote
15,1,1,0,0,6,7,5,10,0,729,0.5307376665769664,1,borderline smote
24,1,1,0,1,0,6,0,9,0,18,-0.7273815833567291,1,borderline smote
36,0,1,1,1,0,6,0,9,0,9,0.5369138600258325,1,borderline smote
31,0,1,0,1,0,8,0,12,0,18,-1.2587170847648335,1,borderline smote
36,0,1,0,0,0,7,0,9,0,1,0.31593798879948287,1,borderline smote
29,0,1,0,0,6,8,0,9,0,2,-1.3049594250687881,1,borderline smote
19,1,1,0,1,0,5,1,7,0,16,0.1542659972405016,1,borderline smote
26,1,1,0,1,0,7,0,11,0,23,-0.6889510432229754,1,borderline smote
29,1,1,0,0,0,9,0,12,0,15,-1.9175082565691448,1,borderline smote
22,1,1,0,0,1,8,1,9,0,26,0.5200547628160033,1,borderline smote
22,1,1,0,0,11,11,0,11,0,3,-1.885642247535646,1,borderline smote
27,1,1,0,1,0,8,0,11,0,16,-1.365458851546001,1,borderline smote
35,1,1,1,1,0,5,1,7,0,1,0.5200605269376053,1,borderline smote
35,1,1,0,0,3,7,3,15,0,553,0.5288610539138376,1,borderline smote
38,0,1,0,1,0,5,0,10,0,3,0.5352575084392989,1,borderline smote
32,1,1,0,0,9,11,9,8,0,1636,0.529751953379131,1,borderline smote
28,0,1,0,1,0,7,0,11,0,27,0.5284469392615976,1,borderline smote
30,1,1,0,1,0,8,0,12,0,18,-1.9528732195077252,1,borderline smote
34,1,1,0,0,1,5,1,8,0,1232,0.5126107520069355,1,borderline smote
18,1,1,0,0,4,12,1,7,0,16,0.5134525659358457,1,borderline smote
32,0,1,0,1,0,7,0,11,0,17,-1.1537563390112475,1,borderline smote
19,1,1,0,1,0,5,1,7,0,18,0.5134467595576756,1,borderline smote
27,1,1,0,0,8,8,0,8,0,3,-1.8856427713030728,1,borderline smote
4,1,1,0,0,9,10,0,14,0,5,-0.8996173674848353,1,borderline smote
18,1,1,0,0,0,5,0,10,0,33,0.5233272748727739,1,borderline smote
7,1,1,0,0,2,4,0,12,0,9,0.5243297121329608,1,borderline smote
24,1,1,0,1,0,6,0,9,0,18,-0.7505795349733048,1,borderline smote
25,1,1,0,1,0,7,0,10,0,27,-0.03796946407689128,1,borderline smote
14,1,1,0,0,3,9,1,9,0,12,0.5162056042596681,1,borderline smote
32,0,1,0,0,5,6,0,7,0,4,-1.4629896511605098,1,borderline smote
35,0,1,0,0,2,6,0,8,0,7,-0.21085227457303612,1,borderline smote
33,1,1,0,0,4,6,0,7,0,1,-0.9542346450785042,1,borderline smote
7,1,1,0,0,1,3,0,12,0,11,0.5245440531257713,1,borderline smote
30,1,1,0,1,0,8,0,12,0,20,-1.9528737497819402,1,borderline smote
37,1,1,0,0,0,5,1,11,0,919,0.5159028940235988,1,borderline smote
6,1,1,0,0,3,4,0,12,0,8,0.251051768289113,1,borderline smote
29,1,1,0,0,0,8,1,10,0,5,0.33093421435441983,1,borderline smote
21,1,1,0,0,11,11,0,11,0,3,-1.8856420938445932,1,borderline smote
27,0,1,0,1,0,7,0,10,0,28,0.5267593922161212,1,borderline smote
35,0,1,0,0,2,7,0,8,0,1,-0.28588208309678365,1,borderline smote
36,1,1,0,0,1,5,0,7,0,0,0.08254454765412644,1,borderline smote
24,1,1,0,0,2,10,0,10,0,15,-0.8566684429494371,1,borderline smote
37,0,1,1,1,0,6,0,9,0,5,0.5382958550632145,1,borderline smote
20,1,1,0,1,0,5,1,8,0,16,-0.08465517505603792,1,borderline smote
36,1,1,0,0,0,5,0,7,0,0,0.29851678103458357,1,borderline smote
36,0,1,0,1,0,9,0,14,0,13,0.2822467040644612,1,borderline smote
