user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
harley,0,1,0,1,6,41,0,40,0,14,1544545256.0,1,gan
root,0,1,0,1,10,7,14,21,0,14,1544891198.0,1,gan
asshole,1,1,0,1,0,3,0,45,0,285,1544865811.0,1,gan
Maddock,0,1,1,0,1,40,0,31,0,16,1544865811.0,1,gan
root,1,1,1,1,0,43,2,22,0,4,1515738510.0,1,gan
newpass,0,1,0,1,4,40,0,35,0,6,1515738489.0,1,gan
internet,1,1,0,0,18,5,2,12,0,21,1544700563.0,1,gan
qwerty,1,1,1,0,17,3,2,34,0,24,1515738557.0,1,gan
money,0,1,1,1,16,35,14,34,0,1803,1514930593.0,1,gan
apple,1,1,0,1,8,7,2,17,0,24,1544678987.0,1,gan
root,1,1,0,0,5,9,1,9,0,42,1544678957.0,1,gan
orange,0,1,1,0,14,32,14,12,0,10,1515738551.0,1,gan
root,1,1,0,0,1,18,1,37,0,42,1544865811.0,1,gan
gta,1,1,0,1,4,16,2,10,0,3,1515738510.0,1,gan
chris,0,1,0,0,21,32,2,32,0,24,1544545262.0,1,gan
newpass,1,1,0,0,19,3,1,11,0,70,1544545262.0,1,gan
internet,0,1,1,0,8,13,2,38,0,2,1544678957.0,1,gan
david,0,1,0,1,3,3,0,21,0,3,1515738476.0,1,gan
Hockey,1,1,1,0,12,17,14,7,0,8,1515738570.0,1,gan
chris,1,1,0,1,22,7,0,16,0,54,1515738479.0,1,gan
mustang,1,1,0,1,7,37,1,28,0,16,1544545262.0,1,gan
osamac,0,1,1,0,28,9,14,24,0,3,1515738506.0,1,gan
internet,0,1,1,0,24,7,1,10,0,14,1515738557.0,1,gan
andrew,1,1,1,0,19,33,0,17,0,463,1515738469.0,1,gan
abc123,1,1,1,0,28,30,2,35,0,2,1515738582.0,1,gan
internet,0,1,1,1,7,35,1,10,0,21,1515738460.0,1,gan
andrew,1,1,1,0,28,16,2,14,0,1803,1515738570.0,1,gan
internet,1,1,1,1,16,38,1,9,0,9,1515738544.0,1,gan
tigger,1,1,1,0,0,40,0,11,0,6,1515738567.0,1,gan
summer,1,1,0,0,1,13,14,11,0,463,1515738472.0,1,gan
mustang,0,1,1,1,9,7,14,19,0,16,1515738548.0,1,gan
abc123,1,1,1,0,1,28,0,40,0,6,1544679450.0,1,gan
kamran,1,1,0,1,19,40,2,21,0,1803,1515738535.0,1,gan
internet,1,1,0,0,1,41,14,8,0,14,1515738582.0,1,gan
apple,0,1,1,0,7,7,0,9,0,6,1514930593.0,1,gan
newpass,1,1,0,0,6,3,0,38,0,2,1544543219.0,1,gan
abc123,1,1,0,0,11,4,1,8,0,8,1515738457.0,1,gan
abc123,1,1,0,0,21,2,1,45,0,285,1514930577.0,1,gan
internet,1,1,0,0,4,4,0,35,0,285,1515738460.0,1,gan
qwerty,1,1,1,0,22,17,2,40,0,3,1544865811.0,1,gan
Maddock,0,1,0,0,7,7,1,37,0,21,1515738593.0,1,gan
tigger,0,1,0,0,16,10,14,7,0,8,1544865801.0,1,gan
asshole,1,1,1,1,18,18,0,33,0,4,1515738506.0,1,gan
gta,1,1,0,0,3,7,0,21,0,21,1515738460.0,1,gan
apple,1,1,1,1,13,37,1,14,0,1803,1515738567.0,1,gan
andrew,0,1,1,1,24,4,2,41,0,1803,1544865836.0,1,gan
