is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target,source
1,1,0,1,0,4,14,6,0,4,0,original
1,0,0,1,0,0,1,0,0,23,0,original
1,1,1,1,0,4,2,6,0,623,0,original
1,1,0,1,0,3,0,2,0,7,0,original
1,1,0,1,0,1,1,2,0,58,0,original
1,0,0,1,0,0,11,0,0,180,0,original
1,0,0,1,0,0,29,0,0,12,0,original
1,1,1,1,0,18,2,1,0,1086,0,original
0,1,1,1,0,14,0,6,0,8,0,original
1,0,0,1,0,0,22,0,0,7,0,original
1,1,0,1,0,2,0,10,0,70,1,original
1,0,0,1,0,0,19,0,0,138376,0,original
1,1,0,1,0,6,1,9,0,21,1,original
1,1,0,0,3,11,2,4,0,10,0,original
1,1,0,0,6,6,0,6,0,9,0,original
1,1,0,0,9,9,0,9,0,3,1,original
1,0,0,1,0,0,9,0,0,120,0,original
1,0,0,1,0,0,14,0,0,6697,0,original
1,1,0,0,3,34,0,34,0,4,1,original
1,0,0,1,0,0,2,0,0,59,0,original
1,0,0,1,0,0,6,0,0,1980,0,original
0,1,1,1,0,6,0,9,0,10,1,original
1,1,0,0,4,4,22,6,0,4,0,original
1,1,0,0,14,14,0,14,0,3,1,original
1,0,0,1,0,0,4,0,0,26,0,original
1,1,0,1,0,2,29,3,0,90,0,original
0,1,1,1,0,2,0,3,0,10,0,original
1,1,1,1,0,7,9,11,0,24,0,original
1,1,1,1,0,6,0,19,0,14,1,original
1,0,0,1,0,0,16,0,0,53,0,original
1,1,0,0,5,13,2,7,0,14,1,original
1,1,0,1,0,1,21,2,0,3507,0,original
1,1,0,1,0,2,0,1,0,13,0,original
1,0,0,1,0,0,6,0,0,552,0,original
1,0,0,1,0,0,3,0,0,7,0,original
1,1,0,0,4,4,0,4,0,5,0,original
1,0,0,1,0,0,7,0,0,142,0,original
1,1,0,0,14,14,14,8,0,1803,1,original
1,0,0,1,0,0,9,0,0,12,0,original
1,1,0,1,0,2,5,3,0,3,0,original
1,1,0,0,1,1,33,1,0,9,0,original
1,1,0,1,0,4,1,2,0,11,0,original
1,1,0,0,4,35,0,35,0,3,1,original
1,1,0,1,0,1,6,2,0,54090,0,original
1,1,0,1,0,6,1,4,0,5,0,original
1,0,0,1,0,0,2,0,0,62,0,original
1,1,0,1,0,3,1,2,0,4,0,original
1,0,0,1,0,0,5,0,0,851,0,original
1,0,0,1,0,0,1,0,0,12,0,original
1,1,0,0,1,3,0,12,0,42,1,original
1,1,0,1,0,4,20,7,0,59,0,original
1,1,0,0,6,6,14,14,0,3,0,original
1,1,0,1,0,4,32,6,0,13,0,original
1,1,0,1,0,2,20,3,0,0,0,original
1,0,0,1,0,0,3,0,0,32,0,original
1,0,0,1,0,0,11,0,0,142,0,original
1,0,0,1,0,0,6,0,0,27,0,original
1,1,1,1,0,19,2,2,0,1,0,original
1,1,1,1,0,31,0,31,0,3,1,original
1,1,0,1,0,1,1,2,0,124,0,original
1,1,0,1,0,2,0,2,0,10,0,original
1,1,1,1,0,7,0,20,0,6,1,original
1,1,0,1,0,2,0,3,0,18,0,original
1,1,0,1,0,3,9,5,0,89,0,original
1,1,0,0,6,14,2,8,0,6,1,original
1,1,0,1,0,1,29,2,0,6,0,original
1,0,0,1,0,0,2,0,0,4,0,original
1,1,0,1,0,2,2,3,0,9,0,original
1,1,0,0,11,42,0,42,0,3,1,original
1,1,0,0,23,23,0,23,0,3,1,original
0,1,1,1,0,11,0,2,0,41,0,original
1,1,0,0,4,4,14,11,0,88,0,original
1,0,0,1,0,0,13,0,0,125,0,original
1,1,0,0,10,10,22,27,0,5526,0,original
1,1,0,0,3,3,0,3,0,4,0,original
1,1,0,1,0,5,20,8,0,9,0,original
1,1,0,1,0,1,9,2,0,72,0,original
1,1,0,0,2,4,0,13,0,9,1,original
1,1,0,0,2,2,0,2,0,3,0,original
1,1,0,1,0,6,0,9,0,19,0,original
1,1,0,0,24,24,0,24,0,3,1,original
1,1,0,1,0,4,9,7,0,21,0,original
1,1,0,1,0,2,0,3,0,13,0,original
1,0,0,1,0,0,20,0,0,137,0,original
1,1,0,0,28,28,0,28,0,2,1,original
1,1,0,0,11,11,0,11,0,3,1,original
1,1,0,0,8,39,0,39,0,4,1,original
1,1,0,0,21,21,0,21,0,4,1,original
1,1,0,0,7,7,22,22,0,153,0,original
1,0,0,1,0,0,26,0,0,900,0,original
1,1,0,0,2,2,22,3,0,6,0,original
1,1,1,1,0,2,2,3,0,39,0,original
1,1,1,1,0,5,2,7,0,16,1,original
1,1,0,0,25,25,0,25,0,3,1,original
1,1,0,1,0,5,1,3,0,8,0,original
