,user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
0,9.0,0.0,1.0,0.0,1.0,3.0,34.0,0.0,15.0,0.0,13.0,-0.7358934171599235,1.0,gan
1,45.0,1.0,1.0,1.0,0.0,12.0,25.0,2.0,21.0,0.0,10.0,-0.7358936336353282,1.0,gan
2,40.0,0.0,1.0,1.0,1.0,15.0,31.0,1.0,36.0,0.0,3.0,-0.7358929842091142,1.0,gan
3,8.0,1.0,1.0,1.0,1.0,7.0,10.0,2.0,19.0,0.0,3.0,-0.7358976745095487,1.0,gan
4,7.0,0.0,1.0,0.0,0.0,1.0,14.0,2.0,10.0,0.0,0.0,-0.7358959427063113,1.0,gan
5,20.0,0.0,1.0,0.0,0.0,3.0,31.0,0.0,43.0,0.0,1.0,-0.7358968807663983,1.0,gan
6,17.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,8.0,0.0,6.0,-0.7358924790998366,1.0,gan
7,29.0,1.0,1.0,1.0,1.0,12.0,45.0,14.0,44.0,0.0,30.0,1.3539601395214276,1.0,gan
8,7.0,1.0,1.0,1.0,0.0,13.0,34.0,0.0,38.0,0.0,8.0,-0.735892262624432,1.0,gan
9,4.0,0.0,1.0,1.0,0.0,25.0,14.0,2.0,22.0,0.0,87.0,-0.7359004165313412,1.0,gan
10,3.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,32.0,0.0,30.0,-0.7358941387446057,1.0,gan
11,27.0,1.0,1.0,0.0,1.0,15.0,41.0,0.0,18.0,0.0,1.0,1.3658848315045948,1.0,gan
12,5.0,1.0,1.0,0.0,0.0,1.0,31.0,0.0,12.0,0.0,14.0,-0.7358995506297225,1.0,gan
13,37.0,1.0,1.0,1.0,0.0,10.0,6.0,1.0,8.0,0.0,4.0,1.3658885837449424,1.0,gan
14,43.0,1.0,1.0,0.0,0.0,10.0,13.0,0.0,33.0,0.0,24.0,-0.7358968807663983,1.0,gan
15,16.0,1.0,1.0,0.0,1.0,10.0,37.0,2.0,7.0,0.0,3.0,1.3539607889476415,1.0,gan
16,18.0,1.0,1.0,1.0,0.0,12.0,21.0,2.0,10.0,0.0,0.0,-0.7358959427063113,1.0,gan
17,4.0,1.0,1.0,1.0,0.0,13.0,12.0,0.0,18.0,0.0,30.0,1.352403897837257,1.0,gan
18,3.0,1.0,1.0,0.0,0.0,0.0,45.0,2.0,38.0,0.0,4.0,-0.7359004165313412,1.0,gan
19,13.0,1.0,1.0,0.0,1.0,6.0,44.0,2.0,15.0,0.0,285.0,1.3524002177553776,1.0,gan
20,8.0,0.0,1.0,0.0,0.0,9.0,14.0,14.0,45.0,0.0,3.0,1.352403897837257,1.0,gan
21,15.0,0.0,1.0,0.0,0.0,22.0,12.0,14.0,12.0,0.0,3.0,-0.7358932006845188,1.0,gan
22,15.0,1.0,1.0,0.0,1.0,7.0,34.0,14.0,40.0,0.0,24.0,-0.7358968807663983,1.0,gan
23,23.0,1.0,1.0,1.0,1.0,20.0,34.0,2.0,17.0,0.0,1803.0,1.367716718537378,1.0,gan
24,0.0,1.0,1.0,1.0,1.0,11.0,31.0,2.0,18.0,0.0,30.0,-0.7358934171599235,1.0,gan
25,8.0,0.0,1.0,0.0,0.0,3.0,31.0,1.0,12.0,0.0,30.0,1.3424890356695116,1.0,gan
26,40.0,1.0,1.0,0.0,0.0,0.0,41.0,14.0,31.0,0.0,42.0,-0.7358941387446057,1.0,gan
27,4.0,0.0,1.0,1.0,0.0,17.0,2.0,0.0,25.0,0.0,4.0,1.3424890356695116,1.0,gan
28,15.0,0.0,1.0,1.0,0.0,1.0,45.0,2.0,25.0,0.0,1.0,-0.7358920461490273,1.0,gan
29,27.0,0.0,1.0,0.0,0.0,12.0,36.0,2.0,42.0,0.0,10.0,1.3424890356695116,1.0,gan
30,30.0,0.0,1.0,0.0,1.0,9.0,14.0,0.0,10.0,0.0,4.0,1.365884903663063,1.0,gan
31,12.0,1.0,1.0,0.0,0.0,21.0,34.0,0.0,8.0,0.0,3.0,-0.7358941387446057,1.0,gan
32,40.0,0.0,1.0,0.0,0.0,14.0,44.0,2.0,12.0,0.0,13.0,-0.7358936336353282,1.0,gan
33,13.0,0.0,1.0,0.0,0.0,6.0,2.0,14.0,42.0,0.0,21.0,-0.7358913967228132,1.0,gan
34,3.0,1.0,1.0,0.0,1.0,1.0,21.0,0.0,17.0,0.0,1.0,-0.7358968807663983,1.0,gan
35,18.0,0.0,1.0,1.0,0.0,9.0,34.0,0.0,10.0,0.0,3.0,1.3587215160471378,1.0,gan
36,12.0,0.0,1.0,0.0,0.0,0.0,45.0,2.0,34.0,0.0,8.0,-0.7358999835805318,1.0,gan
37,29.0,1.0,1.0,1.0,0.0,10.0,2.0,2.0,25.0,0.0,1.0,-0.7358920461490273,1.0,gan
38,9.0,1.0,1.0,1.0,0.0,20.0,45.0,14.0,40.0,0.0,24.0,-0.7358995506297225,1.0,gan
39,7.0,1.0,1.0,1.0,0.0,22.0,5.0,14.0,31.0,0.0,1803.0,-0.7358929842091142,1.0,gan
40,35.0,1.0,1.0,0.0,0.0,15.0,41.0,0.0,38.0,0.0,3.0,-0.7358924790998366,1.0,gan
41,43.0,0.0,1.0,0.0,0.0,7.0,33.0,0.0,18.0,0.0,9.0,-0.7358941387446057,1.0,gan
42,13.0,1.0,1.0,0.0,0.0,21.0,12.0,0.0,42.0,0.0,16.0,-0.7358934171599235,1.0,gan
43,13.0,0.0,1.0,1.0,0.0,3.0,11.0,0.0,10.0,0.0,285.0,-0.7941946453040372,1.0,gan
44,45.0,0.0,1.0,0.0,0.0,19.0,31.0,2.0,32.0,0.0,6.0,1.3524002177553776,1.0,gan
45,40.0,1.0,1.0,1.0,1.0,11.0,20.0,2.0,45.0,0.0,24.0,-0.7358943552200105,1.0,gan
46,17.0,0.0,1.0,0.0,0.0,18.0,32.0,14.0,44.0,0.0,9.0,-0.7358986125696356,1.0,gan
47,18.0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,9.0,0.0,1803.0,-0.7358911802474086,1.0,gan
48,42.0,1.0,1.0,0.0,1.0,2.0,31.0,0.0,40.0,0.0,4.0,1.3658885837449424,1.0,gan
49,20.0,1.0,1.0,0.0,0.0,9.0,45.0,0.0,37.0,0.0,42.0,1.3539607889476415,1.0,gan
50,11.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,32.0,0.0,87.0,-0.7358943552200105,1.0,gan
51,40.0,0.0,1.0,0.0,0.0,6.0,13.0,0.0,33.0,0.0,16.0,-0.7358993341543179,1.0,gan
52,8.0,1.0,1.0,0.0,0.0,14.0,12.0,1.0,17.0,0.0,1351.0,1.352403897837257,1.0,gan
53,16.0,1.0,1.0,0.0,0.0,18.0,13.0,0.0,20.0,0.0,42.0,1.3427540737232957,1.0,gan
54,35.0,0.0,1.0,1.0,0.0,17.0,18.0,1.0,11.0,0.0,285.0,1.3524002177553776,1.0,gan
55,14.0,1.0,1.0,0.0,0.0,6.0,8.0,14.0,40.0,0.0,285.0,1.3587215160471378,1.0,gan
56,2.0,1.0,1.0,0.0,1.0,10.0,6.0,0.0,42.0,0.0,10.0,1.365884903663063,1.0,gan
57,44.0,0.0,1.0,1.0,1.0,23.0,33.0,0.0,22.0,0.0,16.0,-0.7358965921325253,1.0,gan
58,37.0,0.0,1.0,0.0,1.0,18.0,11.0,0.0,38.0,0.0,30.0,-0.735892262624432,1.0,gan
59,7.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,12.0,0.0,87.0,1.365884903663063,1.0,gan
60,28.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,11.0,0.0,3.0,1.3524002177553776,1.0,gan
61,37.0,1.0,1.0,0.0,1.0,17.0,20.0,1.0,19.0,0.0,6.0,-0.7358976745095487,1.0,gan
62,37.0,0.0,1.0,0.0,0.0,19.0,43.0,0.0,43.0,0.0,24.0,-0.7358932006845188,1.0,gan
