user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
5,1,1,1,0,23,24,0,10,0,1803,1.1882315023925922,1,gan
24,1,1,1,1,6,15,1,22,0,87,-0.8286268115114959,1,gan
7,0,1,0,0,15,10,0,37,0,9,1.203983455748325,1,gan
27,1,1,1,1,28,38,2,13,0,42,1.1978492856447391,1,gan
1,0,1,0,1,15,15,2,28,0,70,1.1978492856447391,1,gan
2,1,1,0,0,23,28,2,18,0,15,-0.8852014592902514,1,gan
37,0,1,1,1,21,15,0,37,0,15,-0.8286240806388769,1,gan
9,1,1,1,0,23,7,0,12,0,3,-0.8286269515562456,1,gan
37,0,1,0,1,11,3,2,39,0,9,1.1883464791320884,1,gan
24,0,1,1,0,24,4,1,10,0,42,-0.8286307327644872,1,gan
45,1,1,0,0,30,12,0,45,0,42,-0.8286236605046279,1,gan
20,0,1,0,1,5,32,1,37,0,0,-0.8286269515562456,1,gan
9,1,1,0,0,6,23,0,20,0,0,1.1978492856447391,1,gan
40,0,1,1,1,24,6,0,36,0,24,-0.8286268115114959,1,gan
5,1,1,0,1,15,38,0,14,0,87,-0.8286245707955008,1,gan
30,1,1,0,0,1,40,1,29,0,70,-0.8286247808626254,1,gan
30,0,1,0,0,6,2,14,12,0,4,1.1978492856447391,1,gan
2,1,1,1,0,5,2,14,24,0,21,-0.8286280719142431,1,gan
44,0,1,0,1,8,8,1,25,0,6,-0.8286280719142431,1,gan
21,0,1,1,1,8,39,0,27,0,70,-0.8286236605046279,1,gan
24,0,1,1,0,30,45,0,29,0,13,-0.82862499092975,1,gan
26,0,1,0,1,30,7,14,22,0,15,-0.8286269515562456,1,gan
45,1,1,1,1,13,4,0,38,0,4,-0.8852014592902514,1,gan
7,0,1,1,0,22,22,0,40,0,42,-0.8286283520037425,1,gan
9,0,1,1,1,0,6,1,15,0,1351,-0.8286236605046279,1,gan
11,0,1,1,1,22,37,1,21,0,463,-0.8286307327644872,1,gan
2,1,1,1,1,1,31,2,40,0,42,1.1978492856447391,1,gan
0,0,1,0,1,10,2,0,24,0,24,-0.8286300325407387,1,gan
21,0,1,0,0,22,32,0,10,0,24,-0.8286242907060014,1,gan
0,1,1,0,0,12,13,0,21,0,15,1.1993630293441482,1,gan
10,1,1,0,0,6,4,14,42,0,6,1.1883464791320884,1,gan
5,1,1,0,1,30,23,0,22,0,463,1.203983455748325,1,gan
32,0,1,0,1,10,14,1,24,0,16,-0.8286242907060014,1,gan
40,1,1,1,1,6,6,0,22,0,6,1.1882315023925922,1,gan
23,0,1,0,0,24,2,2,25,0,21,-0.8286300325407387,1,gan
27,1,1,1,0,16,14,0,25,0,14,1.197850756114611,1,gan
25,1,1,1,0,10,25,1,32,0,3,-0.8286222600571309,1,gan
41,0,1,1,1,6,25,0,30,0,21,-0.8852014592902514,1,gan
24,1,1,1,0,24,37,0,39,0,21,-0.8286304526749878,1,gan
37,1,1,0,0,12,2,1,37,0,13,-0.82862499092975,1,gan
9,1,1,1,0,7,39,0,18,0,15,-0.8286278618471186,1,gan
8,1,1,0,0,1,2,0,15,0,0,1.2109347169439824,1,gan
26,0,1,0,0,12,30,2,11,0,0,-0.8286311528987363,1,gan
0,0,1,1,0,7,27,0,16,0,4,-0.8852029297601232,1,gan
2,0,1,0,1,21,37,2,14,0,6,1.2109383581074744,1,gan
41,0,1,0,1,8,22,1,12,0,6,1.1993630293441482,1,gan
25,1,1,1,0,10,40,14,23,0,15,1.1993600884044047,1,gan
29,1,1,1,0,16,24,0,30,0,8,-0.8286278618471186,1,gan
44,1,1,0,1,28,8,1,30,0,24,1.1978852771454098,1,gan
11,0,1,1,0,2,14,14,39,0,13,1.1993630293441482,1,gan
44,1,1,0,0,1,29,2,25,0,14,1.1993711519396302,1,gan
30,1,1,0,0,0,21,1,16,0,24,-0.8286302426078633,1,gan
23,0,1,0,0,30,23,14,10,0,8,-0.8286247808626254,1,gan
41,0,1,0,0,0,40,1,42,0,3,1.197850756114611,1,gan
45,1,1,0,0,7,29,2,12,0,9,-0.8286307327644872,1,gan
0,1,1,0,1,25,4,0,13,0,8,-0.8286278618471186,1,gan
9,1,1,1,0,0,38,0,10,0,14,1.2109374478166015,1,gan
32,1,1,0,1,2,30,0,18,0,463,1.2109374478166015,1,gan
10,1,1,1,0,28,10,2,38,0,16,1.1882315023925922,1,gan
32,0,1,0,1,23,6,0,16,0,1351,1.2109383581074744,1,gan
9,0,1,0,0,8,37,0,31,0,21,1.2109383581074744,1,gan
29,1,1,1,0,16,29,1,11,0,4,1.197850756114611,1,gan
23,1,1,1,0,13,12,1,15,0,6,-0.8286280719142431,1,gan
32,0,1,0,1,23,30,14,25,0,0,1.203983455748325,1,gan
11,1,1,0,0,22,10,0,39,0,1351,1.2109347169439824,1,gan
25,1,1,0,1,24,42,0,21,0,3,-0.8286278618471186,1,gan
37,1,1,0,0,13,3,0,12,0,3,1.2109347169439824,1,gan
2,1,1,0,0,10,2,0,24,0,24,1.1883464791320884,1,gan
45,0,1,0,1,23,23,0,37,0,463,1.1993630293441482,1,gan
24,1,1,0,0,23,25,1,13,0,4,-0.828626321354872,1,gan
7,1,1,1,0,1,24,0,40,0,2,-0.8286265314219965,1,gan
0,0,1,0,0,12,45,1,20,0,15,1.1978852771454098,1,gan
32,0,1,1,0,16,16,2,21,0,2,-0.8286269515562456,1,gan
20,1,1,0,1,30,5,2,11,0,3,-0.8286268115114959,1,gan
5,0,1,1,0,10,2,0,18,0,4,-0.8286269515562456,1,gan
