user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
23,1,1,0,0,0,7,1,8,0,19,0.521039966346713,1,borderline smote
11,1,1,0,0,1,3,0,11,0,230,0.5226587682658054,1,borderline smote
27,1,1,0,0,8,8,0,8,0,3,-1.8856427986237876,1,borderline smote
27,1,1,0,0,8,8,0,8,0,3,-1.8856429445617833,1,borderline smote
29,1,1,0,0,1,8,1,10,0,5,0.154112250913242,1,borderline smote
17,1,1,0,0,4,12,1,7,0,13,0.5124515432790857,1,borderline smote
29,1,1,0,0,6,13,1,8,0,5,-0.00297468118600297,1,borderline smote
26,1,1,0,0,5,13,2,7,0,8,0.5116199957340061,1,borderline smote
8,1,1,0,0,8,9,0,13,0,6,-0.8750185310784517,1,borderline smote
34,0,1,0,1,0,6,0,9,0,11,-0.38912440073961885,1,borderline smote
30,1,1,1,1,0,7,0,19,0,6,0.5237686117025053,1,borderline smote
9,1,1,0,0,12,12,0,13,0,4,-1.8221666232225466,1,borderline smote
27,1,1,0,0,5,8,0,8,0,3,-1.2050578363109823,1,borderline smote
14,1,1,0,0,0,4,1,8,0,13,0.5153539942877029,1,borderline smote
27,1,1,0,0,9,9,0,9,0,3,-1.8856427437603354,1,borderline smote
13,1,1,0,1,0,3,0,9,0,48,0.5237354830030596,1,borderline smote
29,1,1,0,1,0,6,0,10,0,15,-1.9392178170466097,1,borderline smote
28,1,1,0,0,9,10,0,9,0,3,-1.4639034616885667,1,borderline smote
39,0,1,0,1,0,2,0,11,0,8,0.5301839380296376,1,borderline smote
23,1,1,0,1,0,6,1,9,0,18,-0.7057329332879713,1,borderline smote
28,1,1,0,1,0,7,0,11,0,21,-1.5101768554746875,1,borderline smote
13,1,1,0,0,0,4,1,9,0,13,0.5161624186016425,1,borderline smote
14,1,1,0,0,1,3,0,10,0,376,0.5211876558544098,1,borderline smote
29,1,1,0,0,6,12,1,8,0,5,-0.15736027845480893,1,borderline smote
27,1,1,0,0,7,9,0,8,0,3,-1.1471402127548713,1,borderline smote
38,1,1,0,1,0,3,0,8,0,3,0.5260793055266867,1,borderline smote
28,1,1,0,0,6,11,1,8,0,4,-0.665881758084526,1,borderline smote
18,1,1,0,0,1,7,2,7,0,15,0.51142515893586,1,borderline smote
21,1,1,0,0,3,11,1,8,0,14,-0.10564232364786164,1,borderline smote
28,1,1,0,0,3,8,1,9,0,4,-0.4716673404101832,1,borderline smote
17,1,1,0,0,4,12,1,7,0,13,0.5118924596619481,1,borderline smote
18,1,1,0,0,2,9,2,7,0,14,0.5114708830715959,1,borderline smote
18,1,1,0,1,0,5,1,7,0,16,0.512387485655605,1,borderline smote
27,1,1,0,0,9,9,0,9,0,3,-1.8856427181858855,1,borderline smote
30,1,1,0,1,0,7,1,11,0,9,-0.35125679131008103,1,borderline smote
34,1,1,0,0,4,8,4,14,0,696,0.5301789887798767,1,borderline smote
3,1,1,0,0,10,10,0,13,0,4,-1.087686982038643,1,borderline smote
8,1,1,0,0,1,4,0,12,0,9,0.5227470236916549,1,borderline smote
29,1,1,0,0,0,5,1,8,0,1056,0.5144449460218431,1,borderline smote
21,1,1,0,0,2,9,1,8,0,17,0.5171918448265069,1,borderline smote
24,1,1,0,0,5,13,2,7,0,9,0.5116199473087133,1,borderline smote
9,1,1,0,0,10,10,0,13,0,5,-1.3278138479478743,1,borderline smote
17,1,1,0,0,0,4,1,7,0,15,0.5118908819007327,1,borderline smote
36,0,1,0,1,0,8,0,13,0,14,0.5247234411140962,1,borderline smote
26,1,1,0,1,0,6,0,9,0,18,-0.6406587859194411,1,borderline smote
39,1,1,0,1,0,2,0,9,0,5,0.5279964823954644,1,borderline smote
16,1,1,0,1,0,4,1,7,0,22,0.5128548909736226,1,borderline smote
35,0,1,1,1,0,6,0,9,0,8,0.5315232831912541,1,borderline smote
30,1,1,0,1,0,7,1,11,0,6,0.5123227522329705,1,borderline smote
5,1,1,0,0,5,7,0,13,0,7,-0.27262549452564033,1,borderline smote
8,1,1,0,0,8,8,0,13,0,6,-0.8077221564951269,1,borderline smote
27,1,1,0,1,0,7,0,10,0,21,-0.8940326106032953,1,borderline smote
20,1,1,0,0,11,12,0,11,0,3,-1.83849166163297,1,borderline smote
6,1,1,0,0,2,4,0,13,0,8,0.34294564530394606,1,borderline smote
18,1,1,0,0,7,12,1,8,0,10,-0.22121608333694953,1,borderline smote
25,1,1,0,0,8,8,0,8,0,3,-1.8856428099512097,1,borderline smote
31,1,1,0,0,10,11,10,10,0,1342,0.5361512424418622,1,borderline smote
33,0,1,0,1,0,8,0,12,0,17,-0.7439578153972011,1,borderline smote
14,1,1,0,1,0,4,0,10,0,51,-0.39875972725034103,1,borderline smote
28,1,1,0,0,7,10,0,8,0,4,-0.9394636870147062,1,borderline smote
9,1,1,0,0,0,2,0,9,0,269,0.5224969565423969,1,borderline smote
37,0,1,0,1,0,8,0,13,0,13,0.5377206836687588,1,borderline smote
34,1,1,0,0,1,5,1,8,0,1258,0.5123500710008393,1,borderline smote
27,1,1,0,0,7,9,0,8,0,3,-1.384809855089065,1,borderline smote
27,1,1,0,0,5,8,0,8,0,3,-1.0973432145882558,1,borderline smote
22,1,1,0,0,5,13,2,7,0,11,0.5116198407768161,1,borderline smote
28,1,1,0,0,7,9,0,10,0,3,-1.2763885601629401,1,borderline smote
37,0,1,0,1,0,4,0,9,0,9,0.5358563371626722,1,borderline smote
14,1,1,0,0,0,4,1,8,0,13,0.5155813787606006,1,borderline smote
30,1,1,0,1,0,7,0,11,0,15,-1.9528754160190964,1,borderline smote
36,0,1,1,1,0,6,0,9,0,9,0.5346281928757819,1,borderline smote
15,1,1,0,0,1,3,0,10,0,423,0.5207251593455631,1,borderline smote
33,0,1,0,1,0,9,0,13,0,16,-0.5757031376223412,1,borderline smote
29,1,1,0,0,5,7,0,7,0,2,-1.1715317270131753,1,borderline smote
21,1,1,0,0,2,8,1,8,0,18,0.5180754216510677,1,borderline smote
9,1,1,0,0,1,4,0,11,0,10,0.5211544567946788,1,borderline smote
27,1,1,0,1,0,6,0,10,0,17,-0.9911305700857876,1,borderline smote
26,1,1,0,0,8,8,0,8,0,3,-1.885642919117618,1,borderline smote
36,1,1,0,0,1,6,2,8,0,1353,0.5115766959987311,1,borderline smote
27,1,1,0,1,0,6,0,10,0,17,-1.0316829975388733,1,borderline smote
7,1,1,0,1,0,2,0,9,0,59,0.521970416880186,1,borderline smote
5,1,1,0,1,0,2,0,9,0,66,0.5236016019550683,1,borderline smote
12,1,1,0,1,0,3,0,9,0,50,0.5238281142649939,1,borderline smote
6,1,1,0,0,2,4,0,13,0,8,0.4021825348069412,1,borderline smote
30,1,1,0,1,0,7,0,11,0,15,-1.9528754823355752,1,borderline smote
37,0,1,1,1,0,6,0,9,0,10,0.5382959354293547,1,borderline smote
20,1,1,0,1,0,5,1,7,0,18,0.5161284492874321,1,borderline smote
38,1,1,0,0,0,6,1,9,0,961,0.5164077909540726,1,borderline smote
21,1,1,0,1,0,6,0,11,0,37,-1.1403469579566834,1,borderline smote
11,1,1,0,1,0,3,0,9,0,53,0.5239512233289019,1,borderline smote
39,0,1,0,1,0,3,0,11,0,8,0.5313158798143366,1,borderline smote
21,1,1,0,0,11,11,0,11,0,3,-1.8856420110427734,1,borderline smote
29,1,1,0,0,6,13,1,8,0,5,0.12550137895320002,1,borderline smote
30,1,1,0,0,5,13,2,8,0,6,0.5115964973070523,1,borderline smote
31,0,1,0,1,0,8,0,12,0,19,-1.3294545017770023,1,borderline smote
5,1,1,0,1,0,2,0,9,0,67,0.5240262337269076,1,borderline smote
30,1,1,0,0,5,7,0,7,0,2,-1.1552621770167875,1,borderline smote
38,1,1,0,1,0,3,0,8,0,3,0.5261190940230701,1,borderline smote
10,1,1,0,0,2,6,0,11,0,10,0.520322316525269,1,borderline smote
16,1,1,0,0,0,4,1,8,0,14,0.5135913100503448,1,borderline smote
5,1,1,0,0,5,6,0,13,0,7,-0.12992463545067467,1,borderline smote
6,1,1,0,0,0,2,0,9,0,114,0.5240841887288259,1,borderline smote
37,0,1,1,1,0,7,0,11,0,11,0.5382972999879517,1,borderline smote
18,1,1,0,0,4,11,1,7,0,15,0.5133773787918098,1,borderline smote
31,1,1,0,0,1,5,1,8,0,1096,0.5139760960412668,1,borderline smote
27,1,1,0,1,0,7,0,10,0,21,-0.9345179738223228,1,borderline smote
18,1,1,0,0,1,7,2,7,0,15,0.5114058473289167,1,borderline smote
26,1,1,0,0,8,8,0,8,0,3,-1.885642862436818,1,borderline smote
18,1,1,0,0,4,12,1,7,0,14,0.5130966425790683,1,borderline smote
2,1,1,0,0,13,13,0,13,0,3,-1.8122196176711514,1,borderline smote
22,1,1,0,0,11,11,0,11,0,3,-1.885642144481773,1,borderline smote
35,1,1,0,0,1,5,1,8,0,1297,0.5119651074736528,1,borderline smote
32,0,1,0,1,0,8,0,12,0,22,-0.9593425382841403,1,borderline smote
33,0,1,1,1,0,6,0,9,0,8,0.5266578774595686,1,borderline smote
35,0,1,1,1,0,6,0,9,0,8,0.5314245968275736,1,borderline smote
37,1,1,0,0,0,5,1,10,0,1033,0.5147189504769228,1,borderline smote
10,1,1,0,1,0,2,0,11,0,73,0.5245419732817704,1,borderline smote
18,1,1,0,1,0,5,1,7,0,16,0.31202781119739165,1,borderline smote
37,0,1,1,1,0,7,0,11,0,11,0.5382976693964856,1,borderline smote
18,1,1,0,0,0,5,0,9,0,27,0.5233059291422736,1,borderline smote
29,1,1,0,1,0,7,0,11,0,21,-1.8088087033229445,1,borderline smote
36,0,1,0,1,0,9,0,14,0,13,0.3270827795381317,1,borderline smote
28,1,1,0,0,7,10,0,8,0,4,-0.8252082958083724,1,borderline smote
