user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
39,1,1,0,1,0,2,0,10,0,7,0.5295711808398582,1,borderline smote
27,1,1,0,0,5,8,0,8,0,3,-1.1401892534383893,1,borderline smote
6,1,1,0,0,0,2,0,11,0,51,0.5245422149698179,1,borderline smote
37,0,1,1,1,0,6,0,9,0,0,0.5340908511378224,1,borderline smote
26,1,1,0,1,0,6,0,10,0,21,-0.3745238984751418,1,borderline smote
16,1,1,0,0,4,11,1,7,0,17,0.5130772892336136,1,borderline smote
12,1,1,0,0,2,7,0,9,0,28,0.5184405923121949,1,borderline smote
30,1,1,0,1,0,7,0,12,0,20,-1.6565879861123385,1,borderline smote
27,1,1,0,1,0,4,0,15,0,82,0.5245480473888333,1,borderline smote
35,0,1,0,1,0,8,0,12,0,23,-0.057627651640192346,1,borderline smote
38,0,1,0,1,0,6,0,13,0,10,0.5346738320799933,1,borderline smote
29,0,1,0,1,0,4,0,8,0,57,0.5351446081225458,1,borderline smote
33,0,1,0,0,2,10,0,9,0,3,0.5251235371226879,1,borderline smote
37,1,1,0,0,0,5,0,13,0,690,0.5182872506630872,1,borderline smote
18,0,1,0,1,0,3,0,9,0,63,0.5304207375265623,1,borderline smote
36,1,1,1,1,0,5,1,7,0,0,0.5224572551383793,1,borderline smote
36,1,1,1,1,0,6,0,18,0,13,0.5231389271198639,1,borderline smote
29,1,1,0,1,0,7,0,11,0,21,-1.8750672118671499,1,borderline smote
17,1,1,0,1,0,4,0,10,0,212,0.5239025742746863,1,borderline smote
30,1,1,0,0,7,7,0,7,0,3,-1.8856431717746163,1,borderline smote
37,0,1,1,1,0,7,0,15,0,19,0.5315430084915056,1,borderline smote
36,0,1,0,1,0,8,0,12,0,23,0.30803010015141696,1,borderline smote
33,0,1,0,1,0,7,0,12,0,23,0.5344209490066355,1,borderline smote
34,1,1,0,1,0,6,0,16,0,16,-0.49214099783564125,1,borderline smote
18,1,1,0,0,3,11,2,7,0,14,0.5115449429478841,1,borderline smote
35,1,1,1,1,0,6,0,17,0,12,0.5215548238412752,1,borderline smote
32,1,1,0,0,6,6,0,7,0,2,-1.7002457914347036,1,borderline smote
27,1,1,0,0,5,8,0,8,0,3,-1.1910816341259602,1,borderline smote
36,1,1,0,0,1,5,0,7,0,0,0.1344609847573695,1,borderline smote
32,1,1,0,0,6,6,0,7,0,2,-1.7163279492398014,1,borderline smote
37,0,1,1,1,0,9,0,14,0,15,0.5382997121561516,1,borderline smote
33,1,1,0,0,4,6,0,7,0,1,-1.0027374101815818,1,borderline smote
37,0,1,0,1,0,6,0,10,0,1,0.5372339881585073,1,borderline smote
31,1,1,0,1,0,6,1,11,0,6,0.5150991810546597,1,borderline smote
35,1,1,1,1,0,5,1,7,0,1,0.5206372670871363,1,borderline smote
33,1,1,0,1,0,4,0,17,0,85,0.5245501066643724,1,borderline smote
38,0,1,0,1,0,4,0,10,0,4,0.5344902372597972,1,borderline smote
19,1,1,0,1,0,5,1,7,0,16,0.5135153589142654,1,borderline smote
24,1,1,0,1,0,6,0,9,0,21,0.2655076211163272,1,borderline smote
10,1,1,0,0,0,3,0,10,0,33,0.5203363716550304,1,borderline smote
33,1,1,0,0,0,5,1,8,0,1210,0.5128695860246835,1,borderline smote
20,1,1,0,0,5,13,2,7,0,12,0.5116197755109496,1,borderline smote
13,1,1,0,1,0,3,0,9,0,49,0.523773719810381,1,borderline smote
31,1,1,1,1,0,7,1,12,0,7,0.5138349898590323,1,borderline smote
21,1,1,0,0,11,11,0,11,0,3,-1.8856421410534665,1,borderline smote
24,0,1,0,1,0,6,0,9,0,21,0.5228541966386671,1,borderline smote
38,0,1,0,1,0,6,0,13,0,10,0.5342561717174759,1,borderline smote
18,0,1,0,1,0,3,0,9,0,63,0.5302813978770612,1,borderline smote
35,1,1,1,1,0,6,0,17,0,12,0.5216424799426236,1,borderline smote
9,1,1,0,0,0,3,0,11,0,39,0.5243279207357704,1,borderline smote
14,1,1,0,0,0,4,1,9,0,13,0.5157806823875843,1,borderline smote
18,1,1,0,0,4,12,1,7,0,14,0.5122548721222712,1,borderline smote
37,0,1,1,1,0,8,0,13,0,20,0.5382986225934225,1,borderline smote
22,1,1,0,0,0,5,0,12,0,244,0.5236982293160296,1,borderline smote
30,1,1,0,0,6,11,1,7,0,5,-0.20032162266863063,1,borderline smote
38,1,1,0,0,0,6,1,9,0,1028,0.5155575065172858,1,borderline smote
39,0,1,0,1,0,2,0,11,0,8,0.5302677090110898,1,borderline smote
23,1,1,0,1,0,5,0,9,0,22,0.5228134395856843,1,borderline smote
13,0,1,0,1,0,2,0,9,0,65,0.5280031539111975,1,borderline smote
26,1,1,0,1,0,6,0,10,0,21,-0.7082522733868467,1,borderline smote
39,1,1,0,1,0,3,0,13,0,9,0.5283851106565833,1,borderline smote
10,1,1,0,1,0,3,0,9,0,56,0.524028915751791,1,borderline smote
39,1,1,0,1,0,2,0,11,0,8,0.5298323188404742,1,borderline smote
38,1,1,0,1,0,3,0,9,0,4,0.527188178734211,1,borderline smote
24,1,1,0,0,5,13,2,7,0,9,0.5116199126938281,1,borderline smote
17,1,1,0,0,0,4,1,7,0,15,0.5119950686741446,1,borderline smote
39,0,1,0,1,0,7,0,10,0,349,0.5271083206956287,1,borderline smote
27,1,1,0,0,0,7,0,12,0,22,-1.7256102532122224,1,borderline smote
35,1,1,0,0,1,5,0,7,0,0,-0.05421355159310304,1,borderline smote
26,1,1,0,0,8,8,0,8,0,3,-1.885642855904041,1,borderline smote
37,0,1,1,1,0,7,0,15,0,19,0.5315701769238491,1,borderline smote
29,1,1,0,0,0,8,1,10,0,5,0.4770534393595758,1,borderline smote
6,1,1,0,0,0,2,0,11,0,48,0.5245425055175904,1,borderline smote
30,1,1,0,0,6,11,1,7,0,5,-0.2743572950470481,1,borderline smote
33,1,1,0,0,5,6,0,7,0,2,-1.311530892251122,1,borderline smote
37,0,1,0,0,0,5,1,8,0,1042,0.5178114055922947,1,borderline smote
35,1,1,0,0,1,5,0,7,0,0,-0.13181603995300106,1,borderline smote
