user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
37,1,0,0,1,0,0,14,0,0,6697,0.512349822131764,0,original
40,1,0,0,1,0,0,2,0,0,4,0.5300412748493206,0,original
24,1,1,0,1,0,2,3,3,0,3,0.5228823072991982,0,original
40,1,1,0,1,0,1,0,6,1,0,0.5300338683895066,0,original
36,1,1,0,0,3,3,0,3,0,4,-1.8856449146284489,0,original
40,1,1,0,1,0,2,2,3,0,9,0.5300441042834069,0,original
24,1,0,0,1,0,0,7,0,0,8,0.5298628540645873,0,original
19,1,1,0,0,5,5,22,20,0,179837,0.5395502538453769,0,original
37,0,1,1,1,0,1,0,2,1,0,0.5382851639342225,0,original
19,1,1,0,0,6,6,22,21,0,224,0.5395688948228863,0,original
40,1,1,0,1,0,2,0,2,0,10,0.5300351998879002,0,original
24,1,0,0,1,0,0,4,0,0,4105,0.5232250016982334,0,original
30,1,0,0,1,0,0,19,0,0,138376,0.5241935003422286,0,original
30,1,1,0,1,0,4,14,6,0,4,0.5126221135532413,0,original
30,1,0,0,1,0,0,7,0,0,13,0.5126003934856967,0,original
40,1,1,0,1,0,1,0,8,1,0,0.5300343677014041,0,original
30,1,0,0,1,0,0,6,0,0,552,0.5116264024108284,0,original
24,1,0,0,1,0,0,6,0,0,27,0.5253608915587574,0,original
31,1,1,0,0,9,9,22,26,0,18,0.5396063432152044,0,original
30,1,0,0,1,0,0,2,0,0,354,0.5112551640149818,0,original
30,1,1,1,1,0,19,2,2,0,1,0.5123578943407748,0,original
30,1,1,0,1,0,4,32,6,0,13,0.5402490408460322,0,original
37,0,1,1,1,0,12,0,4,0,116,0.5383132086191363,0,original
30,1,1,0,1,0,6,0,9,0,19,-1.9528769287622416,0,original
30,1,1,0,1,0,3,14,5,0,83,0.512621780678643,0,original
18,1,1,0,0,3,11,2,4,0,10,0.5115971094461707,0,original
18,1,0,0,1,0,0,33,0,0,8,0.540249706595229,0,original
24,1,0,0,1,0,0,9,0,0,9,0.5382417237991336,0,original
30,1,0,0,1,0,0,26,0,0,900,0.5401698166916171,0,original
30,1,0,0,1,0,0,1,0,1,0,0.5112257046130249,0,original
19,1,1,0,0,8,8,14,17,0,4,0.5395315296492178,0,original
40,1,1,0,1,0,1,1,4,0,30,0.5300409419747222,0,original
18,1,1,0,0,11,11,14,4,0,7973,0.5402572794923421,0,original
30,1,1,0,1,0,2,9,4,0,279,0.5116784972854753,0,original
30,1,0,0,1,0,0,10,0,0,311,0.5117755302309039,0,original
40,1,0,0,1,0,0,1,0,1,0,0.5300362817303449,0,original
6,0,1,1,1,0,14,0,6,0,8,0.5383150394294274,0,original
40,1,1,0,1,0,1,0,4,1,0,0.5300421902544662,0,original
30,1,1,0,1,0,2,21,3,0,61,0.524515140422916,0,original
30,1,0,0,1,0,0,24,0,0,104,0.5400910918490995,0,original
30,1,0,0,1,0,0,2,0,0,80,0.5111354123782136,0,original
30,1,1,0,1,0,8,21,22,0,78,0.524554669281474,0,original
30,1,1,0,1,0,1,21,2,0,3507,0.5245100640852907,0,original
33,1,1,0,0,1,1,0,1,1,0,-1.885645497158996,0,original
18,1,1,0,0,2,6,21,15,0,11,0.524546430635164,0,original
30,1,0,0,1,0,0,7,0,0,142,0.511638219459071,0,original
30,1,1,0,1,0,2,0,3,0,13,-1.952880840038773,0,original
40,1,0,0,1,0,0,3,0,0,733,0.5228745679647858,0,original
