,user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
171,37,1,0,0,1,0,0,14,0,0,6697,0.512349822131764,0,original
45,40,1,0,0,1,0,0,2,0,0,4,0.5300412748493206,0,original
16,24,1,1,0,1,0,2,3,3,0,3,0.5228823072991982,0,original
25,40,1,1,0,1,0,1,0,6,1,0,0.5300338683895066,0,original
83,36,1,1,0,0,3,3,0,3,0,4,-1.8856449146284489,0,original
51,40,1,1,0,1,0,2,2,3,0,9,0.5300441042834069,0,original
111,5,1,1,1,1,0,31,0,31,0,3,-1.8856365095448397,1,original
212,5,1,1,0,1,0,2,0,10,0,70,0.524539856361846,1,original
22,24,1,0,0,1,0,0,7,0,0,8,0.5298628540645873,0,original
236,19,1,1,0,0,5,5,22,20,0,179837,0.5395502538453769,0,original
65,37,0,1,1,1,0,1,0,2,1,0,0.5382851639342225,0,original
237,19,1,1,0,0,6,6,22,21,0,224,0.5395688948228863,0,original
32,40,1,1,0,1,0,2,0,2,0,10,0.5300351998879002,0,original
18,24,1,0,0,1,0,0,4,0,0,4105,0.5232250016982334,0,original
196,30,1,0,0,1,0,0,19,0,0,138376,0.5241935003422286,0,original
187,30,1,1,0,1,0,4,14,6,0,4,0.5126221135532413,0,original
180,30,1,0,0,1,0,0,7,0,0,13,0.5126003934856967,0,original
26,40,1,1,0,1,0,1,0,8,1,0,0.5300343677014041,0,original
153,30,1,0,0,1,0,0,6,0,0,552,0.5116264024108284,0,original
20,24,1,0,0,1,0,0,6,0,0,27,0.5253608915587574,0,original
241,31,1,1,0,0,9,9,22,26,0,18,0.5396063432152044,0,original
137,30,1,0,0,1,0,0,2,0,0,354,0.5112551640149818,0,original
173,30,1,1,1,1,0,19,2,2,0,1,0.5123578943407748,0,original
258,30,1,1,0,1,0,4,32,6,0,13,0.5402490408460322,0,original
102,45,1,1,0,0,22,22,0,22,0,4,-1.8856388396670283,1,original
78,37,0,1,1,1,0,12,0,4,0,116,0.5383132086191363,0,original
103,26,1,1,0,0,23,23,0,23,0,3,-1.8856385900110795,1,original
276,30,1,1,0,1,0,6,0,9,0,19,-1.9528769287622418,0,original
186,30,1,1,0,1,0,3,14,5,0,83,0.512621780678643,0,original
