user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
37,1,1,0,1,23,28,1,18,0,24,1.315058033350368,1,gan
12,0,1,0,1,5,38,2,43,0,24,-0.7522130993151028,1,gan
15,0,1,1,1,2,42,1,8,0,4,-0.752220562726653,1,gan
2,1,1,0,0,20,22,2,12,0,2,-0.7522130993151028,1,gan
42,0,1,1,0,26,43,0,22,0,14,1.3150584639318037,1,gan
24,1,1,1,1,9,8,2,11,0,14,1.3380622771282622,1,gan
44,0,1,0,1,11,26,1,19,0,24,-0.752212884024385,1,gan
35,1,1,1,1,7,43,2,10,0,42,-0.7522133863693932,1,gan
41,1,1,0,0,8,14,0,11,0,285,-0.752218768637338,1,gan
7,1,1,0,0,22,5,2,22,0,6,-0.752215395749426,1,gan
23,0,1,0,1,10,11,1,33,0,0,-0.7522167592573054,1,gan
44,1,1,0,1,30,26,2,22,0,285,1.3261997585777252,1,gan
40,1,1,1,1,8,28,0,29,0,42,1.3261997585777252,1,gan
41,1,1,0,1,11,43,0,12,0,42,-0.7522167592573054,1,gan
24,0,1,1,1,2,30,1,23,0,463,-0.7522194145094915,1,gan
41,1,1,0,1,12,28,0,32,0,463,-0.752218768637338,1,gan
41,1,1,1,1,7,2,0,26,0,285,-0.752218768637338,1,gan
4,0,1,0,1,19,31,2,27,0,54,-0.7522110181714975,1,gan
41,1,1,0,1,1,20,0,43,0,13,1.3150584639318037,1,gan
35,0,1,0,1,8,10,1,26,0,4,-0.7522118075707961,1,gan
2,0,1,1,1,11,11,0,12,0,13,1.326209661950744,1,gan
30,1,1,1,1,22,3,2,13,0,21,-0.7522151804587082,1,gan
25,0,1,1,0,2,13,0,19,0,13,-0.7522161133851519,1,gan
25,1,1,1,0,0,32,2,38,0,16,1.3309380919856884,1,gan
37,0,1,1,1,29,20,0,39,0,21,1.3380659370704646,1,gan
21,1,1,0,0,23,45,0,20,0,21,1.3147944457482137,1,gan
30,0,1,0,1,30,12,1,15,0,16,-0.752220562726653,1,gan
9,1,1,0,1,11,19,1,18,0,16,-0.8101971330482707,1,gan
44,1,1,1,1,10,13,2,9,0,0,-0.752217548656604,1,gan
