user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
3,1,1,0,0,20,20,0,20,0,3,-1.8856393484763787,1,smote
8,1,1,0,0,1,4,0,12,0,9,0.5233114313924294,1,smote
37,0,1,1,1,0,8,0,13,0,21,0.538298507842525,1,smote
25,1,1,0,0,8,39,0,39,0,3,-1.8856343014352683,1,smote
5,1,1,0,1,0,2,0,10,0,70,0.5245398623379457,1,smote
37,0,1,1,1,0,7,0,10,0,11,0.5382969601932311,1,smote
38,1,1,0,0,22,22,0,22,0,4,-1.8856386652719321,1,smote
35,1,1,0,0,3,7,3,8,0,1425,0.5161984937752278,1,smote
3,1,1,0,0,19,19,0,19,0,3,-1.885639851525939,1,smote
30,1,1,0,0,2,10,2,9,0,6,0.5115328312490157,1,smote
3,1,1,0,0,28,28,0,28,0,3,-1.8856371112369692,1,smote
4,1,1,0,0,24,24,0,24,0,2,-1.8856383057969517,1,smote
35,0,1,0,1,0,6,0,9,0,11,-0.06986272664699278,1,smote
8,1,1,0,0,0,3,0,11,0,37,0.5223169701190521,1,smote
10,1,1,0,0,15,15,0,15,0,3,-1.885640974749057,1,smote
5,1,1,0,0,13,13,0,13,0,3,-1.8856415297676299,1,smote
33,1,1,0,0,22,22,0,22,0,3,-1.8856388252579852,1,smote
5,1,1,0,0,23,23,0,23,0,3,-1.8856385077627311,1,smote
18,1,1,0,0,8,39,0,39,0,3,-1.88563430750898,1,smote
10,1,1,0,0,0,31,0,31,0,3,-1.8856363215229686,1,smote
33,1,1,0,1,0,8,0,12,0,155,-1.201026253736564,1,smote
15,1,1,0,0,3,34,0,34,0,3,-1.8856355611576936,1,smote
7,1,1,0,0,3,5,0,13,0,8,0.16762708927345243,1,smote
2,1,1,0,0,15,15,0,15,0,3,-1.8856411692251156,1,smote
39,0,1,0,1,0,3,0,11,0,9,0.5322393531169715,1,smote
12,1,1,0,0,15,15,0,15,0,3,-1.8856409259714837,1,smote
32,0,1,0,1,0,8,0,13,0,17,-0.9289091809612005,1,smote
27,1,1,0,0,7,8,0,8,0,3,-1.8064116961527585,1,smote
37,1,1,0,0,21,21,0,21,0,3,-1.8856389715270836,1,smote
32,1,1,0,0,9,11,9,8,0,1637,0.5298112365912893,1,smote
22,1,1,0,0,25,25,0,25,0,3,-1.885637904700354,1,smote
19,1,1,0,0,0,5,0,12,0,30,-0.7908031620695626,1,smote
17,1,1,0,0,13,13,0,13,0,3,-1.8856415175448795,1,smote
38,1,1,0,0,0,7,1,10,0,860,0.517707667889324,1,smote
6,1,1,0,0,14,14,0,14,0,3,-1.885641216073794,1,smote
30,0,1,0,1,0,7,0,11,0,14,-1.7514558286507567,1,smote
37,1,1,0,0,23,23,0,23,0,4,-1.8856383474727139,1,smote
18,1,1,0,0,12,12,0,12,0,3,-1.8856419213668207,1,smote
6,1,1,0,0,4,5,0,13,0,7,0.05007439188436846,1,smote
34,1,1,0,0,23,23,0,23,0,3,-1.885638487426975,1,smote
26,1,1,0,0,22,22,0,22,0,3,-1.8856385996676064,1,smote
24,1,1,0,0,12,43,0,43,0,6,-1.8856327954495316,1,smote
21,1,1,0,0,8,39,0,39,0,3,-1.8856342031380429,1,smote
26,1,1,0,0,24,24,0,24,0,3,-1.885638308857985,1,smote
40,1,1,0,0,21,21,0,21,0,3,-1.8856390094889903,1,smote
24,1,1,0,0,2,9,0,9,0,14,-0.7408338564802406,1,smote
28,1,1,0,0,23,23,0,23,0,3,-1.8856384197817986,1,smote
11,1,1,0,0,0,31,0,31,0,3,-1.885636295250458,1,smote
11,1,1,0,1,0,3,0,9,0,54,0.5239551584513867,1,smote
8,1,1,0,0,1,32,0,32,0,3,-1.885636161309751,1,smote
41,1,1,0,0,23,23,0,23,0,3,-1.885638475446997,1,smote
6,1,1,0,0,0,31,0,31,0,3,-1.8856364619856427,1,smote
11,1,1,0,0,28,28,0,28,0,4,-1.8856371829498129,1,smote
5,1,1,0,0,0,31,0,31,0,3,-1.8856364855337917,1,smote
16,1,1,0,0,8,39,0,39,0,3,-1.8856342248929154,1,smote
34,1,1,0,0,6,9,6,8,0,1530,0.5229488840789801,1,smote
37,0,1,1,1,0,8,0,12,0,11,0.5382980564229181,1,smote
8,1,1,0,0,13,13,0,13,0,3,-1.885641628584477,1,smote
28,1,1,0,1,0,6,0,10,0,16,-1.150007077614096,1,smote
17,1,1,0,0,3,34,0,34,0,3,-1.885635464500887,1,smote
10,1,1,0,0,15,15,0,15,0,3,-1.885641024525216,1,smote
25,1,1,0,0,8,13,1,9,0,4,-0.5876492610924688,1,smote
26,1,1,0,0,5,36,0,36,0,3,-1.8856350261479773,1,smote
34,1,1,0,0,1,5,0,7,0,0,-0.027692646304539825,1,smote
11,1,1,0,0,17,17,0,17,0,3,-1.8856404687883723,1,smote
19,1,1,0,0,4,35,0,35,0,3,-1.8856352017892684,1,smote
33,0,1,0,1,0,9,0,13,0,16,-0.6658439937313199,1,smote
37,0,1,1,1,0,8,0,13,0,16,0.5382987575667811,1,smote
37,0,1,1,1,0,8,0,13,0,14,0.5382990570840364,1,smote
22,1,1,0,0,5,36,0,36,0,3,-1.8856349370237622,1,smote
33,1,1,0,0,22,22,0,22,0,3,-1.8856388473186356,1,smote
39,0,1,0,1,0,2,0,11,0,8,0.5310046162546022,1,smote
19,1,1,0,0,4,11,1,7,0,15,0.5137192956161325,1,smote
35,1,1,1,1,0,5,1,8,0,1,0.5195948452442922,1,smote
26,1,1,0,0,1,8,0,9,0,14,-1.2144089481288736,1,smote
10,1,1,0,0,2,4,2,11,0,312,0.5269760934134119,1,smote
40,1,1,0,0,11,42,0,42,0,3,-1.8856333577621356,1,smote
37,0,1,1,1,0,9,0,14,0,13,0.5382994990627662,1,smote
7,1,1,0,0,28,28,0,28,0,4,-1.885637064894462,1,smote
35,0,1,0,1,0,6,0,9,0,10,0.16693301656628945,1,smote
12,1,1,0,0,16,16,0,16,0,3,-1.8856407540858335,1,smote
18,1,1,0,0,4,35,0,35,0,3,-1.885635410274041,1,smote
9,1,1,0,0,9,10,0,13,0,5,-1.0878418710382247,1,smote
