,user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
233,19,1,1,0,0,7,7,14,15,0,12,0.5395311967746195,0,original
33,40,1,1,0,1,0,2,0,3,0,11,0.530035449543849,0,original
246,30,1,0,0,1,0,0,26,0,0,900,0.5401698166916171,0,original
16,24,1,1,0,1,0,2,3,3,0,3,0.5228823072991982,0,original
112,12,1,1,0,0,1,32,0,32,0,3,-1.885636259888891,1,original
177,30,1,1,0,1,0,1,5,2,0,9,0.5124342890611037,0,original
125,30,1,1,0,0,14,45,0,45,0,8,-1.8856319325191118,1,original
201,30,1,1,0,1,0,4,20,7,0,59,0.5242130567248835,0,original
181,30,1,0,0,1,0,0,8,0,0,71,0.512606302009818,0,original
140,37,1,1,0,1,0,3,2,4,0,5,0.5112608228831543,0,original
116,20,1,1,0,0,5,36,0,36,0,3,-1.8856351780464462,1,original
240,31,1,1,0,0,8,8,22,24,0,279,0.5396048452795117,0,original
239,31,1,1,0,0,10,10,14,23,0,738,0.5395937771991154,0,original
206,30,1,0,0,1,0,0,21,0,0,11,0.5242182162811585,0,original
2,40,1,0,0,1,0,0,1,0,0,133,0.5227222778360257,0,original
248,30,1,0,0,1,0,0,28,0,0,451,0.5402089294569271,0,original
60,40,1,1,0,1,0,5,1,3,0,8,0.5300474330293907,0,original
213,7,1,1,0,0,1,3,0,12,0,42,0.524543351545129,1,original
190,30,1,0,0,1,0,0,15,0,0,137,0.5126335145082359,0,original
227,19,1,1,0,0,1,1,14,7,0,322997,0.5395205447874711,0,original
235,19,1,1,0,0,9,9,14,18,0,10,0.5395323618357137,0,original
127,37,1,0,0,1,0,0,2,0,0,62,0.5111181028990976,0,original
236,19,1,1,0,0,5,5,22,20,0,179837,0.5395502538453769,0,original
165,30,1,0,0,1,0,0,11,0,0,142,0.5117873472791465,0,original
52,40,1,0,0,1,0,0,3,0,0,7,0.530044686813954,0,original
203,30,1,1,0,1,0,6,20,9,0,9,0.5242145546605763,0,original
234,19,1,1,0,0,8,8,14,17,0,4,0.5395315296492178,0,original
138,30,1,1,0,1,0,1,2,2,0,54,0.51125965782206,0,original
230,19,1,1,0,0,4,4,14,11,0,88,0.5395287002151316,0,original
155,30,1,0,0,1,0,0,8,0,0,13,0.5116393013015157,0,original
180,30,1,0,0,1,0,0,7,0,0,13,0.5126003934856967,0,original
214,7,1,1,0,0,2,4,0,13,0,9,0.5245441005129754,1,original
3,24,1,1,0,1,0,1,1,2,0,58,0.5227271045177022,0,original
103,26,1,1,0,0,23,23,0,23,0,3,-1.8856385900110795,1,original
18,24,1,0,0,1,0,0,4,0,0,4105,0.5232250016982334,0,original
122,42,1,1,0,0,11,42,0,42,0,3,-1.8856335968921039,1,original
124,8,1,1,0,0,13,44,0,44,0,3,-1.8856325982683086,1,original
37,40,1,0,0,1,0,0,1,0,0,7,0.5300360320743961,0,original
13,37,1,1,1,1,0,2,2,4,0,287,0.5228135686946321,0,original
158,30,1,1,0,1,0,2,9,4,0,279,0.5116784972854753,0,original
14,40,1,0,0,1,0,0,3,0,0,733,0.5228745679647858,0,original
171,37,1,0,0,1,0,0,14,0,0,6697,0.512349822131764,0,original
9,24,1,1,0,1,0,7,1,10,0,30,0.5227485749292978,1,original
194,30,1,0,0,1,0,0,17,0,0,65,0.5126433343088882,0,original
70,37,0,1,1,1,0,6,0,9,0,10,0.5382958159213708,1,original
193,30,1,0,0,1,0,0,14,0,0,23,0.5126411706239987,0,original
86,4,1,1,0,0,6,6,0,6,0,9,-1.8856434999114058,0,original
71,37,0,1,1,1,0,7,0,10,0,1,0.5382958991400204,1,original
205,30,1,1,0,1,0,8,20,12,0,11,0.5242173008760129,0,original
267,30,1,0,0,1,0,0,1,0,1,0,-1.9528957361770505,0,original
48,40,1,1,0,1,0,1,0,4,1,0,0.5300421902544662,0,original
247,30,1,0,0,1,0,0,27,0,0,19,0.5401713978459594,0,original
20,24,1,0,0,1,0,0,6,0,0,27,0.5253608915587574,0,original
143,37,1,1,0,0,1,6,2,8,0,1351,0.5114264279958498,1,original
84,38,1,1,0,0,4,4,0,4,0,5,-1.8856444985352008,0,original
100,29,1,1,0,0,20,20,0,20,0,3,-1.8856395054162252,1,original
191,30,1,0,0,1,0,0,16,0,0,53,0.5126379250966645,0,original
195,30,1,0,0,1,0,0,18,0,0,417,0.5126780364857696,0,original
29,40,1,1,0,1,0,1,0,13,1,0,0.5300346173573529,0,original
210,30,1,1,0,1,0,4,21,7,0,3,0.524515972609412,0,original
244,30,1,0,0,1,0,0,24,0,0,104,0.5400910918490995,0,original
58,40,1,0,0,1,0,0,2,0,0,131,0.5300465176242452,0,original
115,11,1,1,0,0,4,35,0,35,0,3,-1.8856354277023948,1,original
87,32,1,1,0,0,7,7,0,7,0,3,-1.885643250255457,1,original
57,40,1,0,0,1,0,0,3,0,0,14,0.5300461847496467,0,original
263,18,1,1,0,0,11,11,14,4,0,7973,0.5402572794923421,0,original
49,40,1,0,0,1,0,0,3,0,0,17,0.5300426063477142,0,original
7,37,1,1,1,1,0,5,1,7,0,0,0.5227443307781685,1,original
42,40,1,1,0,1,0,1,0,2,1,0,0.530040359444175,0,original
254,30,1,0,0,1,0,0,32,0,0,9,0.5402416343862182,0,original
223,19,1,1,0,0,1,1,22,1,0,235,0.5245748081946762,0,original
79,37,0,1,1,1,0,13,0,5,0,14,0.5383143736802306,0,original
75,24,1,0,0,1,0,0,10,0,0,713,0.5383010586962953,0,original
74,37,0,1,1,1,0,10,0,15,0,13,0.5383001432911498,1,original
92,21,1,1,0,0,12,12,0,12,0,3,-1.885642001975713,1,original
159,30,1,1,0,1,0,3,9,5,0,89,0.5116859037452893,0,original
262,18,1,1,0,0,3,3,33,3,0,1,0.5402558647752991,0,original
139,30,1,1,0,1,0,2,2,3,0,9,0.5112604067899064,0,original
243,30,1,0,0,1,0,0,23,0,0,195,0.5400824371095415,0,original
172,37,1,1,1,1,0,18,2,1,0,1086,0.5123578111221252,0,original
148,18,1,1,0,0,2,10,2,3,0,28,0.5115962772596747,0,original
34,40,1,0,0,1,0,0,1,0,0,9,0.5300356159811481,0,original
242,30,1,1,0,0,10,10,22,27,0,5526,0.5400662094728704,0,original
133,30,1,0,0,1,0,0,2,0,0,80,0.5111354123782136,0,original
77,37,0,1,1,1,0,11,0,2,0,41,0.5383035552557832,0,original
39,40,1,0,0,1,0,0,1,0,0,15,0.5300364481676441,0,original
123,43,1,1,0,0,12,43,0,43,0,9,-1.8856328479242574,1,original
62,24,1,0,0,1,0,0,8,0,0,99909,0.5381771461270473,0,original
59,40,1,1,0,1,0,4,1,2,0,11,0.530046767280194,0,original
41,40,1,0,0,1,0,0,1,0,0,23,0.5300384454152344,0,original
279,30,1,1,0,1,0,9,0,13,0,16,-1.9528726013924629,1,original
241,31,1,1,0,0,9,9,22,26,0,18,0.5396063432152044,0,original
117,23,1,1,0,0,6,37,0,37,0,3,-1.8856349283904974,1,original
184,30,1,1,0,1,0,1,14,2,0,3176,0.5126141245628801,0,original
278,30,1,1,0,1,0,8,0,12,0,21,-1.9528739328908564,1,original
5,37,1,1,1,1,0,3,1,5,0,146,0.5227416677813814,0,original
198,30,1,1,0,1,0,1,20,2,0,24,0.5242068985448135,0,original
98,35,1,1,0,0,18,18,0,18,0,6,-1.8856400879467723,1,original
151,18,1,1,0,0,5,13,2,7,0,14,0.5116196617002111,1,original
102,45,1,1,0,0,22,22,0,22,0,4,-1.8856388396670283,1,original
162,37,1,1,1,1,0,6,9,10,0,662,0.5117476519832893,0,original
63,24,1,1,0,1,0,1,8,2,0,767,0.5382409748312872,0,original
105,22,1,1,0,0,25,25,0,25,0,3,-1.8856380906991819,1,original
95,2,1,1,0,0,15,15,0,15,0,3,-1.885641169789217,1,original
99,15,1,1,0,0,19,19,0,19,0,4,-1.885639755072174,1,original
179,30,1,0,0,1,0,0,6,0,0,1980,0.512599311643252,0,original
264,18,1,1,0,0,12,12,14,6,0,8,0.5402579452415389,0,original
272,30,1,1,0,1,0,2,0,3,0,13,-1.952880840038773,0,original
82,34,1,1,0,0,2,2,0,2,0,3,-1.8856452475030472,0,original
218,37,1,1,1,1,0,5,0,18,0,87,0.5245513405354902,1,original
146,18,1,0,0,1,0,0,5,0,0,5312,0.5115804657162515,0,original
199,30,1,1,0,1,0,2,20,3,0,0,0.5242068985448135,0,original
68,37,0,1,1,1,0,4,0,6,0,38,0.5382904899277967,0,original
258,30,1,1,0,1,0,4,32,6,0,13,0.5402490408460322,0,original
114,16,1,1,0,0,3,34,0,34,0,4,-1.8856356773583436,1,original
270,30,1,0,0,1,0,0,2,0,0,25,-1.9528881632799373,0,original
131,30,1,0,0,1,0,0,3,0,0,9,0.511125010047014,0,original
150,18,1,1,0,0,4,12,2,5,0,257,0.5116184966391167,0,original
22,24,1,0,0,1,0,0,7,0,0,8,0.5298628540645873,0,original
249,30,1,0,0,1,0,0,29,0,0,12,0.5402099280807222,0,original
55,40,1,1,0,1,0,2,1,1,0,7,0.5300455190004499,0,original
65,37,0,1,1,1,0,1,0,2,1,0,0.5382851639342225,0,original
91,0,1,1,0,0,11,11,0,11,0,3,-1.8856422516316618,1,original
97,3,1,1,0,0,17,17,0,17,0,4,-1.88564058725867,1,original
145,30,1,1,1,1,0,8,2,11,0,6,0.5114506446228821,1,original
229,19,1,1,0,0,3,3,14,10,0,6,0.5395213769739672,0,original
38,40,1,0,0,1,0,0,1,0,1,0,0.5300362817303449,0,original
141,37,1,1,1,1,0,4,2,6,0,623,0.5113126681018525,0,original
113,14,1,1,0,0,2,33,0,33,0,3,-1.8856360102329421,1,original
196,30,1,0,0,1,0,0,19,0,0,138376,0.5241935003422286,0,original
266,30,1,1,0,0,14,14,14,8,0,1803,0.5404084877786577,1,original
208,30,1,1,0,1,0,2,21,3,0,61,0.524515140422916,0,original
232,19,1,1,0,0,6,6,14,14,0,3,0.5395301981508243,0,original
25,40,1,1,0,1,0,1,0,6,1,0,0.5300338683895066,0,original
276,30,1,1,0,1,0,6,0,9,0,19,-1.9528769287622418,0,original
178,30,1,1,0,1,0,2,5,3,0,3,0.5124345387170525,0,original
36,40,1,1,0,1,0,2,0,1,0,13,0.5300356991997976,0,original
134,30,1,0,0,1,0,0,3,0,0,10,0.5111362445647095,0,original
157,30,1,1,0,1,0,1,9,2,0,72,0.5116552792822381,0,original
268,30,1,1,0,1,0,1,1,2,0,61,-1.9528906598394251,0,original
111,5,1,1,1,1,0,31,0,31,0,3,-1.8856365095448397,1,original
83,36,1,1,0,0,3,3,0,3,0,4,-1.8856449146284489,0,original
45,40,1,0,0,1,0,0,2,0,0,4,0.5300412748493206,0,original
253,30,1,0,0,1,0,0,31,0,0,6,0.5402408854183718,0,original
11,40,1,0,0,1,0,0,2,0,0,3,0.5227873548200095,0,original
281,30,1,0,0,1,0,0,1,0,1,0,-1.950474822441661,0,original
101,44,1,1,0,0,21,21,0,21,0,4,-1.8856391725416266,1,original
72,37,0,1,1,1,0,8,0,13,0,24,0.5382978963876107,1,original
142,18,1,1,1,1,0,5,2,7,0,16,0.5113139996002459,1,original
120,17,1,1,0,0,9,40,0,40,0,3,-1.8856340962040015,1,original
261,18,1,1,0,0,2,2,33,2,0,64,0.5402557815566494,0,original
12,24,1,1,0,1,0,1,2,2,0,28,0.5227896849421981,0,original
31,40,1,1,0,1,0,2,0,1,0,13,0.5300348670133017,0,original
135,30,1,0,0,1,0,0,4,0,0,161,0.511138408249599,0,original
121,5,1,1,0,0,10,41,0,41,0,3,-1.8856338465480527,1,original
67,37,0,1,1,1,0,3,0,4,0,16,0.538287327619112,0,original
27,40,1,1,0,1,0,2,0,11,0,8,0.5300345341387034,1,original
269,30,1,1,0,1,0,2,1,3,0,5,-1.9528902437461773,0,original
144,37,1,1,1,1,0,7,2,10,0,285,0.5114501453109846,1,original
209,30,1,1,0,1,0,3,21,6,0,7,0.5245157229534633,0,original
260,18,1,1,0,0,1,1,33,1,0,9,0.5402504555630754,0,original
132,30,1,0,0,1,0,0,1,0,1,0,0.5111287548862459,0,original
197,30,1,0,0,1,0,0,20,0,0,137,0.5242049012972232,0,original
185,30,1,1,0,1,0,2,14,3,0,9,0.5126148735307264,0,original
255,30,1,1,0,1,0,1,32,2,0,16,0.5402429658846117,0,original
56,40,1,1,0,1,0,3,1,2,0,4,0.5300458518750484,0,original
257,30,1,1,0,1,0,3,32,5,0,27,0.5402479590035875,0,original
54,40,1,0,0,1,0,0,2,0,0,113,0.5300450196885524,0,original
222,19,1,0,0,1,0,0,22,0,0,7,0.5245552518120212,0,original
160,30,1,1,0,1,0,4,9,7,0,21,0.5116876513369308,0,original
182,30,1,0,0,1,0,0,9,0,0,12,0.5126073006336133,0,original
136,30,1,0,0,1,0,0,1,0,1,0,0.5112257046130249,0,original
0,24,1,1,0,1,0,1,0,2,1,0,0.5227097118199366,0,original
81,33,1,1,0,0,1,1,0,1,1,0,-1.885645497158996,0,original
89,27,1,1,0,0,9,9,0,9,0,3,-1.8856427509435594,1,original
156,30,1,0,0,1,0,0,9,0,0,120,0.5116492875394671,0,original
118,41,1,1,0,0,7,38,0,38,0,3,-1.8856346787345486,1,original
137,30,1,0,0,1,0,0,2,0,0,354,0.5112551640149818,0,original
207,30,1,1,0,1,0,1,21,2,0,3507,0.5245100640852907,0,original
216,18,1,1,0,0,2,6,21,15,0,11,0.524546430635164,0,original
220,30,1,1,1,1,0,7,0,20,0,6,0.5245530049084821,1,original
217,37,1,1,0,0,3,7,21,16,0,21,0.5245481782268056,0,original
252,30,1,0,0,1,0,0,30,0,0,270,0.5402403861064743,0,original
26,40,1,1,0,1,0,1,0,8,1,0,0.5300343677014041,0,original
170,30,1,1,1,1,0,17,2,5,0,23,0.5122674356686643,0,original
204,30,1,1,0,1,0,7,20,11,0,22,0.5242163854708674,0,original
32,40,1,1,0,1,0,2,0,2,0,10,0.5300351998879002,0,original
30,40,1,0,0,1,0,0,1,0,0,12,0.5300346173573529,0,original
176,30,1,0,0,1,0,0,5,0,0,851,0.5124335400932574,0,original
21,24,1,1,0,1,0,1,6,2,0,54090,0.5298621883153906,0,original
46,40,1,1,0,1,0,2,0,1,0,12,0.5300413580679701,0,original
35,40,1,0,0,1,0,0,1,0,0,13,0.5300356159811481,0,original
130,30,1,1,1,1,0,3,2,4,0,1,0.5111242610791678,0,original
175,30,1,0,0,1,0,0,4,0,0,26,0.5123627210224514,0,original
64,24,1,0,0,1,0,0,9,0,0,9,0.5382417237991336,0,original
259,18,1,0,0,1,0,0,33,0,0,8,0.540249706595229,0,original
166,30,1,0,0,1,0,0,12,0,0,33,0.5117900934945832,0,original
