user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
28.0,0.0,1.0,0.0,1.0,0.0,40.0,0.0,43.0,0.0,87.0,1.2631861611627393,1.0,gan
24.0,1.0,1.0,0.0,1.0,7.0,11.0,1.0,31.0,0.0,1351.0,-0.7813201707652122,1.0,gan
18.0,0.0,1.0,0.0,1.0,21.0,31.0,0.0,31.0,0.0,1803.0,1.272935796165068,1.0,gan
14.0,1.0,1.0,0.0,1.0,13.0,19.0,1.0,19.0,0.0,285.0,1.2744702920223143,1.0,gan
37.0,0.0,1.0,0.0,0.0,19.0,43.0,0.0,43.0,0.0,24.0,-0.7358932006845188,1.0,gan
18.0,1.0,1.0,0.0,0.0,3.0,43.0,1.0,45.0,0.0,87.0,-0.7813199578182434,1.0,gan
23.0,0.0,1.0,0.0,1.0,9.0,15.0,14.0,33.0,0.0,1351.0,1.286202392321943,1.0,gan
23.0,1.0,1.0,1.0,1.0,20.0,34.0,2.0,17.0,0.0,1803.0,1.367716718537378,1.0,gan
3.0,0.0,1.0,1.0,0.0,5.0,23.0,2.0,21.0,0.0,285.0,-0.7813188221010764,1.0,gan
27.0,0.0,1.0,0.0,0.0,12.0,36.0,2.0,42.0,0.0,10.0,1.3424890356695116,1.0,gan
16.0,1.0,1.0,1.0,1.0,4.0,22.0,14.0,34.0,0.0,87.0,-0.7813234359520672,1.0,gan
16.0,1.0,1.0,1.0,1.0,12.0,25.0,1.0,36.0,0.0,1351.0,-0.7813183962071387,1.0,gan
11.0,1.0,1.0,1.0,0.0,19.0,32.0,2.0,31.0,0.0,1803.0,-0.781322655146515,1.0,gan
29.0,1.0,1.0,0.0,0.0,20.0,36.0,2.0,31.0,0.0,285.0,1.2862006177638696,1.0,gan
15.0,1.0,1.0,0.0,1.0,3.0,15.0,0.0,22.0,0.0,8.0,-0.781323648899036,1.0,gan
5.0,1.0,1.0,1.0,1.0,2.0,37.0,14.0,32.0,0.0,87.0,1.2791540606012943,1.0,gan
8.0,1.0,1.0,0.0,0.0,14.0,12.0,1.0,17.0,0.0,1351.0,1.352403897837257,1.0,gan
14.0,1.0,1.0,0.0,1.0,14.0,32.0,2.0,9.0,0.0,1803.0,-0.7813186091541076,1.0,gan
30.0,0.0,1.0,0.0,0.0,10.0,5.0,0.0,25.0,0.0,285.0,1.286202392321943,1.0,gan
28.0,1.0,1.0,1.0,0.0,18.0,43.0,1.0,43.0,0.0,30.0,-0.7358999835805318,1.0,gan
8.0,0.0,1.0,0.0,0.0,4.0,43.0,1.0,21.0,0.0,87.0,1.2633022882430638,1.0,gan
8.0,0.0,1.0,0.0,0.0,12.0,21.0,0.0,17.0,0.0,1351.0,-0.7813234359520672,1.0,gan
20.0,0.0,1.0,1.0,1.0,19.0,9.0,1.0,31.0,0.0,1803.0,-0.7813188221010764,1.0,gan
24.0,1.0,1.0,0.0,0.0,7.0,3.0,14.0,21.0,0.0,285.0,-0.781323648899036,1.0,gan
17.0,1.0,1.0,0.0,1.0,15.0,22.0,0.0,18.0,0.0,8.0,-0.781324855598526,1.0,gan
16.0,1.0,1.0,0.0,0.0,18.0,13.0,0.0,20.0,0.0,42.0,1.3427540737232957,1.0,gan
11.0,1.0,1.0,1.0,1.0,23.0,9.0,14.0,25.0,0.0,1351.0,-0.7813243587222655,1.0,gan
37.0,1.0,1.0,0.0,0.0,13.0,19.0,0.0,22.0,0.0,1803.0,-0.7813175444192635,1.0,gan
14.0,1.0,1.0,0.0,0.0,6.0,8.0,14.0,40.0,0.0,285.0,1.3587215160471378,1.0,gan
24.0,0.0,1.0,0.0,1.0,12.0,44.0,0.0,43.0,0.0,13.0,-0.7358929842091142,1.0,gan
13.0,1.0,1.0,1.0,0.0,25.0,38.0,1.0,17.0,0.0,87.0,-0.7813177573662323,1.0,gan
14.0,1.0,1.0,1.0,1.0,6.0,8.0,2.0,40.0,0.0,1351.0,-0.7813206676414727,1.0,gan
3.0,1.0,1.0,0.0,0.0,21.0,12.0,1.0,19.0,0.0,1803.0,-0.781320454694504,1.0,gan
13.0,0.0,1.0,1.0,0.0,3.0,11.0,0.0,10.0,0.0,285.0,-0.7941946453040372,1.0,gan
35.0,1.0,1.0,0.0,0.0,15.0,41.0,0.0,38.0,0.0,3.0,-0.7358924790998366,1.0,gan
