user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
42,1,1,0,1,11,23,0,15,0,3,-0.7813262042626617,1,gan
7,1,1,0,0,19,9,14,22,0,1351,1.263446879234886,1,gan
18,0,1,0,1,21,31,0,31,0,1803,1.272935796165068,1,gan
35,0,1,1,0,17,18,1,11,0,285,1.3524002177553776,1,gan
4,1,1,1,0,13,12,0,18,0,30,1.352403897837257,1,gan
9,1,1,1,1,7,43,0,31,0,4,1.2862006887461923,1,gan
37,1,1,1,1,0,5,0,18,0,87,0.5245513405354902,1,original
35,1,1,0,1,7,8,0,12,0,6,-0.781319318977337,1,gan
8,0,1,0,0,4,9,1,18,0,4,-0.8386718292107253,1,gan
5,1,1,1,1,2,37,14,32,0,87,1.2791540606012943,1,gan
30,0,1,1,0,19,14,0,44,0,21,-0.7358924790998366,1,gan
44,1,1,0,1,2,25,1,38,0,1,-0.781320454694504,1,gan
12,1,1,0,1,1,40,0,25,0,42,-0.7813257783687242,1,gan
8,0,1,0,0,9,14,14,45,0,3,1.352403897837257,1,gan
29,1,1,0,0,20,36,2,31,0,285,1.2862006177638696,1,gan
0,1,1,1,0,15,23,14,45,0,285,1.2631861611627393,1,gan
37,1,1,0,0,13,4,14,11,0,1351,-0.7813175444192635,1,gan
18,0,1,0,0,0,4,14,9,0,1803,-0.7358911802474086,1,gan
16,1,1,0,1,10,37,2,7,0,3,1.3539607889476415,1,gan
42,1,1,1,0,13,3,1,41,0,1351,-0.7813206676414727,1,gan
37,0,1,0,0,1,21,0,13,0,21,-0.7813222292525773,1,gan
15,1,1,0,0,19,19,0,19,0,4,-1.885639755072174,1,original
16,1,1,1,1,4,22,14,34,0,87,-0.7813234359520672,1,gan
13,0,1,1,0,3,11,0,10,0,285,-0.7941946453040372,1,gan
11,0,1,1,0,4,20,0,45,0,1351,1.2880026459962644,1,gan
44,0,1,1,1,3,44,1,45,0,1,-0.7813257783687242,1,gan
44,1,1,0,1,23,22,0,35,0,13,1.2880026459962644,1,gan
43,0,1,1,1,7,2,0,23,0,0,1.2862006177638696,1,gan
9,1,1,1,0,20,45,14,40,0,24,-0.7358995506297225,1,gan
17,1,1,0,0,9,40,0,40,0,3,-1.8856340962040012,1,original
8,1,1,0,0,14,12,1,17,0,1351,1.352403897837257,1,gan
37,1,1,0,0,13,19,0,22,0,1803,-0.7813175444192635,1,gan
5,1,1,0,1,6,18,2,18,0,9,-0.7813234359520672,1,gan
30,0,1,0,0,10,5,0,25,0,285,1.286202392321943,1,gan
16,0,1,0,0,25,2,2,34,0,8,-0.7358968807663983,1,gan
7,1,1,0,0,23,36,0,18,0,14,-0.7813239328283278,1,gan
37,0,1,0,0,19,43,0,43,0,24,-0.7358932006845188,1,gan
13,1,1,1,0,25,38,1,17,0,87,-0.7813177573662323,1,gan
7,1,1,1,1,12,43,1,43,0,6,-0.7813197448712745,1,gan
43,0,1,1,0,19,23,2,11,0,42,-0.7813197448712745,1,gan
20,1,1,0,1,1,5,14,15,0,8,-0.7813255654217554,1,gan
13,0,1,0,0,6,2,14,42,0,21,-0.7358913967228132,1,gan
7,1,1,1,0,22,5,14,31,0,1803,-0.7358929842091142,1,gan
18,0,1,0,0,12,2,2,15,0,9,1.2631861611627393,1,gan
3,1,1,0,0,0,45,2,38,0,4,-0.7359004165313412,1,gan
11,1,1,1,1,12,23,0,35,0,8,-0.7358924790998366,1,gan
24,0,1,1,0,10,6,1,33,0,1,1.342607519874334,1,gan
28,0,1,0,1,0,40,0,43,0,87,1.2631861611627393,1,gan
23,0,1,0,1,9,15,14,33,0,1351,1.286202392321943,1,gan
20,0,1,0,1,11,13,2,42,0,30,-0.7813231520227755,1,gan
40,1,1,0,1,0,2,0,11,0,8,0.5300345341387034,1,original
2,1,1,0,1,10,6,0,42,0,10,1.365884903663063,1,gan
40,1,1,0,0,0,41,14,31,0,42,-0.7358941387446057,1,gan
37,0,1,1,1,22,3,0,12,0,21,1.272935796165068,1,gan
4,0,1,1,0,25,14,2,22,0,87,-0.7359004165313412,1,gan
44,0,1,1,1,23,33,0,22,0,16,-0.7358965921325253,1,gan
42,1,1,1,1,21,45,14,7,0,285,1.2791540606012943,1,gan
5,1,1,0,0,1,31,0,12,0,14,-0.7358995506297225,1,gan
8,0,1,0,0,3,31,1,12,0,30,1.3424890356695116,1,gan
28,0,1,1,1,17,7,0,19,0,8,-0.7358920461490273,1,gan
44,1,1,1,0,3,38,0,19,0,1803,-0.7813231520227755,1,gan
44,0,1,0,0,23,5,0,42,0,4,1.365884903663063,1,gan
26,1,1,0,0,23,23,0,23,0,3,-1.8856385900110797,1,original
44,1,1,0,0,15,41,1,35,0,1,-0.7813177573662323,1,gan
43,1,1,0,0,10,13,0,33,0,24,-0.7358968807663983,1,gan
13,1,1,0,1,6,44,2,15,0,285,1.3524002177553776,1,gan
0,1,1,1,0,6,38,0,34,0,1351,-0.7358971694002712,1,gan
0,1,1,0,1,13,2,0,18,0,6,1.2729394162635377,1,gan
18,0,1,1,0,13,4,1,7,0,1351,-0.7813177573662323,1,gan
2,1,1,0,0,17,6,14,13,0,285,-0.7813266301565994,1,gan
44,1,1,0,0,21,21,0,21,0,4,-1.8856391725416264,1,original
7,1,1,1,1,0,10,0,12,0,87,1.365884903663063,1,gan
28,1,1,0,0,25,14,14,44,0,87,1.2744702920223143,1,gan
45,1,1,0,1,4,17,2,42,0,285,1.2862043088446622,1,gan
14,1,1,0,0,6,8,14,40,0,285,1.3587215160471378,1,gan
30,1,1,0,1,0,8,0,12,0,21,-1.9528739328908564,1,original
23,0,1,1,1,1,18,1,38,0,3,-0.7813239328283278,1,gan
5,1,1,0,0,20,34,14,23,0,42,1.2880026459962644,1,gan
23,1,1,0,0,25,41,0,15,0,1351,-0.7358965921325253,1,gan
27,1,1,0,1,15,41,0,18,0,1,1.3658848315045948,1,gan
43,0,1,0,0,4,37,0,11,0,8,-0.7813222292525773,1,gan
4,1,1,0,0,7,19,0,40,0,42,1.2744709308632207,1,gan
12,0,1,1,1,1,7,2,10,0,3,-0.7813175444192635,1,gan
14,0,1,0,1,20,17,14,42,0,42,1.2631861611627393,1,gan
8,0,1,0,0,4,43,1,21,0,87,1.2633022882430638,1,gan
24,0,1,0,1,12,44,0,43,0,13,-0.7358929842091142,1,gan
23,1,1,1,1,20,34,2,17,0,1803,1.367716718537378,1,gan
13,1,1,0,0,2,17,2,9,0,14,-0.7813206676414727,1,gan
2,0,1,1,0,7,9,14,31,0,4,1.3539670667343768,1,gan
3,1,1,1,0,1,6,1,32,0,30,-0.7358941387446057,1,gan
27,1,1,0,1,21,25,2,44,0,6,-0.7813186091541076,1,gan
37,1,1,0,1,22,4,0,9,0,1803,-0.8386706934935583,1,gan
11,1,1,0,0,22,38,0,35,0,14,-0.7813255654217554,1,gan
30,0,1,1,0,12,40,0,25,0,30,-0.7813183962071387,1,gan
8,1,1,0,0,5,45,1,9,0,6,1.3539685099037413,1,gan
23,0,1,0,1,4,31,14,32,0,42,1.2862006887461923,1,gan
27,1,1,0,0,21,14,14,7,0,24,-0.7813195319243057,1,gan
17,1,1,1,0,21,45,14,31,0,13,-0.7813197448712745,1,gan
7,1,1,0,0,1,3,0,12,0,42,0.524543351545129,1,original
30,1,1,0,0,14,14,14,8,0,1803,0.5404084877786577,1,original
16,0,1,0,0,21,44,0,22,0,30,-0.7813228680934837,1,gan
2,0,1,0,0,20,37,1,45,0,285,1.263446879234886,1,gan
3,0,1,1,0,5,23,2,21,0,285,-0.7813188221010764,1,gan
3,0,1,0,0,19,35,0,23,0,1803,-0.7813197448712745,1,gan
13,1,1,0,0,21,12,0,42,0,16,-0.7358934171599235,1,gan
44,0,1,0,1,18,25,14,22,0,30,1.2880026459962644,1,gan
14,1,1,0,0,2,33,0,33,0,3,-1.885636010232942,1,original
5,1,1,0,1,25,6,0,37,0,1351,1.2880026459962644,1,gan
14,1,1,0,1,5,38,0,43,0,21,1.2744785259717748,1,gan
20,1,1,1,0,0,19,2,7,0,1351,1.2744702920223143,1,gan
20,0,1,1,1,19,9,1,31,0,1803,-0.7813188221010764,1,gan
29,1,1,1,1,12,45,14,44,0,30,1.3539601395214276,1,gan
9,1,1,0,0,3,42,14,41,0,3,1.263446879234886,1,gan
15,0,1,1,0,12,14,0,7,0,0,-0.7813266301565994,1,gan
37,1,1,0,0,1,6,2,8,0,1351,0.5114264279958498,1,original
20,1,1,0,0,9,45,0,37,0,42,1.3539607889476415,1,gan
30,1,1,0,0,0,18,14,22,0,87,-0.7813188221010764,1,gan
35,0,1,0,1,7,18,0,41,0,21,1.263282058281027,1,gan
14,1,1,1,1,25,13,0,41,0,1,-0.7813262042626617,1,gan
11,0,1,0,0,7,9,0,32,0,87,-0.7358943552200105,1,gan
17,0,1,0,0,18,32,14,44,0,9,-0.7358986125696356,1,gan
15,0,1,0,1,1,19,0,43,0,3,-0.7813231520227755,1,gan
44,0,1,0,0,11,2,14,8,0,9,-0.78131697656068,1,gan
16,1,1,0,0,18,13,0,20,0,42,1.3427540737232957,1,gan
3,1,1,0,0,21,12,1,19,0,1803,-0.781320454694504,1,gan
15,1,1,0,1,23,18,1,7,0,87,-0.7813266301565994,1,gan
24,1,1,1,0,6,21,14,18,0,4,-0.781322655146515,1,gan
44,1,1,0,0,6,3,2,34,0,0,-0.7813201707652122,1,gan
16,0,1,0,0,0,45,1,12,0,24,-0.7813231520227755,1,gan
23,1,1,1,1,0,2,2,38,0,21,-0.7813239328283278,1,gan
24,1,1,0,1,7,11,1,31,0,1351,-0.7813201707652122,1,gan
16,1,1,0,0,6,4,1,22,0,30,-0.7813255654217554,1,gan
30,1,1,1,1,0,8,2,11,0,6,0.5114506446228821,1,original
15,1,1,0,0,0,21,1,21,0,14,-0.7813175444192635,1,gan
15,0,1,0,0,22,12,14,12,0,3,-0.7358932006845188,1,gan
3,1,1,1,1,0,20,14,15,0,1803,-0.7359004165313412,1,gan
18,1,1,0,0,13,7,14,45,0,1351,1.2633022882430638,1,gan
37,1,1,1,1,0,7,2,10,0,285,0.5114501453109846,1,original
35,0,1,0,1,1,15,0,40,0,1351,1.2862043088446622,1,gan
2,1,1,0,0,15,15,0,15,0,3,-1.885641169789217,1,original
45,0,1,0,0,2,9,1,31,0,87,-0.781322655146515,1,gan
7,1,1,1,1,12,36,1,20,0,30,-0.7813177573662323,1,gan
28,1,1,0,0,2,12,0,45,0,42,1.2744709308632207,1,gan
13,0,1,0,0,19,9,1,7,0,30,-0.7813186091541076,1,gan
35,0,1,1,0,18,4,0,7,0,1351,1.263282058281027,1,gan
15,0,1,0,1,21,8,14,41,0,14,-0.7813177573662323,1,gan
28,1,1,1,0,0,42,0,23,0,1803,1.3539670667343768,1,gan
27,1,1,0,0,4,25,0,11,0,1,-0.7813234359520672,1,gan
23,1,1,0,1,2,7,2,45,0,285,-0.7813183962071387,1,gan
