user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
19,1,1,0,0,7,7,14,15,0,12,0.5395311967746195,0,original
40,1,1,0,1,0,2,0,3,0,11,0.530035449543849,0,original
30,1,0,0,1,0,0,26,0,0,900,0.5401698166916171,0,original
24,1,1,0,1,0,2,3,3,0,3,0.5228823072991982,0,original
30,1,1,0,1,0,1,5,2,0,9,0.5124342890611037,0,original
30,1,1,0,1,0,4,20,7,0,59,0.5242130567248835,0,original
30,1,0,0,1,0,0,8,0,0,71,0.512606302009818,0,original
37,1,1,0,1,0,3,2,4,0,5,0.5112608228831543,0,original
31,1,1,0,0,8,8,22,24,0,279,0.5396048452795117,0,original
31,1,1,0,0,10,10,14,23,0,738,0.5395937771991154,0,original
30,1,0,0,1,0,0,21,0,0,11,0.5242182162811585,0,original
40,1,0,0,1,0,0,1,0,0,133,0.5227222778360257,0,original
30,1,0,0,1,0,0,28,0,0,451,0.5402089294569271,0,original
40,1,1,0,1,0,5,1,3,0,8,0.5300474330293907,0,original
30,1,0,0,1,0,0,15,0,0,137,0.5126335145082359,0,original
19,1,1,0,0,1,1,14,7,0,322997,0.5395205447874711,0,original
19,1,1,0,0,9,9,14,18,0,10,0.5395323618357137,0,original
37,1,0,0,1,0,0,2,0,0,62,0.5111181028990976,0,original
19,1,1,0,0,5,5,22,20,0,179837,0.5395502538453769,0,original
30,1,0,0,1,0,0,11,0,0,142,0.5117873472791465,0,original
40,1,0,0,1,0,0,3,0,0,7,0.530044686813954,0,original
30,1,1,0,1,0,6,20,9,0,9,0.5242145546605763,0,original
19,1,1,0,0,8,8,14,17,0,4,0.5395315296492178,0,original
30,1,1,0,1,0,1,2,2,0,54,0.51125965782206,0,original
19,1,1,0,0,4,4,14,11,0,88,0.5395287002151316,0,original
30,1,0,0,1,0,0,8,0,0,13,0.5116393013015157,0,original
30,1,0,0,1,0,0,7,0,0,13,0.5126003934856967,0,original
24,1,1,0,1,0,1,1,2,0,58,0.5227271045177022,0,original
24,1,0,0,1,0,0,4,0,0,4105,0.5232250016982334,0,original
40,1,0,0,1,0,0,1,0,0,7,0.5300360320743961,0,original
37,1,1,1,1,0,2,2,4,0,287,0.5228135686946321,0,original
30,1,1,0,1,0,2,9,4,0,279,0.5116784972854753,0,original
40,1,0,0,1,0,0,3,0,0,733,0.5228745679647858,0,original
37,1,0,0,1,0,0,14,0,0,6697,0.512349822131764,0,original
30,1,0,0,1,0,0,17,0,0,65,0.5126433343088882,0,original
30,1,0,0,1,0,0,14,0,0,23,0.5126411706239987,0,original
4,1,1,0,0,6,6,0,6,0,9,-1.8856434999114056,0,original
30,1,1,0,1,0,8,20,12,0,11,0.5242173008760129,0,original
30,1,0,0,1,0,0,1,0,1,0,-1.9528957361770505,0,original
40,1,1,0,1,0,1,0,4,1,0,0.5300421902544662,0,original
30,1,0,0,1,0,0,27,0,0,19,0.5401713978459594,0,original
24,1,0,0,1,0,0,6,0,0,27,0.5253608915587574,0,original
38,1,1,0,0,4,4,0,4,0,5,-1.8856444985352008,0,original
30,1,0,0,1,0,0,16,0,0,53,0.5126379250966645,0,original
30,1,0,0,1,0,0,18,0,0,417,0.5126780364857696,0,original
40,1,1,0,1,0,1,0,13,1,0,0.5300346173573529,0,original
30,1,1,0,1,0,4,21,7,0,3,0.524515972609412,0,original
30,1,0,0,1,0,0,24,0,0,104,0.5400910918490995,0,original
40,1,0,0,1,0,0,2,0,0,131,0.5300465176242452,0,original
40,1,0,0,1,0,0,3,0,0,14,0.5300461847496467,0,original
18,1,1,0,0,11,11,14,4,0,7973,0.5402572794923421,0,original
40,1,0,0,1,0,0,3,0,0,17,0.5300426063477142,0,original
40,1,1,0,1,0,1,0,2,1,0,0.530040359444175,0,original
30,1,0,0,1,0,0,32,0,0,9,0.5402416343862182,0,original
19,1,1,0,0,1,1,22,1,0,235,0.5245748081946762,0,original
37,0,1,1,1,0,13,0,5,0,14,0.5383143736802306,0,original
24,1,0,0,1,0,0,10,0,0,713,0.5383010586962953,0,original
30,1,1,0,1,0,3,9,5,0,89,0.5116859037452893,0,original
18,1,1,0,0,3,3,33,3,0,1,0.5402558647752991,0,original
30,1,1,0,1,0,2,2,3,0,9,0.5112604067899064,0,original
30,1,0,0,1,0,0,23,0,0,195,0.5400824371095415,0,original
37,1,1,1,1,0,18,2,1,0,1086,0.5123578111221252,0,original
18,1,1,0,0,2,10,2,3,0,28,0.5115962772596747,0,original
40,1,0,0,1,0,0,1,0,0,9,0.5300356159811481,0,original
30,1,1,0,0,10,10,22,27,0,5526,0.5400662094728704,0,original
30,1,0,0,1,0,0,2,0,0,80,0.5111354123782136,0,original
37,0,1,1,1,0,11,0,2,0,41,0.5383035552557832,0,original
40,1,0,0,1,0,0,1,0,0,15,0.5300364481676441,0,original
24,1,0,0,1,0,0,8,0,0,99909,0.5381771461270473,0,original
40,1,1,0,1,0,4,1,2,0,11,0.530046767280194,0,original
40,1,0,0,1,0,0,1,0,0,23,0.5300384454152344,0,original
