user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1718.0,0.5350013031783406,1.0,borderline smote
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,9.0,0.0,835.0,0.5219458801803298,1.0,borderline smote
34.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,8.0,0.0,1223.0,0.512701084635428,1.0,borderline smote
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,9.0,0.0,1512.0,0.5377208163378074,1.0,borderline smote
8.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,41.0,0.4123064146816091,1.0,borderline smote
18.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,33.0,0.5233272748727739,1.0,borderline smote
7.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,12.0,0.0,9.0,0.5243297121329608,1.0,borderline smote
18.0,1.0,1.0,0.0,0.0,4.0,12.0,1.0,7.0,0.0,16.0,0.5134525659358457,1.0,borderline smote
13.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,25.0,0.5161414741198402,1.0,borderline smote
30.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,10.0,0.0,5.0,0.3681769212442958,1.0,borderline smote
19.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,7.0,0.0,16.0,0.301001806293896,1.0,borderline smote
37.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,10.0,0.0,15.0,0.5382965943071851,1.0,borderline smote
27.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,10.0,0.0,28.0,0.5267593922161212,1.0,borderline smote
36.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,12.0,0.0,23.0,0.4452486792543668,1.0,borderline smote
39.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,7.0,0.5308164670326447,1.0,borderline smote
27.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,3.0,-1.8856427713030728,1.0,borderline smote
32.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,7.0,0.0,1.0,-0.6100391402045116,1.0,borderline smote
31.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,3.0,-1.8856431890757757,1.0,borderline smote
27.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,11.0,0.0,16.0,-1.4690839638865336,1.0,borderline smote
30.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,12.0,0.0,20.0,-1.914368810488656,1.0,borderline smote
37.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,9.0,0.0,7.0,0.5382958393769445,1.0,borderline smote
37.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,7.0,0.0,0.0,0.5257806654500821,1.0,borderline smote
36.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.2026029536708959,1.0,borderline smote
30.0,1.0,1.0,0.0,0.0,13.0,13.0,13.0,8.0,0.0,1757.0,0.5399880940237899,1.0,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,760.0,0.5114395757856095,1.0,borderline smote
