user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
8.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,12.0,0.0,9.0,0.5231828588692635,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,1251.0,0.5124561611391437,1,borderline smote
35.0,1.0,1.0,0.0,0.0,3.0,8.0,5.0,9.0,0.0,687.0,0.5191220487541148,1,borderline smote
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1718.0,0.5350013031783406,1,borderline smote
37.0,1.0,1.0,1.0,1.0,0.0,7.0,2.0,10.0,0.0,285.0,0.5114501453109846,1,original
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,1034.0,0.5147108441479262,1,borderline smote
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,9.0,0.0,1512.0,0.5377208163378074,1,borderline smote
37.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,11.0,0.0,11.0,0.5382974867302572,1,borderline smote
18.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,31.0,-0.6987943938663879,1,borderline smote
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,9.0,0.0,835.0,0.5219458801803298,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,543.0,0.5114444020708754,1,borderline smote
31.0,1.0,1.0,0.0,0.0,10.0,12.0,10.0,10.0,0.0,1421.0,0.5368864915241658,1,borderline smote
27.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,407.0,0.5195171880307028,1,borderline smote
22.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,3.0,-1.8856380906991816,1,original
36.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,133.0,0.5249793161427921,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,9.0,0.0,1153.0,0.5134796504988678,1,borderline smote
30.0,1.0,1.0,0.0,0.0,13.0,13.0,13.0,8.0,0.0,1774.0,0.5385581216265386,1,borderline smote
32.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,903.0,0.5152649731049194,1,borderline smote
27.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,11.0,0.0,16.0,-1.365458851546001,1,borderline smote
32.0,1.0,1.0,0.0,0.0,9.0,11.0,10.0,8.0,0.0,1655.0,0.5309777342732982,1,borderline smote
17.0,1.0,1.0,0.0,0.0,9.0,40.0,0.0,40.0,0.0,3.0,-1.8856340962040012,1,original
28.0,1.0,1.0,0.0,0.0,3.0,8.0,1.0,10.0,0.0,4.0,-0.3276185051197746,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,760.0,0.5114395757856095,1,borderline smote
37.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,8.0,0.0,1351.0,0.5114264279958498,1,original
37.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,18.0,0.0,87.0,0.5245513405354902,1,original
35.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,1208.0,0.5126479905851273,1,borderline smote
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,220.0,0.5246459736524127,1,borderline smote
37.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,0.5229734559332808,1,borderline smote
14.0,1.0,1.0,0.0,0.0,5.0,6.0,4.0,10.0,0.0,643.0,0.5299582235768654,1,borderline smote
18.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,15.0,0.5113505550286032,1,borderline smote
23.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,9.0,0.0,1301.0,0.5358894545305335,1,borderline smote
27.0,1.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,0.0,990.0,0.5323157816696102,1,borderline smote
32.0,1.0,1.0,0.0,0.0,8.0,10.0,8.0,12.0,0.0,1069.0,0.5336289068980524,1,borderline smote
34.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,12.0,0.0,25.0,0.5351226109605287,1,borderline smote
42.0,1.0,1.0,0.0,0.0,11.0,42.0,0.0,42.0,0.0,3.0,-1.885633596892104,1,original
15.0,1.0,1.0,0.0,0.0,6.0,7.0,5.0,10.0,0.0,729.0,0.5307376665769664,1,borderline smote
2.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,14.0,0.0,3.0,-1.5900875540075687,1,borderline smote
8.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,41.0,0.4123064146816091,1,borderline smote
7.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,11.0,0.0,73.0,0.524226605117565,1,borderline smote
44.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,21.0,0.0,4.0,-1.8856391725416264,1,original
20.0,1.0,1.0,0.0,0.0,11.0,12.0,0.0,11.0,0.0,4.0,-1.5774994025612,1,borderline smote
24.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,10.0,0.0,30.0,0.5227485749292978,1,original
8.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,11.0,0.0,123.0,0.5252742809474554,1,borderline smote
31.0,1.0,1.0,0.0,0.0,4.0,7.0,0.0,8.0,0.0,4.0,-0.9551634899704278,1,borderline smote
16.0,1.0,1.0,0.0,0.0,4.0,11.0,1.0,7.0,0.0,17.0,0.5134195364470887,1,borderline smote
36.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,17.0,0.0,257.0,0.526130426065812,1,borderline smote
30.0,1.0,1.0,0.0,0.0,14.0,14.0,14.0,8.0,0.0,1803.0,0.5404084877786577,1,original
16.0,1.0,1.0,0.0,0.0,3.0,34.0,0.0,34.0,0.0,4.0,-1.885635677358344,1,original
34.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,8.0,0.0,1232.0,0.5126107520069355,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,717.0,0.5180087855008239,1,borderline smote
14.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,8.0,0.0,23.0,0.5149394283729681,1,borderline smote
25.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1491.0,0.537598602721452,1,borderline smote
33.0,1.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,0.0,1056.0,0.5261721069044797,1,borderline smote
36.0,1.0,1.0,0.0,0.0,2.0,6.0,3.0,8.0,0.0,1397.0,0.5144379161534209,1,borderline smote
