user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
34.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,13.0,0.0,20.0,-0.4804736137175126,1.0,borderline smote
35.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,1208.0,0.5126479905851273,1.0,borderline smote
35.0,1.0,1.0,0.0,0.0,3.0,8.0,5.0,9.0,0.0,687.0,0.5191220487541148,1.0,borderline smote
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,9.0,0.0,1512.0,0.5377208163378074,1.0,borderline smote
30.0,1.0,1.0,0.0,0.0,13.0,13.0,13.0,8.0,0.0,1724.0,0.5389118707977384,1.0,borderline smote
36.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,17.0,0.0,257.0,0.526130426065812,1.0,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,919.0,0.5159028940235988,1.0,borderline smote
33.0,1.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,0.0,1056.0,0.5261721069044797,1.0,borderline smote
12.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,37.0,-0.0632216385361089,1.0,borderline smote
27.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,407.0,0.5195171880307028,1.0,borderline smote
35.0,1.0,1.0,0.0,0.0,3.0,7.0,3.0,15.0,0.0,553.0,0.5288610539138376,1.0,borderline smote
31.0,1.0,1.0,0.0,0.0,10.0,12.0,10.0,10.0,0.0,1421.0,0.5368864915241658,1.0,borderline smote
36.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,133.0,0.5249793161427921,1.0,borderline smote
37.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,9.0,0.0,3.0,0.5382958739028968,1.0,borderline smote
32.0,1.0,1.0,0.0,0.0,9.0,11.0,10.0,8.0,0.0,1655.0,0.5309777342732982,1.0,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,9.0,0.0,1153.0,0.5134796504988678,1.0,borderline smote
30.0,1.0,1.0,0.0,0.0,13.0,13.0,13.0,8.0,0.0,1774.0,0.5385581216265386,1.0,borderline smote
23.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,9.0,0.0,1301.0,0.5358894545305335,1.0,borderline smote
27.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,11.0,0.0,22.0,-0.7416682630809416,1.0,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,760.0,0.5114395757856095,1.0,borderline smote
10.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,11.0,0.0,10.0,0.5207495906858524,1.0,borderline smote
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,9.0,0.0,835.0,0.5219458801803298,1.0,borderline smote
27.0,1.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,0.0,990.0,0.5323157816696102,1.0,borderline smote
32.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,12.0,0.0,18.0,-1.1477191672947358,1.0,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,1251.0,0.5124561611391437,1.0,borderline smote
14.0,1.0,1.0,0.0,0.0,5.0,6.0,4.0,10.0,0.0,643.0,0.5299582235768654,1.0,borderline smote
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,8.0,0.0,1521.0,0.5223558387703298,1.0,borderline smote
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1718.0,0.5350013031783406,1.0,borderline smote
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,220.0,0.5246459736524127,1.0,borderline smote
32.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,903.0,0.5152649731049194,1.0,borderline smote
32.0,1.0,1.0,0.0,0.0,8.0,10.0,8.0,12.0,0.0,1069.0,0.5336289068980524,1.0,borderline smote
11.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,31.0,0.5193429233967797,1.0,borderline smote
36.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,399.0,0.5136308933028754,1.0,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,543.0,0.5114444020708754,1.0,borderline smote
28.0,1.0,1.0,0.0,0.0,10.0,12.0,11.0,8.0,0.0,1405.0,0.5364479113187981,1.0,borderline smote
8.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,11.0,0.0,123.0,0.5252742809474554,1.0,borderline smote
37.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,9.0,0.0,5.0,0.5382958541490956,1.0,borderline smote
32.0,1.0,1.0,0.0,0.0,9.0,11.0,9.0,8.0,0.0,1636.0,0.529751953379131,1.0,borderline smote
