user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
31,1,1,0,0,7,7,0,7,0,3,-1.8856431890757757,1,borderline smote
33,1,1,0,0,7,10,8,8,0,1144,0.5278448631398597,1,borderline smote
30,1,1,0,0,13,13,13,8,0,1774,0.5385581216265386,1,borderline smote
14,1,1,0,0,5,6,4,10,0,643,0.5299582235768654,1,borderline smote
28,1,1,0,0,10,12,11,8,0,1405,0.5364479113187981,1,borderline smote
24,1,1,0,0,1,7,2,9,0,220,0.5246459736524127,1,borderline smote
32,1,1,0,0,0,6,1,8,0,903,0.5152649731049194,1,borderline smote
27,1,1,0,0,0,6,1,9,0,407,0.5195171880307028,1,borderline smote
25,1,1,0,0,11,12,11,8,0,1491,0.537598602721452,1,borderline smote
22,1,1,0,0,2,10,2,8,0,10,0.5115499222664053,1,borderline smote
34,1,1,0,0,1,5,1,8,0,1232,0.5126107520069355,1,borderline smote
37,1,1,0,0,0,5,0,13,0,717,0.5180087855008239,1,borderline smote
32,1,1,0,0,9,11,10,8,0,1655,0.5309777342732982,1,borderline smote
7,1,1,0,0,0,3,0,11,0,41,0.5242070729712998,1,borderline smote
37,1,1,0,0,0,5,1,10,0,1034,0.5147108441479262,1,borderline smote
37,1,1,0,0,0,6,2,9,0,543,0.5114444020708754,1,borderline smote
8,1,1,0,0,13,44,0,44,0,3,-1.8856325982683089,1,original
26,1,1,0,1,0,7,0,11,0,24,-0.3689470044613423,1,borderline smote
8,1,1,0,0,1,3,0,11,0,123,0.5252742809474554,1,borderline smote
0,1,1,0,0,11,11,0,11,0,3,-1.8856422516316615,1,original
37,1,1,0,0,1,6,2,8,0,1351,0.5114264279958498,1,original
34,1,1,0,0,5,9,6,9,0,835,0.5219458801803298,1,borderline smote
37,0,1,1,1,0,5,0,7,0,0,0.5255868122267682,1,borderline smote
37,1,1,1,1,0,7,2,10,0,285,0.5114501453109846,1,original
30,1,1,0,0,13,13,13,8,0,1724,0.5389118707977384,1,borderline smote
41,1,1,0,0,7,38,0,38,0,3,-1.8856346787345488,1,original
7,1,1,0,0,1,3,0,12,0,14,0.5245439676464994,1,borderline smote
33,0,1,0,1,0,8,0,13,0,17,-0.792988220197552,1,borderline smote
16,1,1,0,0,3,34,0,34,0,4,-1.885635677358344,1,original
27,1,1,0,0,7,10,8,8,0,990,0.5323157816696102,1,borderline smote
37,1,1,0,0,0,6,2,9,0,760,0.5114395757856095,1,borderline smote
23,1,1,0,0,10,10,10,9,0,1301,0.5358894545305335,1,borderline smote
37,1,1,1,1,0,5,0,18,0,87,0.5245513405354902,1,original
45,1,1,0,0,22,22,0,22,0,4,-1.8856388396670285,1,original
12,1,1,0,0,0,3,0,9,0,29,0.5179650760566114,1,borderline smote
19,1,1,0,1,0,5,1,7,0,18,0.5134467595576756,1,borderline smote
32,1,1,0,0,8,10,8,12,0,1069,0.5336289068980524,1,borderline smote
34,1,1,0,0,5,9,6,8,0,1521,0.5223558387703298,1,borderline smote
7,1,1,0,0,1,3,0,11,0,73,0.524226605117565,1,borderline smote
37,0,1,1,1,0,5,0,8,0,6,0.5329711879027555,1,borderline smote
35,1,1,0,0,3,8,5,9,0,687,0.5191220487541148,1,borderline smote
26,1,1,0,0,23,23,0,23,0,3,-1.8856385900110797,1,original
21,1,1,0,0,11,11,0,11,0,3,-1.8856420938445928,1,borderline smote
36,1,1,0,0,0,5,0,17,0,133,0.5249793161427921,1,borderline smote
30,1,1,0,0,14,14,14,8,0,1803,0.5404084877786577,1,original
18,1,1,0,0,4,12,1,7,0,15,0.5128748613014258,1,borderline smote
37,1,1,0,0,0,6,2,8,0,1215,0.5114294415300695,1,borderline smote
36,1,1,0,0,1,5,1,17,0,257,0.526130426065812,1,borderline smote
27,1,1,0,1,0,8,0,11,0,16,-1.365458851546001,1,borderline smote
29,1,1,0,0,0,8,2,10,0,6,0.5114569916713368,1,borderline smote
15,1,1,0,0,6,7,5,10,0,729,0.5307376665769664,1,borderline smote
32,0,1,0,1,0,7,0,11,0,26,0.532580165160538,1,borderline smote
10,1,1,0,0,1,4,0,11,0,11,0.5205634501116481,1,borderline smote
35,0,1,0,1,0,7,0,12,0,24,0.5367200827487159,1,borderline smote
19,1,1,0,0,0,5,0,10,0,33,0.5232189914141495,1,borderline smote
37,1,1,0,0,0,5,1,11,0,919,0.5159028940235988,1,borderline smote
32,1,1,0,0,9,11,9,8,0,1636,0.529751953379131,1,borderline smote
31,1,1,0,0,10,12,10,10,0,1421,0.5368864915241658,1,borderline smote
30,0,1,0,1,0,8,0,12,0,21,-1.807052713493508,1,borderline smote
37,1,1,0,0,0,5,1,8,0,1251,0.5124561611391437,1,borderline smote
30,1,1,0,0,13,13,13,8,0,1757,0.5399880940237899,1,borderline smote
37,0,1,0,1,0,5,0,9,0,9,0.5381452802850687,1,borderline smote
43,1,1,0,0,12,43,0,43,0,9,-1.8856328479242572,1,original
39,0,1,0,1,0,2,0,10,0,7,0.5308164670326447,1,borderline smote
34,1,1,0,0,5,8,6,8,0,1508,0.5215133075796786,1,borderline smote
36,1,1,0,0,2,6,3,8,0,1397,0.5144379161534209,1,borderline smote
15,1,1,0,0,19,19,0,19,0,4,-1.885639755072174,1,original
33,1,1,0,0,7,10,8,8,0,1056,0.5261721069044797,1,borderline smote
17,1,1,0,0,9,40,0,40,0,3,-1.8856340962040012,1,original
4,1,1,0,0,7,8,0,13,0,6,-0.4814937509382737,1,borderline smote
28,0,1,0,1,0,7,0,11,0,27,0.5284469392615976,1,borderline smote
37,1,1,0,0,0,5,1,9,0,1153,0.5134796504988678,1,borderline smote
30,1,1,0,0,14,45,0,45,0,8,-1.885631932519112,1,original
36,1,1,0,0,1,7,2,9,0,399,0.5136308933028754,1,borderline smote
3,1,1,0,0,17,17,0,17,0,4,-1.88564058725867,1,original
5,1,1,1,1,0,31,0,31,0,3,-1.88563650954484,1,original
32,1,1,0,0,4,6,0,7,0,1,-0.6100391402045116,1,borderline smote
35,1,1,0,0,3,7,3,15,0,553,0.5288610539138376,1,borderline smote
37,0,1,1,1,0,7,0,11,0,17,0.5382969831223896,1,borderline smote
14,1,1,0,0,3,9,1,9,0,12,0.5162056042596681,1,borderline smote
35,1,1,0,0,18,18,0,18,0,6,-1.8856400879467723,1,original
30,1,1,1,1,0,7,0,20,0,6,0.5245530049084821,1,original
19,1,1,0,1,0,5,1,7,0,16,0.301001806293896,1,borderline smote
36,0,1,0,1,0,9,0,14,0,13,0.2822467040644612,1,borderline smote
24,1,1,0,0,10,10,0,10,0,3,-1.885642484331469,1,borderline smote
31,1,1,0,0,11,12,11,9,0,1512,0.5377208163378074,1,borderline smote
14,1,1,0,0,0,4,1,8,0,25,0.5160445608175599,1,borderline smote
19,1,1,0,0,9,12,0,9,0,7,-0.9047622634865264,1,borderline smote
34,0,1,0,0,3,6,0,7,0,6,-0.6918103714245951,1,borderline smote
30,1,1,0,0,13,13,13,8,0,1784,0.5392280831949672,1,borderline smote
20,1,1,0,0,3,10,1,8,0,19,0.5156546728658989,1,borderline smote
20,1,1,0,0,5,36,0,36,0,3,-1.8856351780464464,1,original
12,1,1,0,0,0,4,0,12,0,37,-0.0632216385361089,1,borderline smote
24,1,1,0,1,0,6,0,9,0,18,-0.7505795349733048,1,borderline smote
34,1,1,0,0,1,5,1,8,0,1223,0.512701084635428,1,borderline smote
22,1,1,0,0,1,8,1,9,0,25,0.5194716787590546,1,borderline smote
36,0,1,0,0,0,7,0,9,0,1,0.3645444567114662,1,borderline smote
14,1,1,0,0,0,4,1,8,0,13,0.5154729609524058,1,borderline smote
6,1,1,0,0,2,4,0,13,0,8,0.4898531262292757,1,borderline smote
35,1,1,0,0,0,6,1,8,0,1208,0.5126479905851273,1,borderline smote
31,1,1,0,0,11,12,11,8,0,1718,0.5350013031783406,1,borderline smote
42,1,1,0,0,11,42,0,42,0,3,-1.885633596892104,1,original
30,0,1,0,1,0,8,0,13,0,16,-1.9292192912639288,1,borderline smote
5,1,1,0,0,10,41,0,41,0,3,-1.8856338465480529,1,original
24,1,1,0,0,2,10,0,10,0,15,-0.8566684429494371,1,borderline smote
29,0,1,0,0,6,8,0,9,0,2,-1.304959425068788,1,borderline smote
29,1,1,0,0,20,20,0,20,0,3,-1.8856395054162247,1,original
33,0,1,1,1,0,7,1,10,0,7,0.5230394741144252,1,borderline smote
22,1,1,0,0,25,25,0,25,0,3,-1.8856380906991816,1,original
25,0,1,0,1,0,7,0,10,0,29,0.5244271777453812,1,borderline smote
11,1,1,0,0,4,35,0,35,0,3,-1.8856354277023948,1,original
24,1,1,0,1,0,7,0,10,0,16,-0.9136761754627004,1,borderline smote
9,1,1,0,0,2,5,0,10,0,34,0.5212893952454406,1,borderline smote
12,1,1,0,0,3,8,1,9,0,27,0.5176762890890816,1,borderline smote
2,1,1,0,0,13,13,0,14,0,3,-1.5900875540075687,1,borderline smote
30,1,1,0,1,0,8,0,12,0,18,-1.952873173855324,1,borderline smote
12,1,1,0,0,1,32,0,32,0,3,-1.885636259888891,1,original
35,1,1,1,1,0,5,1,8,0,1,0.5195591208306078,1,borderline smote
36,1,1,0,0,0,5,0,7,0,0,0.2026029536708959,1,borderline smote
34,0,1,0,1,0,8,0,12,0,22,-0.3949264960622051,1,borderline smote
4,1,1,0,0,4,6,0,12,0,7,-0.2419035347987796,1,borderline smote
8,1,1,0,0,1,4,0,12,0,9,0.5231828588692635,1,borderline smote
1,1,1,0,0,8,9,0,11,0,4,-1.27463929609576,1,borderline smote
37,0,1,1,1,0,6,0,10,0,15,0.5382965943071851,1,borderline smote
37,0,1,1,1,0,6,0,9,0,0,0.5365844191123749,1,borderline smote
37,0,1,1,1,0,5,0,7,0,4,0.5293864912075357,1,borderline smote
20,1,1,0,0,5,12,1,7,0,11,-0.0368695805147043,1,borderline smote
33,0,1,1,1,0,7,1,10,0,3,0.524263003290797,1,borderline smote
27,1,1,0,0,8,8,0,9,0,3,-1.6592541534577827,1,borderline smote
37,0,1,1,1,0,8,0,13,0,23,0.5382980854419959,1,borderline smote
28,1,1,0,1,0,7,0,11,0,22,-1.4746696656919465,1,borderline smote
18,1,1,0,0,0,5,0,12,0,31,-0.6987943938663879,1,borderline smote
38,1,1,0,1,0,3,0,8,0,2,0.5253448322068225,1,borderline smote
8,1,1,0,0,1,3,0,11,0,39,0.523332727899424,1,borderline smote
26,1,1,0,0,1,9,2,9,0,8,0.5114975549551795,1,borderline smote
36,0,1,0,1,0,6,0,9,0,10,0.5135182681839594,1,borderline smote
23,1,1,0,0,6,37,0,37,0,3,-1.8856349283904972,1,original
29,1,1,0,0,1,8,1,10,0,5,0.1500250777124436,1,borderline smote
36,0,1,0,0,1,6,0,8,0,8,0.0761988731549296,1,borderline smote
29,1,1,0,1,0,8,0,12,0,16,-1.841652230763139,1,borderline smote
14,1,1,0,0,0,4,0,12,0,35,-0.2656923882584979,1,borderline smote
25,1,1,0,1,0,7,0,10,0,27,-0.1553458843938804,1,borderline smote
32,0,1,0,0,5,6,0,7,0,4,-1.4629896511605098,1,borderline smote
35,1,1,0,0,2,5,0,7,0,1,-0.3393822070268952,1,borderline smote
4,1,1,0,0,9,10,0,14,0,5,-0.8996173674848353,1,borderline smote
34,0,1,1,1,0,6,0,9,0,8,0.5283588422053874,1,borderline smote
38,0,1,0,1,0,5,0,10,0,3,0.5352575084392989,1,borderline smote
16,1,1,0,0,0,4,1,7,0,19,0.5132125459988317,1,borderline smote
37,0,1,1,1,0,8,0,13,0,19,0.5382988184784528,1,borderline smote
7,1,1,0,0,1,3,0,12,0,11,0.5245440531257713,1,borderline smote
30,0,1,1,1,0,7,1,10,0,5,0.5142099137609762,1,borderline smote
19,1,1,0,0,7,7,14,15,0,12,0.5395311967746195,0,original
40,1,1,0,1,0,2,0,3,0,11,0.530035449543849,0,original
30,1,0,0,1,0,0,26,0,0,900,0.5401698166916171,0,original
24,1,1,0,1,0,2,3,3,0,3,0.5228823072991982,0,original
30,1,1,0,1,0,1,5,2,0,9,0.5124342890611037,0,original
30,1,1,0,1,0,4,20,7,0,59,0.5242130567248835,0,original
30,1,0,0,1,0,0,8,0,0,71,0.512606302009818,0,original
37,1,1,0,1,0,3,2,4,0,5,0.5112608228831543,0,original
31,1,1,0,0,8,8,22,24,0,279,0.5396048452795117,0,original
31,1,1,0,0,10,10,14,23,0,738,0.5395937771991154,0,original
30,1,0,0,1,0,0,21,0,0,11,0.5242182162811585,0,original
40,1,0,0,1,0,0,1,0,0,133,0.5227222778360257,0,original
30,1,0,0,1,0,0,28,0,0,451,0.5402089294569271,0,original
40,1,1,0,1,0,5,1,3,0,8,0.5300474330293907,0,original
30,1,0,0,1,0,0,15,0,0,137,0.5126335145082359,0,original
19,1,1,0,0,1,1,14,7,0,322997,0.5395205447874711,0,original
19,1,1,0,0,9,9,14,18,0,10,0.5395323618357137,0,original
37,1,0,0,1,0,0,2,0,0,62,0.5111181028990976,0,original
19,1,1,0,0,5,5,22,20,0,179837,0.5395502538453769,0,original
30,1,0,0,1,0,0,11,0,0,142,0.5117873472791465,0,original
40,1,0,0,1,0,0,3,0,0,7,0.530044686813954,0,original
30,1,1,0,1,0,6,20,9,0,9,0.5242145546605763,0,original
19,1,1,0,0,8,8,14,17,0,4,0.5395315296492178,0,original
30,1,1,0,1,0,1,2,2,0,54,0.51125965782206,0,original
19,1,1,0,0,4,4,14,11,0,88,0.5395287002151316,0,original
30,1,0,0,1,0,0,8,0,0,13,0.5116393013015157,0,original
30,1,0,0,1,0,0,7,0,0,13,0.5126003934856967,0,original
24,1,1,0,1,0,1,1,2,0,58,0.5227271045177022,0,original
24,1,0,0,1,0,0,4,0,0,4105,0.5232250016982334,0,original
40,1,0,0,1,0,0,1,0,0,7,0.5300360320743961,0,original
37,1,1,1,1,0,2,2,4,0,287,0.5228135686946321,0,original
30,1,1,0,1,0,2,9,4,0,279,0.5116784972854753,0,original
40,1,0,0,1,0,0,3,0,0,733,0.5228745679647858,0,original
37,1,0,0,1,0,0,14,0,0,6697,0.512349822131764,0,original
30,1,0,0,1,0,0,17,0,0,65,0.5126433343088882,0,original
30,1,0,0,1,0,0,14,0,0,23,0.5126411706239987,0,original
4,1,1,0,0,6,6,0,6,0,9,-1.8856434999114056,0,original
30,1,1,0,1,0,8,20,12,0,11,0.5242173008760129,0,original
30,1,0,0,1,0,0,1,0,1,0,-1.9528957361770505,0,original
40,1,1,0,1,0,1,0,4,1,0,0.5300421902544662,0,original
30,1,0,0,1,0,0,27,0,0,19,0.5401713978459594,0,original
24,1,0,0,1,0,0,6,0,0,27,0.5253608915587574,0,original
38,1,1,0,0,4,4,0,4,0,5,-1.8856444985352008,0,original
30,1,0,0,1,0,0,16,0,0,53,0.5126379250966645,0,original
30,1,0,0,1,0,0,18,0,0,417,0.5126780364857696,0,original
40,1,1,0,1,0,1,0,13,1,0,0.5300346173573529,0,original
30,1,1,0,1,0,4,21,7,0,3,0.524515972609412,0,original
30,1,0,0,1,0,0,24,0,0,104,0.5400910918490995,0,original
40,1,0,0,1,0,0,2,0,0,131,0.5300465176242452,0,original
40,1,0,0,1,0,0,3,0,0,14,0.5300461847496467,0,original
18,1,1,0,0,11,11,14,4,0,7973,0.5402572794923421,0,original
40,1,0,0,1,0,0,3,0,0,17,0.5300426063477142,0,original
40,1,1,0,1,0,1,0,2,1,0,0.530040359444175,0,original
30,1,0,0,1,0,0,32,0,0,9,0.5402416343862182,0,original
19,1,1,0,0,1,1,22,1,0,235,0.5245748081946762,0,original
37,0,1,1,1,0,13,0,5,0,14,0.5383143736802306,0,original
24,1,0,0,1,0,0,10,0,0,713,0.5383010586962953,0,original
30,1,1,0,1,0,3,9,5,0,89,0.5116859037452893,0,original
18,1,1,0,0,3,3,33,3,0,1,0.5402558647752991,0,original
30,1,1,0,1,0,2,2,3,0,9,0.5112604067899064,0,original
30,1,0,0,1,0,0,23,0,0,195,0.5400824371095415,0,original
37,1,1,1,1,0,18,2,1,0,1086,0.5123578111221252,0,original
18,1,1,0,0,2,10,2,3,0,28,0.5115962772596747,0,original
40,1,0,0,1,0,0,1,0,0,9,0.5300356159811481,0,original
30,1,1,0,0,10,10,22,27,0,5526,0.5400662094728704,0,original
30,1,0,0,1,0,0,2,0,0,80,0.5111354123782136,0,original
37,0,1,1,1,0,11,0,2,0,41,0.5383035552557832,0,original
40,1,0,0,1,0,0,1,0,0,15,0.5300364481676441,0,original
24,1,0,0,1,0,0,8,0,0,99909,0.5381771461270473,0,original
40,1,1,0,1,0,4,1,2,0,11,0.530046767280194,0,original
40,1,0,0,1,0,0,1,0,0,23,0.5300384454152344,0,original
31,1,1,0,0,9,9,22,26,0,18,0.5396063432152044,0,original
30,1,1,0,1,0,1,14,2,0,3176,0.5126141245628801,0,original
37,1,1,1,1,0,3,1,5,0,146,0.5227416677813814,0,original
30,1,1,0,1,0,1,20,2,0,24,0.5242068985448135,0,original
37,1,1,1,1,0,6,9,10,0,662,0.5117476519832893,0,original
24,1,1,0,1,0,1,8,2,0,767,0.5382409748312872,0,original
30,1,0,0,1,0,0,6,0,0,1980,0.512599311643252,0,original
18,1,1,0,0,12,12,14,6,0,8,0.5402579452415389,0,original
30,1,1,0,1,0,2,0,3,0,13,-1.952880840038773,0,original
34,1,1,0,0,2,2,0,2,0,3,-1.8856452475030472,0,original
18,1,0,0,1,0,0,5,0,0,5312,0.5115804657162515,0,original
30,1,1,0,1,0,2,20,3,0,0,0.5242068985448135,0,original
37,0,1,1,1,0,4,0,6,0,38,0.5382904899277967,0,original
30,1,1,0,1,0,4,32,6,0,13,0.5402490408460322,0,original
