user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
38.800000000000004,0.39999999999999997,1.0,0.0,1.0,0.0,2.3999999999999995,0.0,10.4,0.0,6.900000000000006,0.5300772855244853,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,1251.0,0.5124561611391437,1,centroid
14.0,1.0,1.0,0.0,0.0,5.0,6.0,4.0,10.0,0.0,643.0,0.5299582235768654,1,centroid
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1718.0,0.5350013031783406,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,919.0,0.5159028940235988,1,centroid
28.0,1.0,1.0,0.0,0.0,10.0,12.0,11.0,8.0,0.0,1405.0,0.5364479113187981,1,centroid
36.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,399.0,0.5136308933028754,1,centroid
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,220.0,0.5246459736524127,1,centroid
20.0,1.0,1.0,0.0,0.0,3.0,10.0,1.0,8.0,0.0,19.333333333333343,0.5156411356825163,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,1034.0,0.5147108441479262,1,centroid
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,9.0,0.0,1512.0,0.5377208163378074,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,760.0,0.5114395757856095,1,centroid
33.0,1.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,0.0,1144.0,0.5278448631398597,1,centroid
8.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,11.0,0.0,123.0,0.5252742809474554,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,0.0,543.0,0.5114444020708754,1,centroid
30.0,1.0,1.0,0.0,0.0,13.0,13.0,13.0,8.0,0.0,1774.0,0.5385581216265386,1,centroid
7.166666666666664,1.0,1.0,2.7755575615628914e-17,-5.551115123125783e-17,0.16666666666666674,3.0,0.0,11.333333333333334,0.0,40.83333333333334,0.49304326930904296,1,centroid
32.0,1.0,1.0,0.0,0.0,9.0,11.0,9.0,8.0,0.0,1636.0,0.529751953379131,1,centroid
13.0,1.0,1.0,0.0,0.0,3.25,8.75,1.0,8.75,0.0,11.5,0.5169069971250864,1,centroid
29.88888888888889,0.5555555555555556,1.0,2.7755575615628914e-17,0.9999999999999999,0.0,7.888888888888888,-1.1102230246251565e-16,11.88888888888889,0.0,19.666666666666686,-1.8467986528699016,1,centroid
29.166666666666668,1.0,1.0,2.7755575615628914e-17,-5.551115123125783e-17,0.8333333333333335,7.666666666666667,1.1666666666666667,10.0,0.0,5.0,0.1755779037298103,1,centroid
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,9.0,0.0,835.0,0.5219458801803298,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,717.0,0.5180087855008239,1,centroid
23.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,9.0,0.0,1301.0,0.5358894545305335,1,centroid
27.0,1.0,1.0,0.0,0.0,7.0,10.0,8.0,8.0,0.0,990.0,0.5323157816696102,1,centroid
37.18181818181819,0.27272727272727276,1.0,0.7272727272727273,1.0,0.0,4.545454545454545,0.0,7.181818181818182,0.0,0.818181818181813,0.525609500700072,1,centroid
37.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,1215.0,0.5114294415300695,1,centroid
32.0,1.0,1.0,0.0,0.0,8.0,10.0,8.0,12.0,0.0,1069.0,0.5336289068980524,1,centroid
18.166666666666668,1.0,1.0,2.7755575615628914e-17,-5.551115123125783e-17,0.0,5.166666666666666,0.0,10.666666666666666,0.0,32.5,0.14653012997504455,1,centroid
24.25,1.0,1.0,0.0,0.0,9.75,9.75,0.0,9.75,0.0,3.0,-1.8856424754681376,1,centroid
6.333333333333336,1.0,1.0,0.0,0.0,2.3333333333333335,4.0,0.0,12.333333333333332,0.0,8.333333333333343,0.42174486888378315,1,centroid
