user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
27.0,0.0,1.0,0.0,0.0,12.0,36.0,2.0,42.0,0.0,10.0,1.3424890356695116,1,gan
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1718.0,0.5350013031783406,1,borderline smote
35.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,1208.0,0.5126479905851273,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,449.0,0.520787703447506,1,smote
24.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,3.0,-1.8856424150290148,1,smote
31.0,1.0,1.0,0.0,0.0,10.0,12.0,10.0,10.0,0.0,1421.0,0.5368864915241658,1,borderline smote
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,9.0,0.0,835.0,0.5219458801803298,1,borderline smote
26.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,284.0,0.5205683840725834,1,smote
37.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,18.0,0.0,87.0,0.5245513405354902,1,original
3.0,1.0,1.0,1.0,1.0,0.0,20.0,14.0,15.0,0.0,1803.0,-0.7359004165313412,1,gan
15.0,1.0,1.0,0.0,0.0,6.0,7.0,5.0,10.0,0.0,729.0,0.5307376665769664,1,borderline smote
7.0,1.0,1.0,0.0,1.0,13.0,14.0,14.0,10.0,0.0,1351.0,-0.7358938501107328,1,gan
1.0,1.0,1.0,0.0,0.0,8.0,9.0,0.0,11.0,0.0,4.0,-1.3090896405791652,1,smote
30.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,13.0,0.0,16.0,-1.9528726013924629,1,original
17.0,1.0,1.0,0.0,0.0,9.0,40.0,0.0,40.0,0.0,3.0,-1.8856340962040012,1,original
32.0,1.0,1.0,0.0,0.0,8.0,10.0,8.0,12.0,0.0,1069.0,0.5336289068980524,1,borderline smote
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,193.0,0.5243809429441221,1,smote
35.0,1.0,1.0,0.0,0.0,3.0,7.0,3.0,15.0,0.0,553.0,0.5288610539138376,1,borderline smote
35.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,8.0,0.0,1.0,-0.2858820830967836,1,borderline smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,919.0,0.5159028940235988,1,borderline smote
27.0,0.0,1.0,0.0,1.0,20.0,32.0,0.0,20.0,0.0,1.0,-0.7358959427063113,1,gan
17.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,8.0,0.0,6.0,-0.7358924790998366,1,gan
32.0,1.0,1.0,0.0,0.0,9.0,11.0,9.0,8.0,0.0,1636.0,0.529751953379131,1,borderline smote
18.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,31.0,-0.6987943938663879,1,borderline smote
8.0,0.0,1.0,0.0,0.0,3.0,31.0,1.0,12.0,0.0,30.0,1.3424890356695116,1,gan
37.0,0.0,1.0,0.0,1.0,18.0,11.0,0.0,38.0,0.0,30.0,-0.735892262624432,1,gan
3.0,1.0,1.0,1.0,0.0,6.0,43.0,0.0,11.0,0.0,6.0,1.3539670667343768,1,gan
43.0,0.0,1.0,0.0,0.0,7.0,33.0,0.0,18.0,0.0,9.0,-0.7358941387446057,1,gan
13.0,1.0,1.0,0.0,0.0,21.0,12.0,0.0,42.0,0.0,16.0,-0.7358934171599235,1,gan
7.0,1.0,1.0,1.0,0.0,13.0,34.0,0.0,38.0,0.0,8.0,-0.735892262624432,1,gan
23.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,9.0,0.0,1301.0,0.5358894545305335,1,borderline smote
20.0,1.0,1.0,0.0,0.0,9.0,45.0,0.0,37.0,0.0,42.0,1.3539607889476415,1,gan
21.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,10.0,0.0,666.0,0.5182830745555518,1,smote
40.0,0.0,1.0,0.0,0.0,6.0,13.0,0.0,33.0,0.0,16.0,-0.7358993341543179,1,gan
28.0,1.0,1.0,1.0,0.0,18.0,43.0,1.0,43.0,0.0,30.0,-0.7358999835805318,1,gan
31.0,1.0,1.0,0.0,0.0,10.0,12.0,11.0,8.0,0.0,1465.0,0.5339766137383013,1,smote
11.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,32.0,0.0,87.0,-0.7358943552200105,1,gan
28.0,1.0,1.0,1.0,0.0,0.0,42.0,0.0,23.0,0.0,1803.0,1.3539670667343768,1,gan
5.0,1.0,1.0,1.0,1.0,0.0,31.0,0.0,31.0,0.0,3.0,-1.88563650954484,1,original
13.0,1.0,1.0,0.0,1.0,6.0,44.0,2.0,15.0,0.0,285.0,1.3524002177553776,1,gan
37.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,8.0,0.0,1351.0,0.5114264279958498,1,original
28.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,11.0,0.0,3.0,1.3524002177553776,1,gan
23.0,1.0,1.0,0.0,0.0,25.0,41.0,0.0,15.0,0.0,1351.0,-0.7358965921325253,1,gan
45.0,1.0,1.0,1.0,0.0,2.0,44.0,1.0,33.0,0.0,1.0,1.3587215160471378,1,gan
19.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,7.0,0.0,18.0,0.5134467595576756,1,borderline smote
45.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,22.0,0.0,4.0,-1.8856388396670285,1,original
8.0,1.0,1.0,0.0,1.0,17.0,35.0,2.0,7.0,0.0,3.0,-0.7358968807663983,1,gan
18.0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,9.0,0.0,1803.0,-0.7358911802474086,1,gan
15.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,19.0,0.0,4.0,-1.885639755072174,1,original
0.0,1.0,1.0,1.0,0.0,6.0,38.0,0.0,34.0,0.0,1351.0,-0.7358971694002712,1,gan
14.0,1.0,1.0,0.0,0.0,6.0,8.0,14.0,40.0,0.0,285.0,1.3587215160471378,1,gan
32.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,117.0,-1.0497723751733363,1,smote
7.0,1.0,1.0,1.0,0.0,22.0,5.0,14.0,31.0,0.0,1803.0,-0.7358929842091142,1,gan
2.0,0.0,1.0,1.0,0.0,7.0,9.0,14.0,31.0,0.0,4.0,1.3539670667343768,1,gan
34.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,12.0,0.0,24.0,0.5357910147661752,1,borderline smote
44.0,0.0,1.0,0.0,0.0,23.0,5.0,0.0,42.0,0.0,4.0,1.365884903663063,1,gan
9.0,1.0,1.0,1.0,0.0,20.0,45.0,14.0,40.0,0.0,24.0,-0.7358995506297225,1,gan
15.0,0.0,1.0,1.0,0.0,6.0,5.0,1.0,18.0,0.0,3.0,-0.7358971694002712,1,gan
9.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,10.0,0.0,34.0,0.5212893952454406,1,borderline smote
4.0,1.0,1.0,1.0,0.0,13.0,12.0,0.0,18.0,0.0,30.0,1.352403897837257,1,gan
8.0,0.0,1.0,0.0,0.0,15.0,3.0,2.0,22.0,0.0,6.0,1.342607519874334,1,gan
35.0,1.0,1.0,0.0,0.0,15.0,41.0,0.0,38.0,0.0,3.0,-0.7358924790998366,1,gan
34.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,8.0,0.0,1232.0,0.5126107520069355,1,borderline smote
40.0,1.0,1.0,0.0,0.0,0.0,41.0,14.0,31.0,0.0,42.0,-0.7358941387446057,1,gan
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,220.0,0.5246459736524127,1,borderline smote
3.0,1.0,1.0,0.0,0.0,17.0,17.0,0.0,17.0,0.0,4.0,-1.885640534366269,1,smote
35.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,7.0,-0.2108522745730361,1,borderline smote
27.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,11.0,0.0,22.0,-0.7416682630809416,1,borderline smote
31.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,9.0,0.0,2.0,-0.688712519674842,1,smote
24.0,0.0,1.0,1.0,0.0,10.0,6.0,1.0,33.0,0.0,1.0,1.342607519874334,1,gan
16.0,1.0,1.0,0.0,0.0,4.0,11.0,1.0,7.0,0.0,17.0,0.5134195364470887,1,borderline smote
43.0,1.0,1.0,0.0,0.0,0.0,23.0,2.0,9.0,0.0,30.0,-0.7358993341543179,1,gan
2.0,1.0,1.0,0.0,1.0,10.0,6.0,0.0,42.0,0.0,10.0,1.365884903663063,1,gan
4.0,0.0,1.0,1.0,0.0,25.0,14.0,2.0,22.0,0.0,87.0,-0.7359004165313412,1,gan
18.0,0.0,1.0,1.0,0.0,9.0,34.0,0.0,10.0,0.0,3.0,1.3587215160471378,1,gan
36.0,1.0,1.0,0.0,0.0,2.0,6.0,3.0,8.0,0.0,1397.0,0.5144379161534209,1,borderline smote
0.0,1.0,1.0,1.0,1.0,11.0,31.0,2.0,18.0,0.0,30.0,-0.7358934171599235,1,gan
3.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,32.0,0.0,30.0,-0.7358941387446057,1,gan
23.0,1.0,1.0,1.0,1.0,20.0,34.0,2.0,17.0,0.0,1803.0,1.367716718537378,1,gan
35.0,0.0,1.0,1.0,0.0,17.0,18.0,1.0,11.0,0.0,285.0,1.3524002177553776,1,gan
12.0,0.0,1.0,0.0,0.0,0.0,45.0,2.0,34.0,0.0,8.0,-0.7358999835805318,1,gan
3.0,1.0,1.0,0.0,1.0,1.0,21.0,0.0,17.0,0.0,1.0,-0.7358968807663983,1,gan
17.0,0.0,1.0,0.0,0.0,18.0,32.0,14.0,44.0,0.0,9.0,-0.7358986125696356,1,gan
30.0,1.0,1.0,0.0,0.0,14.0,14.0,14.0,8.0,0.0,1803.0,0.5404084877786577,1,original
13.0,0.0,1.0,0.0,0.0,6.0,2.0,14.0,42.0,0.0,21.0,-0.7358913967228132,1,gan
11.0,1.0,1.0,0.0,0.0,4.0,35.0,0.0,35.0,0.0,3.0,-1.8856354277023948,1,original
5.0,1.0,1.0,0.0,0.0,1.0,31.0,0.0,12.0,0.0,14.0,-0.7358995506297225,1,gan
2.0,0.0,1.0,0.0,1.0,15.0,43.0,1.0,23.0,0.0,21.0,-0.735892262624432,1,gan
16.0,1.0,1.0,0.0,0.0,18.0,13.0,0.0,20.0,0.0,42.0,1.3427540737232957,1,gan
40.0,1.0,1.0,1.0,1.0,11.0,20.0,2.0,45.0,0.0,24.0,-0.7358943552200105,1,gan
40.0,0.0,1.0,1.0,1.0,15.0,31.0,1.0,36.0,0.0,3.0,-0.7358929842091142,1,gan
27.0,1.0,1.0,0.0,0.0,6.0,37.0,0.0,40.0,0.0,24.0,-0.7358936336353282,1,gan
37.0,1.0,1.0,0.0,1.0,17.0,20.0,1.0,19.0,0.0,6.0,-0.7358976745095487,1,gan
15.0,0.0,1.0,0.0,0.0,22.0,12.0,14.0,12.0,0.0,3.0,-0.7358932006845188,1,gan
15.0,1.0,1.0,0.0,1.0,7.0,34.0,14.0,40.0,0.0,24.0,-0.7358968807663983,1,gan
7.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,12.0,0.0,87.0,1.365884903663063,1,gan
