user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
34.0,1.0,1.0,0.0,0.0,18.0,18.0,0.0,18.0,0.0,5.0,-1.8856399900027447,1,smote
29.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,8.0,0.0,1034.0,0.514602821392933,1,smote
29.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,635.0,0.5175567815123432,1,smote
35.0,1.0,1.0,0.0,0.0,4.0,8.0,5.0,8.0,0.0,1480.0,0.5196980497488125,1,smote
35.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,10.0,0.0,213.0,-0.1524691558332634,1,smote
15.0,1.0,1.0,0.0,0.0,2.0,33.0,0.0,33.0,0.0,3.0,-1.88563582662735,1,smote
28.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,23.0,-1.1459227305486546,1,smote
34.0,1.0,1.0,0.0,0.0,5.0,9.0,6.0,9.0,0.0,874.0,0.5227000643157317,1,smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,449.0,0.520787703447506,1,smote
27.0,1.0,1.0,0.0,0.0,9.0,11.0,9.0,8.0,0.0,1204.0,0.5344462332750479,1,smote
39.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,10.0,0.0,8.0,0.5327046046331111,1,smote
1.0,1.0,1.0,0.0,0.0,13.0,13.0,0.0,13.0,0.0,3.0,-1.885641484701656,1,smote
30.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,10.0,0.0,160.0,0.5169495672684633,1,smote
37.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,17.0,0.0,89.0,0.5243795437319023,1,smote
39.0,1.0,1.0,0.0,0.0,12.0,43.0,0.0,43.0,0.0,8.0,-1.8856325995299572,1,smote
26.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,9.0,0.0,284.0,0.5205683840725834,1,smote
37.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,785.0,0.5173035428675951,1,smote
24.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,3.0,-1.8856424150290148,1,smote
25.0,1.0,1.0,0.0,0.0,4.0,9.0,4.0,9.0,0.0,561.0,0.5280402295379718,1,smote
13.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,9.0,0.0,13.0,0.5161641048958405,1,smote
21.0,1.0,1.0,0.0,0.0,5.0,36.0,0.0,36.0,0.0,3.0,-1.8856350877778767,1,smote
37.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,13.0,0.0,12.0,0.5382993171485232,1,smote
7.0,1.0,1.0,0.0,0.0,9.0,40.0,0.0,40.0,0.0,3.0,-1.8856338885629125,1,smote
35.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,9.0,0.0,1.0,-0.0162969315049885,1,smote
21.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,10.0,0.0,666.0,0.5182830745555518,1,smote
26.0,1.0,1.0,0.0,0.0,6.0,10.0,7.0,9.0,0.0,901.0,0.5314337416712653,1,smote
21.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,19.0,0.0,3.0,-1.8856396983786052,1,smote
32.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,117.0,-1.0497723751733363,1,smote
31.0,1.0,1.0,0.0,0.0,11.0,12.0,11.0,8.0,0.0,1516.0,0.5349438427092238,1,smote
19.0,1.0,1.0,0.0,0.0,8.0,12.0,1.0,9.0,0.0,9.0,-0.540113693546902,1,smote
29.0,1.0,1.0,0.0,0.0,13.0,44.0,0.0,44.0,0.0,7.0,-1.885632291620336,1,smote
11.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,38.0,0.0623314629026242,1,smote
35.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,13.0,0.0,21.0,-0.1367914516985549,1,smote
30.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,15.0,0.0,6.0,0.5178089563750011,1,smote
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,231.0,0.5247509061974411,1,smote
17.0,1.0,1.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,3.0,-1.885641842296084,1,smote
24.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,193.0,0.5243809429441221,1,smote
27.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,21.0,0.0,3.0,-1.8856389029578835,1,smote
4.0,1.0,1.0,0.0,0.0,8.0,9.0,0.0,14.0,0.0,5.0,-0.6871801452076167,1,smote
44.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,21.0,0.0,4.0,-1.8856389327270864,1,smote
41.0,1.0,1.0,0.0,0.0,7.0,38.0,0.0,38.0,0.0,3.0,-1.885634423758667,1,smote
25.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,10.0,0.0,27.0,-0.0824145285045414,1,smote
37.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,7.0,0.0,0.0,0.5238376425437616,1,smote
37.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,15.0,0.0,147.0,0.5205218849583623,1,smote
6.0,1.0,1.0,0.0,0.0,17.0,17.0,0.0,17.0,0.0,4.0,-1.8856403652471123,1,smote
34.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,16.0,0.0,78.0,0.524271836841325,1,smote
31.0,1.0,1.0,0.0,0.0,10.0,12.0,11.0,8.0,0.0,1465.0,0.5339766137383013,1,smote
11.0,1.0,1.0,0.0,0.0,1.0,32.0,0.0,32.0,0.0,3.0,-1.8856360503590643,1,smote
18.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,15.0,0.5113297347034566,1,smote
26.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,16.0,-1.2865717690619085,1,smote
12.0,1.0,1.0,0.0,0.0,4.0,35.0,0.0,35.0,0.0,3.0,-1.8856353849456955,1,smote
21.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,24.0,0.0,3.0,-1.885638323037965,1,smote
36.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,9.0,0.0,9.0,0.5346281928757819,1,smote
12.0,1.0,1.0,0.0,0.0,11.0,42.0,0.0,42.0,0.0,3.0,-1.8856333340332347,1,smote
32.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,7.0,0.0,4.0,-1.4039685467228231,1,smote
30.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,10.0,0.0,5.0,0.5119358823596306,1,smote
37.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,10.0,0.0,283.0,0.5115893472161072,1,smote
30.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,26.0,0.5310998422393896,1,smote
37.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,3.0,0.5358102336016447,1,smote
21.0,1.0,1.0,0.0,0.0,2.0,9.0,1.0,8.0,0.0,22.0,0.5175186032106073,1,smote
6.0,1.0,1.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,3.0,-1.885636411250178,1,smote
34.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,22.0,0.0,3.0,-1.8856386968627767,1,smote
2.0,1.0,1.0,0.0,0.0,16.0,16.0,0.0,16.0,0.0,3.0,-1.8856408325827327,1,smote
