user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
2,1,1,0,0,16,16,0,16,0,3,-1.8856406982301297,1,smote
27,1,1,0,0,9,11,9,8,0,1204,0.5344462332750479,1,smote
21,1,1,0,0,1,4,0,10,0,666,0.5182830745555518,1,smote
37,0,1,1,1,0,7,1,10,0,283,0.5115893472161072,1,smote
31,1,1,0,0,11,12,11,8,0,1516,0.5349438427092238,1,smote
39,0,1,0,1,0,2,0,10,0,8,0.5302626840730797,1,smote
14,1,1,0,0,4,35,0,35,0,3,-1.885635336930091,1,smote
26,1,1,0,0,6,10,7,9,0,901,0.5314337416712653,1,smote
30,1,1,0,0,14,14,14,8,0,1803,0.5404084877786577,1,original
37,1,1,1,1,0,5,0,15,0,147,0.5205218849583623,1,smote
25,1,1,0,0,4,9,4,9,0,561,0.5280402295379718,1,smote
37,1,1,0,0,1,6,2,8,0,1351,0.5114264279958498,1,original
35,0,1,0,1,0,7,0,12,0,24,0.5359543408470848,1,smote
32,1,1,0,0,18,18,0,18,0,4,-1.8856398274507489,1,smote
29,1,1,0,0,1,5,1,8,0,1034,0.514602821392933,1,smote
37,1,1,0,0,0,5,1,12,0,785,0.5173035428675951,1,smote
37,1,1,0,0,0,5,0,15,0,449,0.520787703447506,1,smote
35,1,1,0,1,0,7,1,10,0,213,-0.1524691558332634,1,smote
37,1,1,1,1,0,5,0,17,0,89,0.5243795437319023,1,smote
31,1,1,0,0,13,44,0,44,0,7,-1.885632184389018,1,smote
18,1,1,0,1,0,5,1,7,0,16,0.4298708264337257,1,smote
35,0,1,0,0,1,7,0,9,0,1,-0.0162969315049885,1,smote
21,1,1,0,0,12,12,0,12,0,3,-1.885642001975713,1,original
31,1,1,0,0,10,12,11,8,0,1465,0.5339766137383013,1,smote
41,1,1,0,0,9,40,0,40,0,3,-1.8856341349150447,1,smote
24,1,1,0,1,0,7,0,10,0,29,0.3484248164845578,1,smote
6,1,1,0,0,11,42,0,42,0,3,-1.8856333988565404,1,smote
8,1,1,0,0,1,4,0,12,0,9,0.5226796587955111,1,smote
18,1,1,0,0,21,21,0,21,0,3,-1.885639032796228,1,smote
28,1,1,0,0,8,8,0,8,0,3,-1.885642876910577,1,smote
37,0,1,1,1,0,8,0,12,0,11,0.5382983928349051,1,smote
29,1,1,0,0,0,6,1,9,0,635,0.5175567815123432,1,smote
34,1,1,0,0,5,9,6,9,0,874,0.5227000643157317,1,smote
32,1,1,0,1,0,7,0,11,0,117,-1.0497723751733363,1,smote
0,1,1,0,0,11,11,0,11,0,3,-1.8856421080220296,1,smote
7,1,1,0,0,1,3,0,12,0,42,0.524543351545129,1,original
30,1,1,1,1,0,8,2,11,0,6,0.5114506446228821,1,original
20,1,1,0,0,5,36,0,36,0,3,-1.885635155848832,1,smote
30,1,1,0,1,0,8,0,12,0,19,-1.952873553626196,1,smote
19,1,1,0,0,8,12,1,9,0,8,-0.5926975218302972,1,smote
6,1,1,0,0,0,31,0,31,0,3,-1.885636411250178,1,smote
24,1,1,0,0,1,7,2,9,0,193,0.5243809429441221,1,smote
44,1,1,0,0,21,21,0,21,0,4,-1.8856389327270864,1,smote
12,1,1,0,0,17,17,0,17,0,3,-1.885640094185928,1,smote
24,1,1,0,0,1,7,2,9,0,231,0.5247509061974411,1,smote
35,1,1,0,0,4,8,5,8,0,1480,0.5196980497488125,1,smote
27,1,1,0,0,22,22,0,22,0,3,-1.885638863932584,1,smote
30,1,1,0,1,0,7,1,10,0,160,0.5169495672684633,1,smote
11,1,1,0,0,3,34,0,34,0,3,-1.8856357031658992,1,smote
37,0,1,1,1,0,9,0,14,0,17,0.5382991508191475,1,smote
31,1,1,0,0,4,7,0,8,0,3,-1.173751809728475,1,smote
