is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target,source
0,1,0,0,1,4,0,11,0,9,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,7,0,11,0,18,1,smote
0,1,0,1,0,6,0,10,0,13,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,1,0,7,0,11,0,16,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
0,1,0,0,0,5,0,9,0,9,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,1,0,5,1,8,0,15,1,smote
1,1,0,1,0,6,0,16,0,16,1,smote
0,1,0,0,1,4,0,11,0,9,1,smote
1,1,0,1,0,6,1,9,0,18,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
0,1,0,1,0,6,0,10,0,21,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,1,0,7,0,16,0,9,1,smote
1,1,0,1,0,6,0,9,0,20,1,smote
0,1,1,1,0,8,0,16,0,10,1,smote
0,1,0,0,0,5,0,10,0,9,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,6,0,14,0,14,1,smote
1,1,0,0,1,4,0,13,0,8,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,10,10,0,10,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,1,0,6,0,17,0,15,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,7,0,10,0,21,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
0,1,0,1,0,8,0,13,0,16,1,smote
0,1,1,1,0,8,0,14,0,13,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
0,1,0,1,0,7,0,11,0,14,1,smote
1,1,0,0,10,10,0,10,0,3,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,13,13,0,13,0,3,1,smote
1,1,0,0,5,13,2,7,0,11,1,smote
1,1,0,0,8,8,0,8,0,3,1,borderline smote
0,1,0,0,1,7,0,8,0,10,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
0,1,1,1,0,5,0,8,0,12,1,borderline smote
0,1,0,0,0,6,0,13,0,11,1,borderline smote
1,1,0,1,0,7,0,11,0,22,1,borderline smote
0,1,0,0,4,11,1,7,0,13,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,0,6,7,0,7,0,3,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,1,0,5,1,7,0,18,1,borderline smote
1,1,0,1,0,6,1,8,0,17,1,borderline smote
1,1,0,0,0,5,2,7,0,15,1,borderline smote
0,1,1,1,0,7,0,11,0,11,1,borderline smote
1,1,0,1,0,6,0,9,0,19,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,1,0,5,1,8,0,21,1,borderline smote
0,1,0,1,0,6,0,9,0,21,1,borderline smote
1,1,0,0,0,6,0,19,0,6,1,borderline smote
1,1,0,1,0,5,1,7,0,15,1,borderline smote
1,1,0,1,0,6,0,9,0,21,1,borderline smote
1,1,0,0,9,9,0,9,0,3,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,0,3,10,2,7,0,14,1,borderline smote
1,1,0,0,0,5,0,16,0,12,1,borderline smote
0,1,1,1,0,6,0,9,0,10,1,borderline smote
0,1,0,0,1,8,0,8,0,11,1,borderline smote
0,1,1,1,0,5,1,7,0,15,1,borderline smote
1,1,0,0,8,8,0,8,0,3,1,borderline smote
0,1,0,0,0,7,0,8,0,10,1,borderline smote
1,1,0,1,0,6,0,10,0,15,1,borderline smote
0,1,0,1,0,6,0,10,0,22,1,borderline smote
0,1,0,0,1,4,0,12,0,9,1,borderline smote
1,1,0,0,1,4,0,14,0,8,1,borderline smote
1,1,0,0,0,5,0,17,0,7,1,borderline smote
0,1,0,0,0,8,0,13,0,13,1,borderline smote
1,1,0,1,0,5,1,8,0,20,1,borderline smote
0,1,0,1,0,6,0,10,0,14,1,borderline smote
1,1,0,0,0,5,0,18,0,13,1,borderline smote
0,1,0,0,0,7,0,13,0,12,1,borderline smote
1,1,0,1,0,5,1,8,0,20,1,borderline smote
1,1,0,0,0,6,0,18,0,6,1,borderline smote
0,1,1,1,0,6,0,9,0,10,1,borderline smote
1,1,0,1,0,6,0,10,0,17,1,borderline smote
0,1,0,0,0,6,0,8,0,10,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,0,8,8,0,8,0,3,1,borderline smote
1,1,0,0,10,2,0,19,0,10,1,gan
1,1,0,1,9,4,0,7,0,2,1,gan
0,1,0,1,4,20,0,9,0,8,1,gan
1,1,1,0,14,7,1,23,0,15,1,gan
0,1,0,1,3,20,1,8,0,6,1,gan
1,1,0,0,14,7,2,25,0,9,1,gan
1,1,0,0,4,23,0,9,0,14,1,gan
1,1,0,0,2,6,2,16,0,21,1,gan
1,1,0,1,9,12,1,19,0,15,1,gan
0,1,1,1,8,23,1,16,0,10,1,gan
1,1,0,1,12,6,2,7,0,16,1,gan
0,1,1,0,16,8,14,12,0,8,1,gan
1,1,0,0,18,6,2,10,0,9,1,gan
0,1,0,1,2,13,0,13,0,14,1,gan
