is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target
1,1,0,1,9,42,0,12,0,16,1
1,1,0,0,0,3,0,12,0,38,1
1,1,0,0,12,12,0,12,0,3,1
1,1,0,0,12,12,0,12,0,3,1
1,1,0,0,0,7,0,12,0,25,1
1,1,0,0,12,12,0,12,0,3,1
1,1,0,0,24,32,0,12,0,4,1
1,1,0,0,12,12,0,12,0,3,1
1,1,0,0,0,3,0,12,0,49,1
0,1,0,0,0,5,0,12,0,32,1
1,1,0,0,11,11,0,11,0,3,1
1,1,0,0,11,11,0,11,0,3,1
0,1,1,1,0,7,0,12,0,24,1
0,1,0,0,0,7,0,12,0,24,1
1,1,0,0,0,3,0,11,0,39,1
1,1,0,0,1,4,0,13,0,8,1
1,1,0,0,16,34,0,13,0,8,1
1,1,0,0,13,13,0,13,0,3,1
1,1,0,0,11,11,0,11,0,3,1
0,1,0,1,0,7,0,12,0,29,1
1,1,0,1,0,7,0,11,0,22,1
0,1,1,1,0,5,0,12,0,70,1
0,1,1,1,0,7,0,12,0,29,1
1,1,0,1,0,7,0,11,0,16,1
1,1,0,1,0,7,0,11,0,18,1
1,1,0,0,11,11,0,11,0,3,1
0,1,0,0,0,4,0,12,0,37,1
0,1,0,0,1,4,0,12,0,9,1
0,1,0,1,0,7,0,12,0,23,1
1,1,0,0,0,3,0,11,0,41,1
1,1,0,0,0,2,0,11,0,43,1
1,1,0,0,14,14,0,14,0,3,1
0,1,1,0,17,24,0,13,0,30,1
0,1,0,1,0,7,0,11,0,14,1
1,1,0,0,10,10,0,10,0,3,1
0,1,0,1,0,8,0,13,0,16,1
1,1,0,0,0,2,0,10,0,67,1
1,1,0,1,0,6,0,10,0,17,1
1,1,0,1,0,3,0,10,0,61,1
1,1,0,0,0,6,0,10,0,31,1
0,1,0,0,0,6,0,13,0,11,1
1,1,0,1,0,7,0,10,0,21,1
1,1,0,0,10,10,0,10,0,3,1
0,1,0,1,0,5,0,11,0,42,1
1,1,0,0,14,14,0,14,0,3,1
1,1,0,0,14,14,0,14,0,3,1
0,1,0,0,0,3,0,11,0,43,1
0,1,0,1,0,5,0,11,0,44,1
1,1,0,1,0,2,0,10,0,70,1
0,1,1,1,0,7,0,11,0,11,1
1,1,0,1,0,4,0,10,0,50,1
1,1,0,1,0,5,0,10,0,39,1
1,1,0,1,0,6,0,10,0,31,1
1,1,0,0,1,4,0,14,0,8,1
1,1,0,1,0,6,0,10,0,15,1
1,1,0,0,0,4,0,10,0,28,1
1,1,0,0,14,14,0,14,0,3,1
1,1,0,1,23,23,1,11,0,42,1
1,1,0,1,0,2,0,10,0,112,1
1,1,0,1,0,6,0,14,0,14,1
0,1,0,0,1,4,0,11,0,9,1
1,1,0,0,0,4,0,10,0,30,1
0,1,0,0,1,4,0,11,0,9,1
0,1,0,1,2,13,0,13,0,14,1
0,1,0,0,0,8,0,13,0,13,1
0,1,0,0,0,7,0,13,0,12,1
1,1,0,0,0,2,0,10,0,65,1
0,1,0,1,0,7,0,11,0,27,1
0,1,0,1,0,6,0,10,0,22,1
1,1,0,0,0,2,0,9,0,214,1
1,1,0,1,0,6,0,9,0,21,1
0,1,0,1,0,6,0,10,0,14,1
1,1,0,0,0,3,0,9,0,707,1
1,1,0,1,0,6,0,9,0,19,1
1,1,0,0,0,4,0,15,0,71,1
1,1,0,0,4,23,0,9,0,14,1
1,1,0,1,0,5,0,15,0,68,1
0,1,0,0,0,3,0,10,0,45,1
0,1,1,1,0,8,0,14,0,13,1
1,1,0,0,9,9,0,9,0,3,1
1,1,0,0,9,9,0,9,0,3,1
0,1,0,1,13,17,0,14,0,21,1
1,1,0,1,0,6,0,9,0,20,1
1,1,0,0,9,9,0,9,0,3,1
0,1,1,1,0,5,0,10,0,63,1
