user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
20,1,1,0,0,4,35,0,35,0,3,-1.8856351952461219,1,smote
18,1,1,0,0,4,35,0,35,0,3,-1.8856353021042267,1,smote
39,1,1,0,0,12,43,0,43,0,8,-1.885632598812996,1,smote
14,1,1,0,0,4,35,0,35,0,3,-1.8856353397461376,1,smote
30,0,1,0,1,0,8,0,12,0,21,-1.9515775843795211,1,smote
31,1,1,0,0,4,7,0,8,0,4,-1.040502597212582,1,smote
37,0,1,1,1,0,7,0,11,0,19,0.5382972623004926,1,smote
8,1,1,0,0,1,4,0,12,0,10,0.5223656869600227,1,smote
19,1,1,0,0,4,35,0,35,0,3,-1.8856353284062994,1,smote
40,1,1,0,0,20,20,0,20,0,4,-1.8856394448704608,1,smote
37,1,1,1,1,0,5,0,15,0,147,0.5205218849583623,1,smote
35,1,1,0,1,0,7,1,10,0,213,-0.15246915583326348,1,smote
33,0,1,0,0,5,6,0,7,0,4,-1.293897859828257,1,smote
7,1,1,0,0,9,40,0,40,0,3,-1.8856338885629125,1,smote
23,1,1,0,0,10,10,0,10,0,3,-1.8856422750546569,1,smote
19,1,1,0,0,8,12,0,9,0,7,-0.8262968721567443,1,smote
32,0,1,0,1,0,8,0,13,0,19,-0.9468478461162044,1,smote
22,1,1,0,0,5,36,0,36,0,3,-1.8856349985936847,1,smote
0,1,1,0,0,12,12,0,12,0,3,-1.8856418290217045,1,smote
2,1,1,0,0,15,15,0,15,0,3,-1.8856410259763692,1,smote
20,1,1,0,0,5,36,0,36,0,3,-1.885635155848832,1,smote
37,0,1,1,1,0,6,0,9,0,7,0.5382958398658237,1,smote
11,1,1,0,0,1,32,0,32,0,3,-1.8856361366529475,1,smote
31,1,1,0,0,7,7,0,7,0,3,-1.8856432474349503,1,smote
6,1,1,0,0,17,17,0,17,0,4,-1.8856403652471125,1,smote
10,1,1,0,0,4,35,0,35,0,3,-1.8856353615359538,1,smote
21,1,1,0,0,19,19,0,19,0,3,-1.8856396983786055,1,smote
