user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,target,source
37,1,1,0,0,0,5,1,11,0,939,0.51569636013361,1,smote
32,1,1,1,1,0,6,1,9,0,3,0.5158402439483225,1,smote
28,1,1,0,0,8,11,0,9,0,3,-1.2351475989648697,1,smote
30,1,1,0,0,12,12,0,12,0,3,-1.885641874189349,1,smote
18,1,1,0,0,1,7,2,7,0,15,0.5114230455712526,1,smote
31,0,1,0,1,0,8,0,12,0,21,-1.2530177964854947,1,smote
37,0,1,1,1,0,5,0,8,0,159,0.5260187339766459,1,smote
12,1,1,0,0,1,32,0,32,0,3,-1.8856362247063199,1,smote
37,1,1,0,0,0,5,0,16,0,337,0.5219551932078101,1,smote
39,1,1,0,1,0,2,0,10,0,7,0.529491044785619,1,smote
42,1,1,0,0,11,42,0,42,0,3,-1.885633587070841,1,smote
22,1,1,0,0,9,40,0,40,0,4,-1.8856338119017604,1,smote
27,1,1,0,1,0,7,0,11,0,20,-1.4632011484576037,1,smote
20,1,1,0,0,12,12,0,12,0,3,-1.8856419960016524,1,smote
32,1,1,0,0,12,43,0,43,0,7,-1.8856324393017856,1,smote
37,0,1,1,1,0,9,0,14,0,16,0.5382994846278782,1,smote
38,1,1,0,0,24,33,0,33,0,3,-1.8856359022378024,1,smote
12,1,1,0,0,0,2,0,9,0,363,0.521540426437933,1,smote
37,1,1,0,1,0,5,0,18,0,13,0.524958420490782,1,smote
14,1,1,0,0,8,39,0,39,0,3,-1.885634185697103,1,smote
4,1,1,0,0,27,27,0,27,0,4,-1.8856374234828037,1,smote
28,1,1,0,0,5,13,2,7,0,7,0.5116200926580206,1,smote
10,1,1,0,0,1,32,0,32,0,3,-1.8856361983246692,1,smote
37,1,1,0,0,9,40,0,40,0,4,-1.8856337700172847,1,smote
9,1,1,0,0,7,38,0,38,0,3,-1.8856344675124719,1,smote
30,1,1,0,0,6,11,1,7,0,5,-0.23388638038788712,1,smote
14,1,1,0,0,7,28,0,28,0,3,-1.885637227992204,1,smote
13,1,1,0,1,0,2,0,12,0,74,0.5245429616114463,1,smote
16,1,1,0,1,0,3,0,10,0,147,0.5197955883893421,1,smote
13,1,1,0,0,1,32,0,32,0,3,-1.8856360383909518,1,smote
5,1,1,0,0,27,27,0,27,0,3,-1.8856374480723492,1,smote
19,1,1,0,0,12,12,0,12,0,3,-1.8856419621658265,1,smote
20,1,1,0,0,10,41,0,41,0,4,-1.8856334757560806,1,smote
6,1,1,0,0,0,31,0,31,0,3,-1.8856364498234042,1,smote
27,1,1,0,0,8,39,0,39,0,3,-1.8856343517734355,1,smote
23,1,1,0,0,22,22,0,22,0,3,-1.8856388568483076,1,smote
8,1,1,0,0,17,17,0,17,0,4,-1.8856401763286428,1,smote
35,1,1,0,0,10,41,0,41,0,5,-1.885633368056077,1,smote
32,1,1,0,0,3,6,0,7,0,1,-0.5069400414808731,1,smote
3,1,1,0,0,17,17,0,17,0,3,-1.8856405174522717,1,smote
33,1,1,0,1,0,6,1,10,0,261,0.5128624129151921,1,smote
0,1,1,0,0,10,10,0,11,0,3,-1.8098920572304753,1,smote
