Dataset,Model,Metric,Best Score,Mean Score,Best Params
DT,DT,precision,0.9833333333333334,0.9708333333333334,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 4}"
DT,DT,accuracy,0.9744736842105264,0.9669736842105263,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 4}"
DT,DT,f1-score,0.9373376623376624,0.9206709956709958,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 4}"
DT,DT,roc_auc,0.9656666666666667,0.9586666666666666,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 4}"
DT,RF,precision,0.93,0.92125,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
DT,RF,accuracy,0.9444736842105262,0.9380263157894738,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
DT,RF,f1-score,0.8701154401154401,0.8512463924963927,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
DT,RF,roc_auc,0.9873333333333333,0.985375,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
DT,XGB,precision,0.9666666666666668,0.9516666666666669,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT,XGB,accuracy,0.9794736842105264,0.9716447368421054,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT,XGB,f1-score,0.9532467532467532,0.9326118326118327,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT,XGB,roc_auc,0.9960000000000001,0.9948333333333335,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT,XGBRF,precision,0.9466666666666669,0.9458333333333334,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT,XGBRF,accuracy,0.9689473684210528,0.9676973684210528,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT,XGBRF,f1-score,0.9230880230880232,0.9203607503607505,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT,XGBRF,roc_auc,0.9960000000000001,0.99475,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_C,DT,precision,0.99375,0.9858981092436975,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_C,DT,accuracy,0.9933333333333334,0.981747311827957,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_C,DT,f1-score,0.9933259176863182,0.981400713093914,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_C,DT,roc_auc,0.9933333333333334,0.9868993055555555,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_C,RF,precision,0.98125,0.9771139705882352,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_C,RF,accuracy,0.9801075268817204,0.9800268817204302,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_C,RF,f1-score,0.9801555299539171,0.9800495093754966,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 8}"
DT_KM_C,RF,roc_auc,1.0,0.9996666666666667,"{'random_state': 0, 'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}"
DT_KM_C,XGB,precision,0.9745833333333334,0.9714583333333333,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_C,XGB,accuracy,0.9833333333333334,0.979247311827957,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_C,XGB,f1-score,0.9836559139784946,0.9794568038561364,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_C,XGB,roc_auc,0.9968888888888887,0.9949444444444444,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
DT_KM_C,XGBRF,precision,0.98125,0.9779166666666668,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
DT_KM_C,XGBRF,accuracy,0.9866666666666667,0.9850000000000001,"{'subsample': 1, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
