DT,DT_KM_C,DT_KM_NN,DT_KM_COS,DT_KM_COS_MAHA,DT_HDBSCAN_NN,DT_HDBSCAN_COS,DT_KM_SCAN_NN,DT_KM_SCAN_COS,DT_KM_SCAN_COS_MAHA,RF,RF_KM_C,RF_KM_NN,RF_KM_COS,RF_KM_COS_MAHA,RF_HDBSCAN_NN,RF_HDBSCAN_COS,RF_KM_SCAN_NN,RF_KM_SCAN_COS,RF_KM_SCAN_COS_MAHA,XGB,XGB_KM_C,XGB_KM_NN,XGB_KM_COS,XGB_KM_COS_MAHA,XGB_HDBSCAN_NN,XGB_HDBSCAN_COS,XGB_KM_SCAN_NN,XGB_KM_SCAN_COS,XGB_KM_SCAN_COS_MAHA,XGBRF,XGBRF_KM_C,XGBRF_KM_NN,XGBRF_KM_COS,XGBRF_KM_COS_MAHA,XGBRF_HDBSCAN_NN,XGBRF_HDBSCAN_COS,XGBRF_KM_SCAN_NN,XGBRF_KM_SCAN_COS,XGBRF_KM_SCAN_COS_MAHA
0.9,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.85,0.9354838709677419,0.9354838709677419,0.967741935483871,0.9354838709677419,0.967741935483871,0.967741935483871,0.8709677419354839,0.967741935483871,0.967741935483871,0.85,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.967741935483871,0.967741935483871,0.9354838709677419,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
1.0,1.0,0.967741935483871,0.9666666666666667,0.967741935483871,1.0,1.0,1.0,0.9333333333333333,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0
1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.9666666666666667
1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9666666666666667,1.0,0.95,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,0.95,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,0.9333333333333333,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667
0.9,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.85,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9,0.9333333333333333,0.9333333333333333,0.9,0.9666666666666667,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0
1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,0.9333333333333333,1.0,1.0,0.9666666666666667,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0
1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9473684210526315,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,0.967741935483871,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,1.0,0.9354838709677419,0.9354838709677419,1.0,0.9354838709677419,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
1.0,0.967741935483871,1.0,0.967741935483871,1.0,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,1.0,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.9354838709677419,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.95,0.9032258064516129,0.967741935483871,0.967741935483871,0.9354838709677419,0.9354838709677419,0.967741935483871,0.967741935483871,0.9354838709677419,0.967741935483871,0.95,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.9354838709677419,0.9354838709677419,0.8709677419354839,0.9354838709677419,0.967741935483871
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667
