Model1,Model2,statistic,pvalue_raw
DT,DT_KM_C,638.5,0.6441769637250886
DT,DT_KM_NN,767.0,0.7991726509119585
DT,DT_KM_COS,586.0,0.4680616396389867
DT,DT_KM_COS_MAHA,702.0,0.5659933148357041
DT,DT_HDBSCAN_NN,805.5,0.6956903588579091
DT,DT_HDBSCAN_COS,390.5,0.09967848893191449
DT,DT_KM_SCAN_NN,295.0,0.030960831200777774
DT,DT_KM_SCAN_COS,843.5,0.7524500528923163
DT,DT_KM_SCAN_COS_MAHA,554.5,0.42075930924146865
DT,RF,64.5,3.666434356514821e-09
DT,RF_KM_C,849.0,0.36808958889436594
DT,RF_KM_NN,788.5,0.7605112994999772
DT,RF_KM_COS,728.0,0.9000177884668775
DT,RF_KM_COS_MAHA,812.0,0.3337368324635117
DT,RF_HDBSCAN_NN,928.5,0.012634074791107201
DT,RF_HDBSCAN_COS,859.0,0.053586237986594475
DT,RF_KM_SCAN_NN,704.5,0.7414187982590351
DT,RF_KM_SCAN_COS,712.5,0.6275010141534049
DT,RF_KM_SCAN_COS_MAHA,672.5,0.5445046729720358
DT,XGB,104.0,0.0021150279668710713
DT,XGB_KM_C,679.5,0.053690822742177916
DT,XGB_KM_NN,856.5,0.8288753958096369
DT,XGB_KM_COS,785.5,0.5852307609392875
DT,XGB_KM_COS_MAHA,717.0,0.09929105587260219
DT,XGB_HDBSCAN_NN,745.5,0.04652575808431455
DT,XGB_HDBSCAN_COS,829.0,0.1088940087291314
DT,XGB_KM_SCAN_NN,684.0,0.9635516519900993
DT,XGB_KM_SCAN_COS,830.5,0.07513766194024388
DT,XGB_KM_SCAN_COS_MAHA,770.0,0.06932928533315134
DT,XGBRF,59.0,0.008340685910356386
DT,XGBRF_KM_C,810.0,0.08394248731340692
DT,XGBRF_KM_NN,813.0,0.12537249980216875
DT,XGBRF_KM_COS,861.5,0.16405069823592167
DT,XGBRF_KM_COS_MAHA,809.5,0.23879351007076255
DT,XGBRF_HDBSCAN_NN,707.0,0.7591160125873355
DT,XGBRF_HDBSCAN_COS,674.0,0.10886589303995774
DT,XGBRF_KM_SCAN_NN,670.5,0.04743192966080267
DT,XGBRF_KM_SCAN_COS,801.5,0.674166090395689
DT,XGBRF_KM_SCAN_COS_MAHA,829.0,0.10715801082295007
DT_KM_C,DT_KM_NN,355.5,0.8263983745393229
DT_KM_C,DT_KM_COS,94.0,0.6758321446911267
DT_KM_C,DT_KM_COS_MAHA,388.0,0.5762202353291492
DT_KM_C,DT_HDBSCAN_NN,577.0,0.7192559655123167
DT_KM_C,DT_HDBSCAN_COS,100.5,0.04978202605027712
