Model1,Model2,statistic,pvalue_raw
DT,DT_KM_C,424.0,0.015559699535639243
DT,DT_KM_NN,525.5,0.025726092948910352
DT,DT_KM_COS,371.0,0.006093238983184499
DT,DT_KM_COS_MAHA,468.0,0.011170759009962963
DT,DT_HDBSCAN_NN,572.0,0.027324383217228965
DT,DT_HDBSCAN_COS,242.0,0.001089735377207733
DT,DT_KM_SCAN_NN,180.0,0.0003956492424616891
DT,DT_KM_SCAN_COS,635.5,0.059094100478597984
DT,DT_KM_SCAN_COS_MAHA,356.5,0.006560402443964195
DT,RF,42.5,1.3064137790301974e-09
DT,RF_KM_C,755.5,0.12056488372159394
DT,RF_KM_NN,563.5,0.03613385267373118
DT,RF_KM_COS,471.0,0.01918925990143382
DT,RF_KM_COS_MAHA,733.5,0.12688444336937116
DT,RF_HDBSCAN_NN,1351.0,0.8434588254454932
DT,RF_HDBSCAN_COS,1090.0,0.6109674689901265
DT,RF_KM_SCAN_NN,525.0,0.039577340256355155
DT,RF_KM_SCAN_COS,533.5,0.04704867867057585
DT,RF_KM_SCAN_COS_MAHA,493.0,0.03138696298143065
DT,XGB,144.5,0.013460437903846382
DT,XGB_KM_C,837.0,0.326482227106792
DT,XGB_KM_NN,638.0,0.0613686962731148
DT,XGB_KM_COS,625.0,0.07301291186124667
DT,XGB_KM_COS_MAHA,778.0,0.16296071717758875
DT,XGB_HDBSCAN_NN,900.0,0.2583330729798011
DT,XGB_HDBSCAN_COS,935.0,0.2749851133347102
DT,XGB_KM_SCAN_NN,428.0,0.01724394444165745
DT,XGB_KM_SCAN_COS,975.0,0.4024190961452816
DT,XGB_KM_SCAN_COS_MAHA,921.0,0.23711409803873096
DT,XGBRF,98.0,0.04681207148409183
DT,XGBRF_KM_C,914.0,0.29760233843265527
DT,XGBRF_KM_NN,882.0,0.2870730097635006
DT,XGBRF_KM_COS,895.0,0.24228730481479677
DT,XGBRF_KM_COS_MAHA,776.0,0.15598832633294185
DT,XGBRF_HDBSCAN_NN,504.0,0.03971293489176563
DT,XGBRF_HDBSCAN_COS,735.5,0.13050272064569332
DT,XGBRF_KM_SCAN_NN,875.0,0.6121220885366907
DT,XGBRF_KM_SCAN_COS,610.0,0.05660520783940387
DT,XGBRF_KM_SCAN_COS_MAHA,920.0,0.3146203677114249
DT_KM_C,DT_KM_NN,370.0,0.9941862122740005
DT_KM_C,DT_KM_COS,84.5,0.44140323239844625
DT_KM_C,DT_KM_COS_MAHA,363.0,0.37838428617726405
DT_KM_C,DT_HDBSCAN_NN,622.5,0.29829708210352346
DT_KM_C,DT_HDBSCAN_COS,104.0,0.06677540819291393
DT_KM_C,DT_KM_SCAN_NN,57.5,0.013116319118489901
DT_KM_C,DT_KM_SCAN_COS,207.5,0.18721845809265414
DT_KM_C,DT_KM_SCAN_COS_MAHA,102.5,0.4328904405765135
DT_KM_C,RF,98.0,9.394598578251624e-13
DT_KM_C,RF_KM_C,197.5,0.0323194352041487
DT_KM_C,RF_KM_NN,211.0,0.31759030500935403
DT_KM_C,RF_KM_COS,203.0,0.5415047804867907
DT_KM_C,RF_KM_COS_MAHA,246.5,0.042994536407449546
DT_KM_C,RF_HDBSCAN_NN,574.5,0.00014200447407305262
DT_KM_C,RF_HDBSCAN_COS,568.5,0.0024920235319783207
DT_KM_C,RF_KM_SCAN_NN,676.0,0.42617953534257624
DT_KM_C,RF_KM_SCAN_COS,668.5,0.39133204051498716
DT_KM_C,RF_KM_SCAN_COS_MAHA,189.0,0.0997817933160819
DT_KM_C,XGB,223.0,1.2127449155271214e-07
DT_KM_C,XGB_KM_C,205.0,0.00012888227382326008
DT_KM_C,XGB_KM_NN,521.5,0.4916944258779776
DT_KM_C,XGB_KM_COS,596.5,0.3951392354351836
DT_KM_C,XGB_KM_COS_MAHA,513.5,0.04736536627578791
DT_KM_C,XGB_HDBSCAN_NN,331.0,0.007970618532979425
DT_KM_C,XGB_HDBSCAN_COS,394.5,0.004241051383577225
DT_KM_C,XGB_KM_SCAN_NN,574.0,0.5372015007812209
DT_KM_C,XGB_KM_SCAN_COS,539.0,0.02138987364807644
DT_KM_C,XGB_KM_SCAN_COS_MAHA,407.5,0.003671778513422375
DT_KM_C,XGBRF,288.0,5.2810783475514254e-05
DT_KM_C,XGBRF_KM_C,420.5,0.1260065367196481
DT_KM_C,XGBRF_KM_NN,358.5,0.16374299758821753
DT_KM_C,XGBRF_KM_COS,490.0,0.42997787570098567
DT_KM_C,XGBRF_KM_COS_MAHA,564.0,0.6264620211764604
DT_KM_C,XGBRF_HDBSCAN_NN,531.0,0.41467245909367556
DT_KM_C,XGBRF_HDBSCAN_COS,433.5,0.004590906396204772
DT_KM_C,XGBRF_KM_SCAN_NN,422.5,0.0007528118581245449
DT_KM_C,XGBRF_KM_SCAN_COS,545.5,0.26753820660645267
DT_KM_C,XGBRF_KM_SCAN_COS_MAHA,450.5,0.22553260827327604
DT_KM_NN,DT_KM_COS,420.0,0.8909876991414927
DT_KM_NN,DT_KM_COS_MAHA,78.5,0.5033473942399067
DT_KM_NN,DT_HDBSCAN_NN,321.0,0.15181961833317578
DT_KM_NN,DT_HDBSCAN_COS,416.0,0.34981717118422273
DT_KM_NN,DT_KM_SCAN_NN,323.0,0.06688602625143215
DT_KM_NN,DT_KM_SCAN_COS,456.5,0.11740599896127003
DT_KM_NN,DT_KM_SCAN_COS_MAHA,386.0,0.7449607961430207
DT_KM_NN,RF,156.0,1.3188172250560104e-12
DT_KM_NN,RF_KM_C,538.0,0.11348411745585496
DT_KM_NN,RF_KM_NN,443.0,0.28158167333071826
DT_KM_NN,RF_KM_COS,454.0,0.46953675861306954
DT_KM_NN,RF_KM_COS_MAHA,553.5,0.09981023491156693
DT_KM_NN,RF_HDBSCAN_NN,186.5,4.099662871164279e-06
DT_KM_NN,RF_HDBSCAN_COS,206.5,0.0001334473187070012
DT_KM_NN,RF_KM_SCAN_NN,172.5,0.08025385251751532
DT_KM_NN,RF_KM_SCAN_COS,214.5,0.14923899550533257
DT_KM_NN,RF_KM_SCAN_COS_MAHA,389.0,0.1443797772811136
DT_KM_NN,XGB,249.0,1.161972008147436e-07
DT_KM_NN,XGB_KM_C,386.0,0.003355726155132144
DT_KM_NN,XGB_KM_NN,587.5,0.3524268098833192
DT_KM_NN,XGB_KM_COS,815.0,0.4570579864754397
DT_KM_NN,XGB_KM_COS_MAHA,678.0,0.05360529879648599
DT_KM_NN,XGB_HDBSCAN_NN,398.5,0.007825869426519786
DT_KM_NN,XGB_HDBSCAN_COS,466.5,0.010647375589291767
DT_KM_NN,XGB_KM_SCAN_NN,751.0,0.6998621057017054
DT_KM_NN,XGB_KM_SCAN_COS,677.0,0.034443083871979314
