Model1,Model2,statistic,pvalue_raw
DT,DT_KM_C,233.0,0.5587773307649863
DT,DT_KM_NN,279.0,0.748717188425581
DT,DT_KM_COS,231.0,0.5337476090857196
DT,DT_KM_COS_MAHA,254.0,0.6311105944430606
DT,DT_HDBSCAN_NN,66.0,0.0486266446382835
DT,DT_HDBSCAN_COS,120.0,0.15635478641466263
DT,DT_KM_SCAN_NN,78.0,0.06691846779013422
DT,DT_KM_SCAN_COS,329.0,0.9494303160373573
DT,DT_KM_SCAN_COS_MAHA,192.0,0.39901370209085585
DT,RF,12.0,0.0007807255067765369
DT,RF_KM_C,348.0,0.7428424522709339
DT,RF_KM_NN,313.0,0.973609076888707
DT,RF_KM_COS,265.0,0.7806238377793551
DT,RF_KM_COS_MAHA,331.5,0.4101340375109599
DT,RF_HDBSCAN_NN,244.0,0.7073255770858797
DT,RF_HDBSCAN_COS,208.0,0.6130915243174055
DT,RF_KM_SCAN_NN,222.0,0.6078942683420263
DT,RF_KM_SCAN_COS,246.5,0.9764511820676368
DT,RF_KM_SCAN_COS_MAHA,284.0,0.8162937682545863
DT,XGB,7.0,0.011605644143271034
DT,XGB_KM_C,356.0,0.32632201433972585
DT,XGB_KM_NN,306.0,0.8811286564991694
DT,XGB_KM_COS,378.0,0.4868605006915854
DT,XGB_KM_COS_MAHA,411.0,0.3228154782686473
DT,XGB_HDBSCAN_NN,377.0,0.23848595778701875
DT,XGB_HDBSCAN_COS,359.0,0.6628573628831448
DT,XGB_KM_SCAN_NN,331.0,0.9747310068559372
DT,XGB_KM_SCAN_COS,356.0,0.32234740859411204
DT,XGB_KM_SCAN_COS_MAHA,397.0,0.4867090372382813
DT,XGBRF,8.0,0.00023195073318064735
DT,XGBRF_KM_C,446.0,0.023731790422214984
DT,XGBRF_KM_NN,436.0,0.02906126517582671
DT,XGBRF_KM_COS,466.0,0.014537061732300306
DT,XGBRF_KM_COS_MAHA,450.0,0.0254165753933554
DT,XGBRF_HDBSCAN_NN,304.0,0.8556156472260468
DT,XGBRF_HDBSCAN_COS,258.0,0.6854150499830944
DT,XGBRF_KM_SCAN_NN,366.0,0.5515644638057688
DT,XGBRF_KM_SCAN_COS,344.0,0.9084136761403161
DT,XGBRF_KM_SCAN_COS_MAHA,476.0,0.07060025141461634
DT_KM_C,DT_KM_NN,159.5,0.9347411652317483
DT_KM_C,DT_KM_COS,26.0,0.8772900142999365
DT_KM_C,DT_KM_COS_MAHA,149.5,0.7219424126425591
DT_KM_C,DT_HDBSCAN_NN,86.0,0.006387314042283314
DT_KM_C,DT_HDBSCAN_COS,31.0,0.05064360561840344
DT_KM_C,DT_KM_SCAN_NN,6.0,0.0040878240351843965
DT_KM_C,DT_KM_SCAN_COS,21.5,0.09028747694686483
DT_KM_C,DT_KM_SCAN_COS_MAHA,42.0,0.500360859362813
DT_KM_C,RF,153.0,0.0005322648702321403
DT_KM_C,RF_KM_C,89.5,0.1358035724362692
DT_KM_C,RF_KM_NN,84.5,0.27262195171405157
DT_KM_C,RF_KM_COS,86.0,0.47291262336912243
DT_KM_C,RF_KM_COS_MAHA,95.0,0.03629927821261549
DT_KM_C,RF_HDBSCAN_NN,339.5,0.6477946361694151
DT_KM_C,RF_HDBSCAN_COS,348.5,0.9632797911890211
DT_KM_C,RF_KM_SCAN_NN,385.5,0.9484563379608614
DT_KM_C,RF_KM_SCAN_COS,371.0,0.7868293865648854
DT_KM_C,RF_KM_SCAN_COS_MAHA,82.5,0.39343923661298164
DT_KM_C,XGB,210.0,0.051868486386379156
DT_KM_C,XGB_KM_C,148.5,0.009418901294398383
DT_KM_C,XGB_KM_NN,107.5,0.3444424467848901
DT_KM_C,XGB_KM_COS,231.0,0.03676888717703208
DT_KM_C,XGB_KM_COS_MAHA,219.5,0.005358642612641281
DT_KM_C,XGB_HDBSCAN_NN,120.5,0.006053443731523542
DT_KM_C,XGB_HDBSCAN_COS,179.5,0.03911965667598879
DT_KM_C,XGB_KM_SCAN_NN,158.5,0.19626592407131804
DT_KM_C,XGB_KM_SCAN_COS,163.5,0.019530285358607485
DT_KM_C,XGB_KM_SCAN_COS_MAHA,194.0,0.013931505762679588
DT_KM_C,XGBRF,173.0,0.00047565648110664923
DT_KM_C,XGBRF_KM_C,56.0,3.4089799779458567e-06
DT_KM_C,XGBRF_KM_NN,42.5,5.633519423879545e-06
DT_KM_C,XGBRF_KM_COS,46.0,1.541650354556414e-06
DT_KM_C,XGBRF_KM_COS_MAHA,101.0,2.2283126471084754e-05
DT_KM_C,XGBRF_HDBSCAN_NN,267.5,0.2942675110022501
DT_KM_C,XGBRF_HDBSCAN_COS,238.5,0.6259375109700809
DT_KM_C,XGBRF_KM_SCAN_NN,224.5,0.031507144167564546
DT_KM_C,XGBRF_KM_SCAN_COS,193.0,0.2694684708027769
DT_KM_C,XGBRF_KM_SCAN_COS_MAHA,86.0,2.5145955169632652e-05
DT_KM_NN,DT_KM_COS,166.0,0.8064381219942267
DT_KM_NN,DT_KM_COS_MAHA,18.5,0.3554922490346323
DT_KM_NN,DT_HDBSCAN_NN,0.0,0.0001580511830046009
DT_KM_NN,DT_HDBSCAN_COS,167.0,0.25827113953223113
DT_KM_NN,DT_KM_SCAN_NN,120.0,0.05200616868173959
DT_KM_NN,DT_KM_SCAN_COS,143.0,0.5959000843337997
DT_KM_NN,DT_KM_SCAN_COS_MAHA,139.0,0.518206197667215
DT_KM_NN,RF,212.0,0.0015426123498703634
DT_KM_NN,RF_KM_C,247.0,0.2593773920693635
DT_KM_NN,RF_KM_NN,207.5,0.4161984420383785
DT_KM_NN,RF_KM_COS,202.5,0.5306973912803178
